type,id,time
data_generation,1_5,8105.55
total_experiment,1_5,8263.85
data_generation,0.5_20,8425.34
total_experiment,0.5_20,8591.35
data_generation,0.5_5,9012.33
total_experiment,0.5_5,9176.74
data_generation,1_20,8254.84
total_experiment,1_20,8419.78
data_generation,4_2,2842.89
total_experiment,4_2,3010.66
data_generation,0.2_100,4511.01
total_experiment,0.2_100,4684.76
data_generation,0.2_5,3775.06
total_experiment,0.2_5,3946.07
data_generation,4_100,2971.99
total_experiment,4_100,3143.28
data_generation,1_2,2449.29
total_experiment,1_2,2626.34
data_generation,0.2_50,3925.95
total_experiment,0.2_50,4107.94
data_generation,0.2_5_b,3838.67
total_experiment,0.2_5_b,4018.90
data_generation,1_50,2283.83
total_experiment,1_50,2468.89
data_generation,0.5_5_b,2683.91
total_experiment,0.5_5_b,2868.91
data_generation,0.2_20,3421.58
total_experiment,0.2_20,3607.06
data_generation,0.5_10,2281.77
total_experiment,0.5_10,2468.25
data_generation,1_20_b,2333.76
total_experiment,1_20_b,2521.64
