generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
1, 0.078125, 0.21875, 0.0, 5026.3, 50000.0, 23.0
2, 0.11875, 0.21875, 0.0625, 27.6, 30.0, 22.0
3, 0.140625, 0.21875, 0.0625, 26.7, 30.0, 22.0
4, 0.1375, 0.21875, 0.0625, 25.2, 29.0, 22.0
5, 0.103125, 0.21875, 0.0625, 23.4, 28.0, 22.0
6, 0.11875, 0.21875, 0.0625, 24.0, 28.0, 22.0
7, 0.11875, 0.21875, 0.0625, 24.0, 28.0, 22.0
8, 0.11875, 0.21875, 0.0625, 24.0, 28.0, 22.0
9, 0.10625, 0.21875, 0.0625, 23.5, 28.0, 22.0
10, 0.11875, 0.21875, 0.0625, 23.8, 28.0, 22.0
11, 0.11875, 0.21875, 0.0625, 23.8, 28.0, 22.0
12, 0.11875, 0.21875, 0.0625, 23.8, 28.0, 22.0
13, 0.11875, 0.21875, 0.0625, 23.8, 28.0, 22.0
