generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
1, 0.13125, 0.4375, 0.0, 10023.0, 50000.0, 25.0
2, 0.196875, 0.4375, 0.03125, 28.7, 32.0, 25.0
3, 0.171875, 0.4375, 0.03125, 27.7, 32.0, 25.0
4, 0.284375, 0.53125, 0.03125, 29.4, 34.0, 25.0
5, 0.384375, 0.53125, 0.03125, 30.5, 34.0, 24.0
6, 0.346875, 0.53125, 0.03125, 29.8, 34.0, 24.0
7, 0.346875, 0.53125, 0.03125, 29.6, 34.0, 24.0
8, 0.346875, 0.53125, 0.03125, 29.5, 34.0, 24.0
9, 0.3375, 0.53125, 0.03125, 29.5, 34.0, 24.0
10, 0.34375, 0.53125, 0.03125, 29.5, 34.0, 24.0
11, 0.315625, 0.53125, 0.03125, 29.0, 34.0, 24.0
12, 0.315625, 0.53125, 0.03125, 29.0, 34.0, 24.0
13, 0.315625, 0.53125, 0.03125, 29.0, 34.0, 24.0
