generation, latency, ar
1, 32.0, 0.4375
1, 31.0, 0.34375
1, 30.0, 0.15625
1, 28.0, 0.125
1, 25.0, 0.03125
2, 32.0, 0.4375
2, 30.0, 0.34375
2, 28.0, 0.125
2, 28.0, 0.125
2, 25.0, 0.03125
2, 25.0, 0.03125
3, 32.0, 0.4375
3, 32.0, 0.4375
3, 29.0, 0.34375
3, 28.0, 0.125
3, 28.0, 0.125
3, 28.0, 0.125
3, 25.0, 0.03125
3, 25.0, 0.03125
3, 25.0, 0.03125
3, 25.0, 0.03125
4, 34.0, 0.53125
4, 32.0, 0.4375
4, 32.0, 0.4375
4, 32.0, 0.4375
4, 29.0, 0.34375
4, 29.0, 0.34375
4, 28.0, 0.125
4, 28.0, 0.125
4, 28.0, 0.125
4, 28.0, 0.125
4, 25.0, 0.03125
4, 25.0, 0.03125
4, 25.0, 0.03125
4, 25.0, 0.03125
4, 25.0, 0.03125
5, 34.0, 0.53125
5, 34.0, 0.53125
5, 32.0, 0.4375
5, 32.0, 0.4375
5, 32.0, 0.4375
5, 29.0, 0.34375
5, 29.0, 0.34375
5, 29.0, 0.34375
5, 28.0, 0.3125
5, 24.0, 0.03125
6, 34.0, 0.53125
6, 34.0, 0.53125
6, 33.0, 0.5
6, 32.0, 0.4375
6, 32.0, 0.4375
6, 32.0, 0.4375
6, 29.0, 0.34375
6, 29.0, 0.34375
6, 29.0, 0.34375
6, 28.0, 0.3125
6, 28.0, 0.3125
6, 24.0, 0.03125
6, 24.0, 0.03125
7, 34.0, 0.53125
7, 34.0, 0.53125
7, 34.0, 0.53125
7, 33.0, 0.5
7, 31.0, 0.4375
7, 31.0, 0.4375
7, 29.0, 0.34375
7, 29.0, 0.34375
7, 29.0, 0.34375
7, 29.0, 0.34375
7, 28.0, 0.3125
7, 28.0, 0.3125
7, 24.0, 0.03125
7, 24.0, 0.03125
7, 24.0, 0.03125
8, 34.0, 0.53125
8, 34.0, 0.53125
8, 34.0, 0.53125
8, 32.0, 0.5
8, 31.0, 0.4375
8, 31.0, 0.4375
8, 31.0, 0.4375
8, 29.0, 0.34375
8, 29.0, 0.34375
8, 29.0, 0.34375
8, 29.0, 0.34375
8, 29.0, 0.34375
8, 28.0, 0.3125
8, 28.0, 0.3125
8, 24.0, 0.03125
8, 24.0, 0.03125
8, 24.0, 0.03125
8, 24.0, 0.03125
9, 34.0, 0.53125
9, 34.0, 0.53125
9, 34.0, 0.53125
9, 32.0, 0.5
9, 32.0, 0.5
9, 31.0, 0.4375
9, 31.0, 0.4375
9, 31.0, 0.4375
9, 29.0, 0.34375
9, 29.0, 0.34375
9, 29.0, 0.34375
9, 29.0, 0.34375
9, 29.0, 0.34375
9, 29.0, 0.34375
9, 28.0, 0.3125
9, 28.0, 0.3125
9, 27.0, 0.15625
9, 24.0, 0.03125
9, 24.0, 0.03125
9, 24.0, 0.03125
9, 24.0, 0.03125
9, 24.0, 0.03125
10, 34.0, 0.53125
10, 34.0, 0.53125
10, 34.0, 0.53125
10, 32.0, 0.5
10, 32.0, 0.5
10, 31.0, 0.4375
10, 31.0, 0.4375
10, 31.0, 0.4375
10, 29.0, 0.34375
10, 29.0, 0.34375
10, 29.0, 0.34375
10, 29.0, 0.34375
10, 29.0, 0.34375
10, 29.0, 0.34375
10, 28.0, 0.3125
10, 28.0, 0.3125
10, 27.0, 0.21875
10, 24.0, 0.03125
10, 24.0, 0.03125
10, 24.0, 0.03125
10, 24.0, 0.03125
10, 24.0, 0.03125
10, 24.0, 0.03125
11, 34.0, 0.53125
11, 34.0, 0.53125
11, 34.0, 0.53125
11, 32.0, 0.5
11, 32.0, 0.5
11, 32.0, 0.5
11, 31.0, 0.4375
11, 31.0, 0.4375
11, 31.0, 0.4375
11, 29.0, 0.34375
11, 29.0, 0.34375
11, 29.0, 0.34375
11, 29.0, 0.34375
11, 29.0, 0.34375
11, 29.0, 0.34375
11, 29.0, 0.34375
11, 28.0, 0.3125
11, 28.0, 0.3125
11, 27.0, 0.21875
11, 27.0, 0.21875
11, 24.0, 0.03125
11, 24.0, 0.03125
11, 24.0, 0.03125
11, 24.0, 0.03125
11, 24.0, 0.03125
11, 24.0, 0.03125
11, 24.0, 0.03125
12, 34.0, 0.53125
12, 34.0, 0.53125
12, 34.0, 0.53125
12, 34.0, 0.53125
12, 32.0, 0.5
12, 32.0, 0.5
12, 32.0, 0.5
12, 32.0, 0.5
12, 31.0, 0.4375
12, 31.0, 0.4375
12, 31.0, 0.4375
12, 29.0, 0.34375
12, 29.0, 0.34375
12, 29.0, 0.34375
12, 29.0, 0.34375
12, 29.0, 0.34375
12, 29.0, 0.34375
12, 29.0, 0.34375
12, 29.0, 0.34375
12, 28.0, 0.3125
12, 28.0, 0.3125
12, 27.0, 0.21875
12, 27.0, 0.21875
12, 27.0, 0.21875
12, 24.0, 0.03125
12, 24.0, 0.03125
12, 24.0, 0.03125
12, 24.0, 0.03125
12, 24.0, 0.03125
12, 24.0, 0.03125
12, 24.0, 0.03125
12, 24.0, 0.03125
13, 34.0, 0.53125
13, 34.0, 0.53125
13, 34.0, 0.53125
13, 34.0, 0.53125
13, 32.0, 0.5
13, 32.0, 0.5
13, 32.0, 0.5
13, 32.0, 0.5
13, 31.0, 0.4375
13, 31.0, 0.4375
13, 31.0, 0.4375
13, 29.0, 0.34375
13, 29.0, 0.34375
13, 29.0, 0.34375
13, 29.0, 0.34375
13, 29.0, 0.34375
13, 29.0, 0.34375
13, 29.0, 0.34375
13, 29.0, 0.34375
13, 29.0, 0.34375
13, 28.0, 0.3125
13, 28.0, 0.3125
13, 27.0, 0.21875
13, 27.0, 0.21875
13, 27.0, 0.21875
13, 27.0, 0.21875
13, 24.0, 0.03125
13, 24.0, 0.03125
13, 24.0, 0.03125
13, 24.0, 0.03125
13, 24.0, 0.03125
13, 24.0, 0.03125
13, 24.0, 0.03125
13, 24.0, 0.03125
13, 24.0, 0.03125
