# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
1.00,18.00,3.45,22.87,20.00,0.01,31.34
1.00,73.00,3.45,26.94,24.00,0.01,35.34
1.00,32.00,6.58,26.00,17.33,0.01,28.73
1.00,9.00,3.45,24.44,22.67,0.01,34.01
1.00,42.00,3.76,28.43,20.00,0.01,31.34
1.00,94.00,4.46,30.55,20.00,0.01,31.36
1.00,17.00,4.46,35.25,23.00,0.01,34.32
1.00,10.00,3.76,30.08,22.00,0.01,33.33
1.00,97.00,6.27,48.40,21.33,0.01,32.68
1.00,89.00,8.46,68.14,24.22,0.01,35.56
1.00,22.00,15.11,103.03,20.92,0.04,32.11
1.00,59.00,10.71,75.00,22.00,0.02,33.32
1.00,49.00,12.51,90.84,20.77,0.03,31.78
1.00,15.00,14.10,122.37,24.80,0.03,35.81
1.00,33.00,20.58,174.49,27.40,0.04,38.42
1.00,54.00,28.20,268.70,28.13,0.07,40.37
1.00,8.00,29.14,273.13,27.61,0.07,39.87
1.00,51.00,30.08,295.97,28.69,0.08,39.57
1.00,21.00,30.08,275.27,27.38,0.07,38.52
