# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
1.00,8.00,8.52,68.27,25.00,0.03,36.21
1.00,1.00,8.52,65.59,26.44,0.03,38.02
1.00,0.00,9.37,83.48,22.55,0.05,35.72
1.00,5.00,8.52,81.09,28.20,0.04,40.73
1.00,7.00,9.37,96.17,26.55,0.04,39.35
1.00,6.00,9.68,83.55,25.45,0.05,38.59
1.00,4.00,9.37,81.81,25.27,0.04,37.90
1.00,11.00,11.50,99.52,25.83,0.05,38.70
1.00,2.00,10.22,96.39,29.50,0.04,41.99
1.00,3.00,9.37,101.94,29.64,0.03,41.82
1.00,16.00,7.67,68.52,24.44,0.03,36.07
1.00,18.00,10.08,85.51,29.78,0.05,42.81
1.00,12.00,9.83,80.49,23.09,0.04,35.83
1.00,20.00,10.18,91.61,30.00,0.03,42.11
1.00,17.00,8.52,82.45,23.60,0.04,36.35
1.00,15.00,8.52,87.78,25.80,0.03,37.11
1.00,10.00,9.37,96.60,28.36,0.04,41.12
1.00,14.00,9.37,97.22,28.18,0.03,40.32
1.00,9.00,8.52,77.51,27.00,0.03,38.81
1.00,19.00,9.37,87.89,27.27,0.04,39.80
1.00,13.00,10.22,89.30,25.17,0.04,37.90
1.00,26.00,7.67,68.43,25.78,0.03,37.21
1.00,21.00,9.37,75.46,25.45,0.03,37.31
1.00,27.00,9.37,79.18,24.73,0.04,37.09
1.00,23.00,9.37,89.79,30.73,0.03,42.51
1.00,25.00,9.37,79.95,26.55,0.03,38.44
1.00,24.00,9.71,78.70,26.60,0.03,38.79
1.00,22.00,10.22,87.20,26.17,0.04,38.68
1.00,28.00,10.38,102.52,29.64,0.03,41.59
1.00,29.00,10.22,99.59,26.17,0.04,38.90
1.00,41.00,6.81,61.12,24.25,0.03,36.19
1.00,40.00,9.37,60.95,24.67,0.04,37.51
1.00,39.00,8.52,79.13,25.20,0.04,37.59
1.00,34.00,9.37,81.85,22.73,0.03,34.77
1.00,35.00,12.71,87.73,23.83,0.04,36.11
1.00,33.00,10.65,88.94,27.00,0.03,39.11
1.00,30.00,9.76,85.26,25.27,0.05,38.45
1.00,32.00,7.67,70.23,27.33,0.03,38.96
1.00,31.00,9.37,82.27,23.82,0.04,36.51
1.00,43.00,8.52,70.87,24.00,0.03,36.23
1.00,36.00,11.07,90.08,23.40,0.06,36.72
1.00,42.00,9.37,84.64,27.09,0.03,38.84
1.00,37.00,9.37,88.43,25.45,0.04,38.34
1.00,38.00,9.37,89.44,25.45,0.04,37.82
1.00,52.00,9.94,60.57,24.00,0.02,33.31
1.00,46.00,9.37,81.07,26.00,0.03,37.90
1.00,47.00,8.86,61.03,22.80,0.03,34.72
1.00,45.00,8.52,80.45,28.40,0.03,40.49
1.00,48.00,9.37,84.83,25.27,0.05,38.37
1.00,50.00,9.37,74.18,24.55,0.03,35.79
1.00,51.00,10.76,92.19,28.00,0.04,40.39
1.00,49.00,11.22,96.93,27.67,0.03,38.58
1.00,44.00,8.52,73.55,22.60,0.03,34.75
1.00,60.00,5.11,41.74,23.20,0.02,32.82
1.00,73.00,8.52,60.82,24.40,0.04,36.83
1.00,66.00,8.61,78.65,26.44,0.04,39.39
1.00,74.00,9.99,80.80,24.73,0.04,37.38
1.00,83.00,9.37,83.36,24.36,0.04,37.26
1.00,58.00,9.37,82.97,23.27,0.03,35.42
1.00,84.00,9.07,75.51,27.80,0.03,39.91
1.00,59.00,9.76,92.03,26.55,0.03,37.97
1.00,75.00,10.01,96.21,28.40,0.03,40.43
1.00,70.00,10.22,97.88,27.00,0.03,38.94
1.00,63.00,9.68,92.88,27.64,0.05,40.65
1.00,79.00,6.81,64.01,24.00,0.03,36.23
1.00,56.00,5.96,42.23,22.33,0.02,31.84
1.00,69.00,9.41,79.81,26.60,0.04,39.24
1.00,82.00,7.67,65.59,24.89,0.04,37.42
1.00,72.00,8.52,67.97,25.60,0.03,36.69
1.00,62.00,9.37,71.00,29.71,0.04,42.48
1.00,80.00,9.83,76.58,22.55,0.04,34.80
1.00,68.00,9.83,78.36,27.27,0.03,38.86
1.00,65.00,9.37,82.16,26.36,0.04,38.94
1.00,76.00,8.52,76.15,25.60,0.04,38.27
1.00,67.00,7.67,71.17,27.33,0.03,38.76
1.00,81.00,10.86,95.44,23.83,0.05,36.98
1.00,53.00,8.80,79.31,26.44,0.03,38.56
1.00,54.00,8.52,82.28,26.20,0.03,38.54
1.00,78.00,9.37,82.31,28.00,0.04,40.46
1.00,77.00,13.74,124.57,30.33,0.04,42.84
1.00,55.00,9.37,78.40,25.45,0.04,37.76
1.00,57.00,11.46,92.21,27.40,0.04,40.01
1.00,71.00,6.81,53.88,24.00,0.03,35.42
1.00,87.00,8.52,65.76,23.40,0.03,35.71
1.00,88.00,7.67,67.58,25.33,0.03,37.73
1.00,64.00,8.52,71.59,26.20,0.03,37.58
1.00,96.00,10.53,88.62,27.45,0.03,39.30
1.00,85.00,7.67,71.55,25.78,0.04,38.26
1.00,97.00,9.37,88.31,27.64,0.03,39.71
1.00,61.00,10.65,86.28,24.67,0.05,37.60
1.00,86.00,11.15,101.59,28.18,0.04,40.98
1.00,89.00,9.37,89.63,25.64,0.03,37.68
1.00,90.00,9.37,70.04,24.55,0.03,35.87
1.00,91.00,9.68,85.26,24.00,0.05,37.14
1.00,99.00,6.81,83.00,33.75,0.03,45.14
1.00,98.00,9.76,80.49,26.18,0.03,37.77
1.00,95.00,8.52,78.15,26.00,0.03,37.54
1.00,93.00,8.52,79.81,26.80,0.02,37.57
1.00,92.00,10.84,94.51,30.18,0.04,42.56
1.00,94.00,10.22,91.18,25.67,0.04,38.52
