method, generation, latency, ar
surrogate, 1, 39.0, 0.975
surrogate, 1, 39.0, 0.975
surrogate, 1, 37.0, 0.95
surrogate, 2, 38.0, 0.975
surrogate, 2, 37.0, 0.95
surrogate, 2, 36.0, 0.85
surrogate, 3, 37.0, 0.975
surrogate, 3, 36.0, 0.85
surrogate, 4, 37.0, 0.975
surrogate, 4, 36.0, 0.85
surrogate, 5, 37.0, 0.975
surrogate, 5, 36.0, 0.85
surrogate, 5, 22.0, 0.025
surrogate, 6, 41.0, 1.0
surrogate, 6, 41.0, 1.0
surrogate, 6, 37.0, 0.975
surrogate, 6, 36.0, 0.85
surrogate, 6, 34.0, 0.8
surrogate, 6, 22.0, 0.025
emulator, 6.1, 38.0, 1.0
