# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
4.00,8.00,0.94,6.58,16.00,0.01,27.11
4.00,11.00,1.41,11.51,17.00,0.01,28.11
4.00,1.00,1.41,9.63,17.00,0.01,28.11
4.00,3.00,3.76,22.75,16.80,0.01,27.91
4.00,5.00,4.70,37.01,19.00,0.01,30.11
4.00,7.00,2.82,21.97,18.50,0.01,29.61
4.00,10.00,4.70,30.78,19.00,0.01,30.11
4.00,9.00,3.29,22.46,18.40,0.01,29.51
4.00,2.00,8.46,65.87,21.67,0.02,32.78
4.00,0.00,7.05,45.64,20.44,0.02,31.56
4.00,4.00,6.11,44.94,21.25,0.02,32.36
4.00,6.00,10.34,84.73,20.35,0.03,31.47
4.00,23.00,0.94,6.11,16.00,0.01,27.11
4.00,14.00,0.94,5.17,12.00,0.01,23.11
4.00,19.00,0.94,10.34,18.00,0.01,29.11
4.00,18.00,1.41,10.81,17.00,0.01,28.11
4.00,26.00,2.82,18.92,19.00,0.01,30.11
4.00,31.00,3.29,24.81,18.00,0.02,29.11
4.00,22.00,1.88,11.28,15.00,0.01,26.11
4.00,15.00,2.35,18.80,19.00,0.01,30.11
4.00,20.00,4.70,31.09,19.67,0.01,30.78
4.00,21.00,4.23,33.90,18.86,0.02,29.97
4.00,27.00,3.29,31.56,20.00,0.02,31.11
4.00,13.00,6.58,38.20,21.14,0.01,32.26
4.00,24.00,7.05,44.12,19.56,0.02,30.67
4.00,25.00,3.13,25.77,17.67,0.01,28.78
4.00,12.00,3.29,23.50,17.60,0.01,28.71
4.00,30.00,6.11,47.46,20.00,0.02,31.11
4.00,16.00,10.81,70.09,20.43,0.02,31.54
4.00,17.00,6.58,57.88,18.83,0.02,29.95
4.00,37.00,0.94,5.64,16.00,0.01,27.11
4.00,34.00,1.41,6.58,16.00,0.01,27.11
4.00,39.00,0.94,6.11,14.00,0.01,25.11
4.00,35.00,0.94,6.58,16.00,0.01,27.11
4.00,36.00,1.72,15.51,16.00,0.01,27.11
4.00,29.00,5.17,38.12,17.78,0.02,28.89
4.00,32.00,5.64,42.12,20.50,0.02,31.61
4.00,28.00,4.23,30.78,20.33,0.01,31.45
4.00,38.00,3.20,26.88,15.60,0.02,26.71
4.00,33.00,8.46,55.28,20.91,0.02,32.02
4.00,43.00,1.41,10.57,18.00,0.01,29.11
4.00,42.00,0.94,6.58,16.00,0.01,27.11
4.00,44.00,2.82,21.71,15.20,0.01,26.31
4.00,53.00,3.29,24.72,19.20,0.01,30.31
4.00,40.00,6.11,51.60,20.40,0.02,31.51
4.00,51.00,5.17,42.00,20.75,0.02,31.86
4.00,41.00,5.64,42.71,20.00,0.02,31.11
4.00,55.00,0.94,5.64,12.00,0.01,23.11
4.00,56.00,1.72,15.35,18.00,0.01,29.11
4.00,50.00,2.35,15.51,18.00,0.01,29.11
4.00,62.00,2.82,22.18,18.40,0.01,29.51
4.00,58.00,6.11,40.12,20.00,0.02,31.11
4.00,59.00,1.41,10.57,17.00,0.01,28.11
4.00,47.00,4.57,37.66,20.29,0.01,31.40
4.00,66.00,5.17,29.68,19.33,0.01,30.45
4.00,54.00,4.70,34.24,19.71,0.02,30.83
4.00,63.00,6.11,48.50,19.80,0.02,30.91
4.00,49.00,3.29,23.22,18.80,0.01,29.91
4.00,64.00,7.05,61.89,18.77,0.03,29.88
4.00,65.00,9.87,63.07,18.14,0.02,29.25
4.00,60.00,5.64,44.41,21.25,0.02,32.36
4.00,61.00,7.52,56.25,22.60,0.02,33.71
4.00,57.00,6.58,40.18,20.25,0.01,31.36
4.00,52.00,6.58,47.23,19.20,0.02,30.31
4.00,46.00,6.11,50.80,18.18,0.02,29.29
4.00,45.00,8.46,52.12,20.80,0.02,31.91
4.00,48.00,8.34,61.56,20.33,0.02,31.45
4.00,68.00,1.88,15.19,18.00,0.01,29.11
4.00,69.00,3.29,23.31,17.20,0.01,28.31
4.00,70.00,3.76,30.23,19.33,0.02,30.45
4.00,67.00,7.52,46.89,21.11,0.02,32.22
4.00,80.00,0.94,9.40,17.00,0.01,28.11
4.00,78.00,0.94,6.58,16.00,0.01,27.11
4.00,82.00,1.41,6.58,16.00,0.01,27.11
4.00,90.00,1.72,15.51,16.00,0.01,27.11
4.00,71.00,0.94,6.11,14.00,0.01,25.11
4.00,74.00,1.41,10.34,17.00,0.01,28.11
4.00,72.00,2.35,19.85,19.00,0.01,30.11
4.00,87.00,4.70,29.37,19.33,0.02,30.45
4.00,76.00,4.23,31.89,17.14,0.02,28.25
4.00,88.00,2.35,14.88,16.67,0.01,27.78
4.00,73.00,4.23,35.11,20.29,0.01,31.40
4.00,81.00,1.88,13.94,16.00,0.01,27.11
4.00,79.00,4.16,37.80,20.86,0.02,31.97
4.00,83.00,2.82,19.39,18.50,0.01,29.61
4.00,84.00,2.35,19.97,18.00,0.01,29.11
4.00,92.00,5.58,44.59,21.75,0.02,32.86
4.00,77.00,3.29,23.87,19.20,0.01,30.31
4.00,85.00,4.54,31.25,18.67,0.02,29.78
4.00,86.00,2.23,20.44,19.00,0.01,30.11
4.00,91.00,6.11,41.41,21.25,0.02,32.36
4.00,75.00,5.64,43.70,18.00,0.02,29.11
