method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.04096875, 0.375, 0.0, 13722.78, 50000.0, 21.0
surrogate, 2, 0.0681796875, 0.375, 0.015625, 30.289, 34.0, 21.0
surrogate, 3, 0.0814296875, 0.375, 0.015625, 29.1615, 34.0, 21.0
surrogate, 4, 0.0834921875, 0.375, 0.015625, 28.102, 34.0, 21.0
surrogate, 5, 0.0756328125, 0.40625, 0.015625, 27.0165, 34.0, 21.0
surrogate, 6, 0.0814921875, 0.40625, 0.015625, 26.1295, 35.0, 21.0
surrogate, 7, 0.05365625, 0.40625, 0.015625, 24.661, 35.0, 21.0
surrogate, 8, 0.029359375, 0.46875, 0.015625, 23.0635, 35.0, 21.0
surrogate, 9, 0.0356015625, 0.46875, 0.015625, 22.7045, 35.0, 19.0
surrogate, 10, 0.0342578125, 0.53125, 0.015625, 21.9325, 35.0, 19.0
surrogate, 11, 0.026453125, 0.53125, 0.015625, 21.4555, 35.0, 19.0
surrogate, 12, 0.0279140625, 0.5625, 0.015625, 21.4205, 35.0, 19.0
surrogate, 13, 0.033875, 0.5625, 0.015625, 21.646, 35.0, 19.0
surrogate, 14, 0.0256015625, 0.5625, 0.015625, 21.253, 35.0, 19.0
surrogate, 15, 0.0281875, 0.5625, 0.015625, 21.2915, 35.0, 19.0
surrogate, 16, 0.0361171875, 0.5625, 0.015625, 21.449, 35.0, 19.0
surrogate, 17, 0.052578125, 0.5625, 0.015625, 21.784, 35.0, 19.0
surrogate, 18, 0.0741875, 0.578125, 0.015625, 22.0155, 36.0, 19.0
surrogate, 19, 0.0230078125, 0.59375, 0.015625, 19.674, 36.0, 19.0
surrogate, 20, 0.019703125, 0.59375, 0.015625, 19.129, 36.0, 19.0
surrogate, 21, 0.019703125, 0.59375, 0.015625, 19.129, 36.0, 19.0
surrogate, 22, 0.0181640625, 0.609375, 0.015625, 19.085, 35.0, 19.0
surrogate, 23, 0.01840625, 0.609375, 0.015625, 19.091, 35.0, 19.0
surrogate, 24, 0.018703125, 0.609375, 0.015625, 19.099, 35.0, 19.0
surrogate, 25, 0.018703125, 0.609375, 0.015625, 19.099, 35.0, 19.0
surrogate, 26, 0.018703125, 0.609375, 0.015625, 19.099, 35.0, 19.0
surrogate, 27, 0.018703125, 0.609375, 0.015625, 19.099, 35.0, 19.0
surrogate, 28, 0.018953125, 0.609375, 0.015625, 19.1055, 35.0, 19.0
surrogate, 29, 0.0195546875, 0.71875, 0.015625, 19.1205, 36.0, 19.0
surrogate, 30, 0.0195546875, 0.71875, 0.015625, 19.1205, 36.0, 19.0
surrogate, 31, 0.0189140625, 0.71875, 0.015625, 19.1015, 36.0, 19.0
surrogate, 32, 0.019171875, 0.71875, 0.015625, 19.108, 36.0, 19.0
surrogate, 33, 0.0191875, 0.71875, 0.015625, 19.108, 36.0, 19.0
surrogate, 34, 0.0194375, 0.71875, 0.015625, 19.114, 36.0, 19.0
surrogate, 35, 0.0194375, 0.71875, 0.015625, 19.114, 36.0, 19.0
surrogate, 36, 0.0194375, 0.71875, 0.015625, 19.114, 36.0, 19.0
surrogate, 37, 0.0194375, 0.71875, 0.015625, 19.114, 36.0, 19.0
surrogate, 38, 0.01925, 0.71875, 0.015625, 19.1085, 36.0, 19.0
surrogate, 39, 0.019453125, 0.71875, 0.015625, 19.114, 36.0, 19.0
surrogate, 40, 0.019453125, 0.71875, 0.015625, 19.114, 36.0, 19.0
surrogate, 41, 0.019453125, 0.71875, 0.015625, 19.114, 36.0, 19.0
surrogate, 42, 0.019859375, 0.828125, 0.015625, 19.123, 37.0, 19.0
surrogate, 43, 0.020265625, 0.828125, 0.015625, 19.132, 37.0, 19.0
surrogate, 44, 0.0204140625, 0.828125, 0.015625, 19.134, 37.0, 19.0
surrogate, 45, 0.020875, 0.828125, 0.015625, 19.146, 37.0, 19.0
surrogate, 46, 0.020875, 0.828125, 0.015625, 19.146, 37.0, 19.0
surrogate, 47, 0.020875, 0.828125, 0.015625, 19.146, 37.0, 19.0
surrogate, 48, 0.020875, 0.828125, 0.015625, 19.146, 37.0, 19.0
surrogate, 49, 0.0207734375, 0.828125, 0.015625, 19.142, 37.0, 19.0
surrogate, 50, 0.020890625, 0.828125, 0.015625, 19.146, 37.0, 19.0
surrogate, 51, 0.020890625, 0.828125, 0.015625, 19.146, 37.0, 19.0
surrogate, 52, 0.020890625, 0.828125, 0.015625, 19.146, 37.0, 19.0
surrogate, 53, 0.0204453125, 0.84375, 0.015625, 19.1335, 37.0, 19.0
surrogate, 54, 0.0201953125, 0.84375, 0.015625, 19.127, 37.0, 19.0
surrogate, 55, 0.0202421875, 0.84375, 0.015625, 19.1295, 37.0, 19.0
surrogate, 56, 0.0205078125, 0.84375, 0.015625, 19.136, 37.0, 19.0
surrogate, 57, 0.0205078125, 0.84375, 0.015625, 19.136, 37.0, 19.0
surrogate, 58, 0.020921875, 0.84375, 0.015625, 19.145, 37.0, 19.0
surrogate, 59, 0.020671875, 0.84375, 0.015625, 19.137, 37.0, 19.0
surrogate, 60, 0.0209296875, 0.84375, 0.015625, 19.1415, 37.0, 19.0
surrogate, 61, 0.02103125, 0.84375, 0.015625, 19.145, 37.0, 19.0
surrogate, 62, 0.02103125, 0.84375, 0.015625, 19.145, 37.0, 19.0
surrogate, 63, 0.02103125, 0.84375, 0.015625, 19.145, 37.0, 19.0
surrogate, 64, 0.02103125, 0.84375, 0.015625, 19.145, 37.0, 19.0
surrogate, 65, 0.0209140625, 0.84375, 0.015625, 19.1405, 37.0, 19.0
surrogate, 66, 0.021046875, 0.84375, 0.015625, 19.145, 37.0, 19.0
surrogate, 67, 0.020921875, 0.84375, 0.015625, 19.1405, 37.0, 19.0
surrogate, 68, 0.0210625, 0.84375, 0.015625, 19.145, 37.0, 19.0
surrogate, 69, 0.02134375, 0.84375, 0.015625, 19.1525, 37.0, 19.0
surrogate, 70, 0.02134375, 0.84375, 0.015625, 19.1525, 37.0, 19.0
surrogate, 71, 0.02134375, 0.84375, 0.015625, 19.1525, 37.0, 19.0
surrogate, 72, 0.021625, 0.84375, 0.015625, 19.16, 37.0, 19.0
surrogate, 73, 0.021625, 0.84375, 0.015625, 19.16, 37.0, 19.0
surrogate, 74, 0.021625, 0.84375, 0.015625, 19.16, 37.0, 19.0
surrogate, 75, 0.021625, 0.84375, 0.015625, 19.16, 37.0, 19.0
surrogate, 76, 0.020546875, 0.84375, 0.015625, 19.1315, 37.0, 19.0
surrogate, 77, 0.021109375, 0.84375, 0.015625, 19.145, 37.0, 19.0
surrogate, 78, 0.02078125, 0.84375, 0.015625, 19.1365, 37.0, 19.0
surrogate, 79, 0.02059375, 0.84375, 0.015625, 19.131, 37.0, 19.0
surrogate, 80, 0.02059375, 0.84375, 0.015625, 19.131, 37.0, 19.0
