method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.0421484375, 0.34375, 0.0, 13522.781, 50000.0, 21.0
surrogate, 2, 0.071734375, 0.34375, 0.015625, 30.2315, 35.0, 21.0
surrogate, 3, 0.0829765625, 0.34375, 0.015625, 29.164, 34.0, 21.0
surrogate, 4, 0.08315625, 0.34375, 0.015625, 28.0675, 34.0, 19.0
surrogate, 5, 0.0788125, 0.4375, 0.015625, 27.205, 35.0, 19.0
surrogate, 6, 0.073890625, 0.4375, 0.015625, 26.026, 34.0, 19.0
surrogate, 7, 0.0573359375, 0.4375, 0.015625, 24.9065, 34.0, 19.0
surrogate, 8, 0.0496328125, 0.4375, 0.015625, 24.163, 34.0, 19.0
surrogate, 9, 0.0771796875, 0.4375, 0.015625, 24.6465, 34.0, 19.0
surrogate, 10, 0.100515625, 0.453125, 0.015625, 25.402, 34.0, 19.0
surrogate, 11, 0.046359375, 0.46875, 0.015625, 23.1745, 34.0, 19.0
surrogate, 12, 0.053140625, 0.46875, 0.015625, 22.9485, 34.0, 19.0
surrogate, 13, 0.0706640625, 0.5, 0.015625, 22.783, 34.0, 19.0
surrogate, 14, 0.08034375, 0.5, 0.015625, 21.781, 34.0, 19.0
surrogate, 15, 0.027203125, 0.5, 0.015625, 19.4425, 33.0, 19.0
surrogate, 16, 0.035171875, 0.515625, 0.015625, 19.749, 34.0, 19.0
surrogate, 17, 0.0449296875, 0.515625, 0.015625, 20.1295, 34.0, 19.0
surrogate, 18, 0.0594296875, 0.515625, 0.015625, 20.714, 34.0, 19.0
surrogate, 19, 0.05190625, 0.5625, 0.015625, 19.9415, 35.0, 19.0
surrogate, 20, 0.034109375, 0.5625, 0.03125, 19.094, 35.0, 19.0
surrogate, 21, 0.03415625, 0.5625, 0.03125, 19.096, 35.0, 19.0
surrogate, 22, 0.03440625, 0.5625, 0.03125, 19.103, 35.0, 19.0
surrogate, 23, 0.034515625, 0.5625, 0.03125, 19.1065, 35.0, 19.0
surrogate, 24, 0.034625, 0.5625, 0.03125, 19.11, 35.0, 19.0
surrogate, 25, 0.034625, 0.5625, 0.03125, 19.11, 35.0, 19.0
surrogate, 26, 0.034625, 0.5625, 0.03125, 19.11, 35.0, 19.0
surrogate, 27, 0.034625, 0.5625, 0.03125, 19.11, 35.0, 19.0
surrogate, 28, 0.034625, 0.5625, 0.03125, 19.11, 35.0, 19.0
surrogate, 29, 0.034625, 0.5625, 0.03125, 19.11, 35.0, 19.0
surrogate, 30, 0.034625, 0.5625, 0.03125, 19.11, 35.0, 19.0
surrogate, 31, 0.034625, 0.5625, 0.03125, 19.11, 35.0, 19.0
surrogate, 32, 0.0343828125, 0.5625, 0.03125, 19.103, 35.0, 19.0
surrogate, 33, 0.033984375, 0.5625, 0.03125, 19.0895, 34.0, 19.0
surrogate, 34, 0.0341328125, 0.5625, 0.03125, 19.0945, 34.0, 19.0
surrogate, 35, 0.03465625, 0.5625, 0.03125, 19.109, 34.0, 19.0
surrogate, 36, 0.0342421875, 0.609375, 0.03125, 19.0955, 34.0, 19.0
surrogate, 37, 0.03471875, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 38, 0.03471875, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 39, 0.03471875, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 40, 0.03471875, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 41, 0.03471875, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 42, 0.03471875, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 43, 0.0345390625, 0.609375, 0.03125, 19.103, 34.0, 19.0
surrogate, 44, 0.034734375, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 45, 0.034515625, 0.609375, 0.03125, 19.1025, 34.0, 19.0
surrogate, 46, 0.034328125, 0.609375, 0.03125, 19.0965, 34.0, 19.0
surrogate, 47, 0.0345625, 0.609375, 0.03125, 19.103, 34.0, 19.0
surrogate, 48, 0.034765625, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 49, 0.0345703125, 0.609375, 0.03125, 19.103, 34.0, 19.0
surrogate, 50, 0.0343203125, 0.609375, 0.03125, 19.096, 34.0, 19.0
surrogate, 51, 0.034796875, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 52, 0.034796875, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 53, 0.034796875, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 54, 0.034796875, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 55, 0.034796875, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 56, 0.0346015625, 0.609375, 0.03125, 19.103, 34.0, 19.0
surrogate, 57, 0.0346015625, 0.609375, 0.03125, 19.103, 34.0, 19.0
surrogate, 58, 0.034828125, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 59, 0.034828125, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 60, 0.034828125, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 61, 0.034828125, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 62, 0.034828125, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 63, 0.034828125, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 64, 0.034828125, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 65, 0.034828125, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 66, 0.034828125, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 67, 0.034828125, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 68, 0.034828125, 0.609375, 0.03125, 19.109, 34.0, 19.0
surrogate, 69, 0.034140625, 0.609375, 0.03125, 19.09, 34.0, 19.0
surrogate, 70, 0.034140625, 0.609375, 0.03125, 19.09, 34.0, 19.0
surrogate, 71, 0.034375, 0.609375, 0.03125, 19.096, 34.0, 19.0
surrogate, 72, 0.034375, 0.609375, 0.03125, 19.096, 34.0, 19.0
surrogate, 73, 0.034015625, 0.609375, 0.03125, 19.083, 34.0, 19.0
surrogate, 74, 0.034140625, 0.609375, 0.03125, 19.087, 34.0, 19.0
surrogate, 75, 0.034140625, 0.609375, 0.03125, 19.087, 34.0, 19.0
surrogate, 76, 0.034140625, 0.609375, 0.03125, 19.087, 34.0, 19.0
surrogate, 77, 0.034140625, 0.609375, 0.03125, 19.087, 34.0, 19.0
surrogate, 78, 0.034140625, 0.609375, 0.03125, 19.087, 34.0, 19.0
surrogate, 79, 0.034140625, 0.609375, 0.03125, 19.087, 34.0, 19.0
surrogate, 80, 0.034140625, 0.609375, 0.03125, 19.087, 34.0, 19.0
surrogate, 81, 0.034140625, 0.609375, 0.03125, 19.087, 34.0, 19.0
surrogate, 82, 0.034390625, 0.609375, 0.03125, 19.0935, 34.0, 19.0
surrogate, 83, 0.034390625, 0.609375, 0.03125, 19.0935, 34.0, 19.0
surrogate, 84, 0.034640625, 0.609375, 0.03125, 19.1, 34.0, 19.0
surrogate, 85, 0.034640625, 0.609375, 0.03125, 19.1, 34.0, 19.0
surrogate, 86, 0.034640625, 0.609375, 0.03125, 19.1, 34.0, 19.0
surrogate, 87, 0.034640625, 0.609375, 0.03125, 19.1, 34.0, 19.0
surrogate, 88, 0.034640625, 0.609375, 0.03125, 19.1, 34.0, 19.0
surrogate, 89, 0.034640625, 0.609375, 0.03125, 19.1, 34.0, 19.0
surrogate, 90, 0.0350390625, 0.828125, 0.03125, 19.996, 1811.0, 19.0
surrogate, 91, 0.0350390625, 0.828125, 0.03125, 19.996, 1811.0, 19.0
surrogate, 92, 0.0350390625, 0.828125, 0.03125, 19.996, 1811.0, 19.0
surrogate, 93, 0.0350390625, 0.828125, 0.03125, 19.996, 1811.0, 19.0
surrogate, 94, 0.0350390625, 0.828125, 0.03125, 19.996, 1811.0, 19.0
surrogate, 95, 0.0350390625, 0.828125, 0.03125, 19.996, 1811.0, 19.0
surrogate, 96, 0.0350390625, 0.828125, 0.03125, 19.996, 1811.0, 19.0
surrogate, 97, 0.0347734375, 0.9375, 0.03125, 21.603, 3271.0, 19.0
surrogate, 98, 0.035421875, 0.9375, 0.03125, 22.505, 3271.0, 19.0
surrogate, 99, 0.0357890625, 0.9375, 0.03125, 22.514, 3271.0, 19.0
surrogate, 100, 0.0361015625, 0.9375, 0.03125, 22.5215, 3271.0, 19.0
surrogate, 101, 0.0361015625, 0.9375, 0.03125, 22.5215, 3271.0, 19.0
surrogate, 102, 0.03640625, 0.9375, 0.03125, 22.5295, 3271.0, 19.0
surrogate, 103, 0.0363828125, 0.9375, 0.03125, 22.527, 3271.0, 19.0
surrogate, 104, 0.03640625, 0.9375, 0.03125, 22.5285, 3271.0, 19.0
surrogate, 105, 0.0370390625, 0.9375, 0.03125, 22.5435, 3271.0, 19.0
surrogate, 106, 0.037015625, 0.9375, 0.03125, 22.5425, 3271.0, 19.0
surrogate, 107, 0.037609375, 0.9375, 0.03125, 24.1705, 3271.0, 19.0
surrogate, 108, 0.0371171875, 0.9375, 0.03125, 23.266, 3271.0, 19.0
surrogate, 109, 0.037984375, 0.9375, 0.03125, 24.599, 3271.0, 19.0
surrogate, 110, 0.03853125, 0.9375, 0.03125, 26.0465, 3271.0, 19.0
surrogate, 111, 0.03853125, 0.9375, 0.03125, 26.005, 3271.0, 19.0
surrogate, 112, 0.03853125, 0.9375, 0.03125, 26.005, 3271.0, 19.0
surrogate, 113, 0.0393359375, 0.9375, 0.03125, 27.487, 3271.0, 19.0
surrogate, 114, 0.038921875, 0.9375, 0.03125, 25.9725, 3271.0, 19.0
surrogate, 115, 0.038890625, 0.953125, 0.03125, 25.608, 3051.0, 19.0
surrogate, 116, 0.0393359375, 0.953125, 0.03125, 27.1095, 3051.0, 19.0
surrogate, 117, 0.0393359375, 0.953125, 0.03125, 27.1095, 3051.0, 19.0
surrogate, 118, 0.0397421875, 0.953125, 0.03125, 28.3015, 3051.0, 19.0
surrogate, 119, 0.0401328125, 0.953125, 0.03125, 28.3405, 3051.0, 19.0
surrogate, 120, 0.0401328125, 0.953125, 0.03125, 28.3405, 3051.0, 19.0
surrogate, 121, 0.0405546875, 0.953125, 0.03125, 29.743, 3051.0, 19.0
surrogate, 122, 0.04071875, 0.953125, 0.03125, 31.1385, 3051.0, 19.0
surrogate, 123, 0.041453125, 0.953125, 0.03125, 32.6615, 3051.0, 19.0
surrogate, 124, 0.041453125, 0.953125, 0.03125, 32.6615, 3051.0, 19.0
surrogate, 125, 0.0418515625, 0.953125, 0.03125, 33.3815, 3051.0, 19.0
surrogate, 126, 0.0418828125, 0.953125, 0.03125, 33.2465, 3051.0, 19.0
surrogate, 127, 0.042328125, 0.953125, 0.03125, 34.748, 3051.0, 19.0
surrogate, 128, 0.0427109375, 0.953125, 0.03125, 34.757, 3051.0, 19.0
surrogate, 129, 0.0431171875, 0.953125, 0.03125, 35.774, 3051.0, 19.0
surrogate, 130, 0.042875, 0.953125, 0.03125, 35.852, 3051.0, 19.0
surrogate, 131, 0.0422890625, 0.953125, 0.03125, 32.8215, 3051.0, 19.0
surrogate, 132, 0.0427109375, 0.953125, 0.03125, 34.2175, 3051.0, 19.0
surrogate, 133, 0.04309375, 0.953125, 0.03125, 34.2265, 3051.0, 19.0
surrogate, 134, 0.043546875, 0.953125, 0.03125, 35.7285, 3051.0, 19.0
surrogate, 135, 0.0421328125, 1.0, 0.03125, 31.1345, 2906.0, 19.0
surrogate, 136, 0.0418203125, 1.0, 0.03125, 31.1255, 2906.0, 19.0
surrogate, 137, 0.042265625, 1.0, 0.03125, 32.567, 2906.0, 19.0
surrogate, 138, 0.042, 1.0, 0.03125, 31.1415, 2906.0, 19.0
surrogate, 139, 0.042, 1.0, 0.03125, 30.855, 2906.0, 19.0
surrogate, 140, 0.042, 1.0, 0.03125, 30.855, 2906.0, 19.0
surrogate, 141, 0.0419921875, 1.0, 0.03125, 30.8015, 2906.0, 19.0
surrogate, 142, 0.0422578125, 1.0, 0.03125, 30.808, 2906.0, 19.0
surrogate, 143, 0.0422578125, 1.0, 0.03125, 30.806, 2906.0, 19.0
surrogate, 144, 0.042078125, 1.0, 0.03125, 30.8005, 2906.0, 19.0
surrogate, 145, 0.0426953125, 1.0, 0.03125, 32.1675, 2906.0, 19.0
surrogate, 146, 0.0426953125, 1.0, 0.03125, 32.1675, 2906.0, 19.0
surrogate, 147, 0.0426953125, 1.0, 0.03125, 32.1675, 2906.0, 19.0
surrogate, 148, 0.043109375, 1.0, 0.03125, 33.228, 2906.0, 19.0
surrogate, 149, 0.043109375, 1.0, 0.03125, 33.228, 2906.0, 19.0
surrogate, 150, 0.043109375, 1.0, 0.03125, 33.228, 2906.0, 19.0
surrogate, 151, 0.0426875, 1.0, 0.03125, 31.63, 2906.0, 19.0
surrogate, 152, 0.0426875, 1.0, 0.03125, 31.63, 2906.0, 19.0
surrogate, 153, 0.04275, 1.0, 0.03125, 32.994, 2906.0, 19.0
surrogate, 154, 0.0423515625, 1.0, 0.03125, 31.9465, 2906.0, 19.0
surrogate, 155, 0.0427421875, 1.0, 0.03125, 31.9585, 2906.0, 19.0
surrogate, 156, 0.042453125, 1.0, 0.03125, 31.951, 2906.0, 19.0
surrogate, 157, 0.0429375, 1.0, 0.03125, 33.3945, 2906.0, 19.0
surrogate, 158, 0.0432421875, 1.0, 0.03125, 33.402, 2906.0, 19.0
surrogate, 159, 0.0432421875, 1.0, 0.03125, 33.3795, 2906.0, 19.0
surrogate, 160, 0.0432421875, 1.0, 0.03125, 33.3795, 2906.0, 19.0
surrogate, 161, 0.0432421875, 1.0, 0.03125, 33.3795, 2906.0, 19.0
surrogate, 162, 0.043640625, 1.0, 0.03125, 33.7705, 2906.0, 19.0
surrogate, 163, 0.043640625, 1.0, 0.03125, 33.7705, 2906.0, 19.0
surrogate, 164, 0.043640625, 1.0, 0.03125, 33.7705, 2906.0, 19.0
surrogate, 165, 0.042921875, 1.0, 0.03125, 32.5675, 2906.0, 19.0
surrogate, 166, 0.0429296875, 1.0, 0.03125, 32.5675, 2906.0, 19.0
surrogate, 167, 0.04328125, 1.0, 0.03125, 32.5755, 2906.0, 19.0
surrogate, 168, 0.043703125, 1.0, 0.03125, 33.678, 2906.0, 19.0
surrogate, 169, 0.043703125, 1.0, 0.03125, 33.678, 2906.0, 19.0
surrogate, 170, 0.043703125, 1.0, 0.03125, 33.678, 2906.0, 19.0
surrogate, 171, 0.0438359375, 1.0, 0.03125, 34.51, 2906.0, 19.0
surrogate, 172, 0.0438359375, 1.0, 0.03125, 34.51, 2906.0, 19.0
surrogate, 173, 0.0438359375, 1.0, 0.03125, 34.51, 2906.0, 19.0
surrogate, 174, 0.0437265625, 1.0, 0.03125, 34.054, 2906.0, 19.0
surrogate, 175, 0.0437265625, 1.0, 0.03125, 34.054, 2906.0, 19.0
surrogate, 176, 0.0433125, 1.0, 0.03125, 32.976, 2906.0, 19.0
surrogate, 177, 0.0427578125, 1.0, 0.03125, 31.5085, 2906.0, 19.0
surrogate, 178, 0.043296875, 1.0, 0.03125, 31.832, 2906.0, 19.0
surrogate, 179, 0.043296875, 1.0, 0.03125, 31.832, 2906.0, 19.0
surrogate, 180, 0.0437109375, 1.0, 0.03125, 32.875, 2906.0, 19.0
surrogate, 181, 0.0428515625, 1.0, 0.03125, 30.5485, 2906.0, 19.0
surrogate, 182, 0.04328125, 1.0, 0.03125, 31.8875, 2906.0, 19.0
surrogate, 183, 0.04328125, 1.0, 0.03125, 31.8875, 2906.0, 19.0
surrogate, 184, 0.042984375, 1.0, 0.03125, 31.88, 2906.0, 19.0
surrogate, 185, 0.042984375, 1.0, 0.03125, 31.88, 2906.0, 19.0
surrogate, 186, 0.0428984375, 1.0, 0.03125, 31.2995, 2906.0, 19.0
surrogate, 187, 0.043296875, 1.0, 0.03125, 31.3495, 2906.0, 19.0
surrogate, 188, 0.043296875, 1.0, 0.03125, 31.3495, 2906.0, 19.0
surrogate, 189, 0.043296875, 1.0, 0.03125, 31.3495, 2906.0, 19.0
surrogate, 190, 0.043296875, 1.0, 0.03125, 31.3495, 2906.0, 19.0
surrogate, 191, 0.04375, 1.0, 0.03125, 32.7775, 2906.0, 19.0
surrogate, 192, 0.04375, 1.0, 0.03125, 32.7775, 2906.0, 19.0
surrogate, 193, 0.04375, 1.0, 0.03125, 32.7775, 2906.0, 19.0
surrogate, 194, 0.04375, 1.0, 0.03125, 32.7775, 2906.0, 19.0
surrogate, 195, 0.04375, 1.0, 0.03125, 32.7775, 2906.0, 19.0
surrogate, 196, 0.04375, 1.0, 0.03125, 32.7775, 2906.0, 19.0
surrogate, 197, 0.04375, 1.0, 0.03125, 32.7775, 2906.0, 19.0
surrogate, 198, 0.04415625, 1.0, 0.03125, 33.558, 2906.0, 19.0
surrogate, 199, 0.0438828125, 1.0, 0.03125, 33.551, 2906.0, 19.0
surrogate, 200, 0.0436328125, 1.0, 0.03125, 33.5445, 2906.0, 19.0
surrogate, 201, 0.0436328125, 1.0, 0.03125, 33.5445, 2906.0, 19.0
surrogate, 202, 0.0438125, 1.0, 0.03125, 32.511, 2906.0, 19.0
surrogate, 203, 0.0438125, 1.0, 0.03125, 32.511, 2906.0, 19.0
