# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
3.00,3.00,4.70,31.96,16.67,0.02,27.78
3.00,2.00,4.70,35.09,20.67,0.02,31.78
3.00,1.00,4.70,36.34,20.67,0.02,31.78
3.00,4.00,1.88,13.16,16.00,0.01,27.11
3.00,5.00,1.88,14.10,18.00,0.01,29.11
3.00,0.00,9.40,51.88,20.40,0.02,31.51
3.00,8.00,1.88,15.04,20.00,0.01,31.11
3.00,6.00,2.82,21.62,19.00,0.01,30.11
3.00,11.00,2.82,23.97,19.00,0.01,30.11
3.00,9.00,6.58,46.99,20.50,0.03,31.61
3.00,13.00,6.39,52.07,20.00,0.02,31.11
3.00,7.00,6.58,44.88,19.50,0.02,30.61
3.00,10.00,9.26,72.51,20.57,0.03,31.68
3.00,19.00,1.88,14.10,18.00,0.01,29.11
3.00,14.00,6.58,42.06,20.50,0.02,31.61
3.00,17.00,7.52,57.49,18.33,0.02,29.45
3.00,15.00,12.22,79.62,21.71,0.03,32.83
3.00,16.00,5.64,44.64,20.00,0.02,31.11
3.00,18.00,7.52,56.02,20.00,0.03,31.11
3.00,24.00,1.88,14.10,18.00,0.01,29.11
3.00,30.00,1.88,9.40,10.00,0.02,21.11
3.00,34.00,1.88,12.22,16.00,0.02,27.11
3.00,36.00,5.64,36.03,20.00,0.02,31.11
3.00,31.00,3.76,25.38,20.00,0.02,31.11
3.00,27.00,7.52,57.49,19.00,0.02,30.11
3.00,26.00,13.16,87.88,21.50,0.03,32.61
3.00,21.00,4.70,38.54,21.33,0.03,32.45
3.00,20.00,5.64,40.88,20.50,0.01,31.61
3.00,23.00,7.52,59.53,19.33,0.02,30.45
3.00,25.00,3.76,35.72,20.00,0.02,31.11
3.00,22.00,11.28,75.66,19.00,0.03,30.11
3.00,28.00,9.40,80.96,22.57,0.03,33.68
3.00,12.00,13.16,112.88,22.20,0.04,33.31
3.00,64.00,1.88,14.10,18.00,0.01,29.11
3.00,65.00,1.88,12.22,14.00,0.01,25.11
3.00,69.00,2.82,13.16,16.00,0.02,27.11
3.00,41.00,1.88,11.28,12.00,0.01,23.11
3.00,29.00,1.88,12.22,16.00,0.02,27.11
3.00,48.00,1.88,15.04,20.00,0.01,31.11
3.00,35.00,1.88,14.10,18.00,0.01,29.11
3.00,42.00,1.88,14.10,18.00,0.01,29.11
3.00,43.00,1.88,14.10,18.00,0.01,29.11
3.00,46.00,3.76,22.56,19.00,0.01,30.11
3.00,68.00,4.70,31.96,18.00,0.03,29.11
3.00,52.00,2.82,22.56,20.00,0.01,31.11
3.00,38.00,8.46,56.55,19.33,0.02,30.45
3.00,33.00,10.34,78.14,21.71,0.04,32.83
3.00,67.00,5.64,43.00,19.00,0.02,30.11
3.00,47.00,4.70,34.15,20.00,0.02,31.11
3.00,37.00,3.76,39.47,20.67,0.03,31.78
3.00,40.00,5.64,35.01,17.00,0.02,28.11
3.00,39.00,10.34,88.47,21.50,0.03,32.61
3.00,66.00,13.16,108.74,21.40,0.03,32.51
3.00,45.00,6.58,55.08,20.80,0.03,31.91
3.00,44.00,11.28,82.00,20.75,0.03,31.86
3.00,32.00,15.98,89.99,21.75,0.04,32.86
3.00,82.00,1.88,14.10,20.00,0.02,31.11
3.00,79.00,1.88,14.10,18.00,0.01,29.11
3.00,73.00,1.88,13.16,18.00,0.02,29.11
3.00,63.00,3.76,24.44,19.00,0.01,30.11
3.00,55.00,4.70,36.66,21.33,0.02,32.45
3.00,54.00,1.88,13.16,16.00,0.01,27.11
3.00,59.00,5.64,44.93,18.00,0.02,29.11
3.00,56.00,4.70,33.84,19.33,0.02,30.45
3.00,60.00,1.88,15.04,20.00,0.01,31.11
3.00,53.00,5.64,44.64,21.00,0.02,32.11
3.00,81.00,5.64,37.36,18.00,0.02,29.11
3.00,70.00,5.64,32.90,20.67,0.01,31.78
3.00,74.00,4.70,36.03,20.67,0.02,31.78
3.00,80.00,4.70,36.34,20.67,0.02,31.78
3.00,75.00,5.64,49.44,19.60,0.03,30.71
3.00,76.00,4.70,34.15,20.67,0.02,31.78
3.00,57.00,5.64,39.79,20.67,0.03,31.78
3.00,71.00,3.76,24.91,20.00,0.01,31.11
3.00,61.00,5.64,43.00,19.00,0.02,30.11
3.00,97.00,1.88,18.33,16.00,0.01,27.11
3.00,78.00,10.34,78.01,21.71,0.03,32.83
3.00,51.00,10.34,65.01,21.33,0.03,32.45
3.00,50.00,10.34,70.49,19.71,0.03,30.83
3.00,49.00,15.98,89.99,21.75,0.04,32.86
3.00,72.00,11.28,86.00,20.50,0.03,31.61
3.00,77.00,14.10,98.78,20.00,0.04,31.11
3.00,62.00,17.86,103.76,21.40,0.04,32.51
3.00,58.00,10.93,87.88,20.50,0.05,31.62
3.00,89.00,5.64,32.90,20.67,0.02,31.78
3.00,90.00,4.70,33.21,18.67,0.02,29.78
3.00,94.00,1.88,13.16,16.00,0.02,27.11
3.00,102.00,3.76,25.38,19.00,0.03,30.11
3.00,98.00,1.88,13.16,18.00,0.02,29.11
3.00,93.00,1.88,14.10,18.00,0.01,29.11
3.00,88.00,3.76,22.56,14.00,0.02,25.11
3.00,96.00,5.64,46.76,21.00,0.02,32.11
3.00,101.00,6.58,42.76,20.50,0.02,31.61
