method, generation, latency, ar
surrogate, 1, 38.0, 0.625
surrogate, 1, 36.0, 0.59375
surrogate, 1, 35.0, 0.53125
surrogate, 1, 34.0, 0.5
surrogate, 1, 34.0, 0.5
surrogate, 1, 32.0, 0.4375
surrogate, 1, 32.0, 0.4375
surrogate, 1, 31.0, 0.34375
surrogate, 1, 31.0, 0.34375
surrogate, 1, 29.0, 0.28125
surrogate, 1, 28.0, 0.21875
surrogate, 1, 28.0, 0.21875
surrogate, 1, 27.0, 0.15625
surrogate, 1, 26.0, 0.09375
surrogate, 1, 26.0, 0.09375
surrogate, 1, 26.0, 0.09375
surrogate, 1, 26.0, 0.09375
surrogate, 1, 23.0, 0.0625
surrogate, 1, 23.0, 0.0625
surrogate, 1, 21.0, 0.03125
surrogate, 1, 21.0, 0.03125
surrogate, 1, 21.0, 0.03125
surrogate, 1, 21.0, 0.03125
surrogate, 2, 38.0, 0.625
surrogate, 2, 38.0, 0.625
surrogate, 2, 36.0, 0.59375
surrogate, 2, 36.0, 0.59375
surrogate, 2, 36.0, 0.59375
surrogate, 2, 35.0, 0.53125
surrogate, 2, 35.0, 0.53125
surrogate, 2, 34.0, 0.5
surrogate, 2, 34.0, 0.5
surrogate, 2, 34.0, 0.5
surrogate, 2, 32.0, 0.4375
surrogate, 2, 32.0, 0.4375
surrogate, 2, 32.0, 0.4375
surrogate, 2, 32.0, 0.4375
surrogate, 2, 31.0, 0.34375
surrogate, 2, 31.0, 0.34375
surrogate, 2, 31.0, 0.34375
surrogate, 2, 31.0, 0.34375
surrogate, 2, 29.0, 0.28125
surrogate, 2, 29.0, 0.28125
surrogate, 2, 28.0, 0.21875
surrogate, 2, 28.0, 0.21875
surrogate, 2, 28.0, 0.21875
surrogate, 2, 28.0, 0.21875
surrogate, 2, 27.0, 0.15625
surrogate, 2, 27.0, 0.15625
surrogate, 2, 26.0, 0.09375
surrogate, 2, 26.0, 0.09375
surrogate, 2, 26.0, 0.09375
surrogate, 2, 26.0, 0.09375
surrogate, 2, 26.0, 0.09375
surrogate, 2, 26.0, 0.09375
surrogate, 2, 26.0, 0.09375
surrogate, 2, 26.0, 0.09375
surrogate, 2, 23.0, 0.0625
surrogate, 2, 23.0, 0.0625
surrogate, 2, 23.0, 0.0625
surrogate, 2, 23.0, 0.0625
surrogate, 2, 21.0, 0.03125
surrogate, 2, 21.0, 0.03125
surrogate, 2, 21.0, 0.03125
surrogate, 2, 21.0, 0.03125
surrogate, 2, 21.0, 0.03125
surrogate, 2, 21.0, 0.03125
