method, generation, latency, ar
surrogate, 1, 39.0, 0.75
surrogate, 1, 36.0, 0.59375
surrogate, 1, 34.0, 0.5
surrogate, 1, 34.0, 0.5
surrogate, 1, 33.0, 0.4375
surrogate, 1, 31.0, 0.40625
surrogate, 1, 30.0, 0.3125
surrogate, 1, 29.0, 0.28125
surrogate, 1, 28.0, 0.25
surrogate, 1, 27.0, 0.1875
surrogate, 1, 26.0, 0.15625
surrogate, 1, 23.0, 0.0625
surrogate, 1, 19.0, 0.03125
surrogate, 2, 39.0, 0.75
surrogate, 2, 39.0, 0.75
surrogate, 2, 36.0, 0.59375
surrogate, 2, 36.0, 0.59375
surrogate, 2, 34.0, 0.5
surrogate, 2, 34.0, 0.5
surrogate, 2, 34.0, 0.5
surrogate, 2, 34.0, 0.5
surrogate, 2, 33.0, 0.4375
surrogate, 2, 31.0, 0.40625
surrogate, 2, 30.0, 0.3125
surrogate, 2, 30.0, 0.3125
surrogate, 2, 29.0, 0.28125
surrogate, 2, 29.0, 0.28125
surrogate, 2, 28.0, 0.25
surrogate, 2, 27.0, 0.1875
surrogate, 2, 27.0, 0.1875
surrogate, 2, 26.0, 0.15625
surrogate, 2, 26.0, 0.15625
surrogate, 2, 25.0, 0.125
surrogate, 2, 23.0, 0.0625
surrogate, 2, 23.0, 0.0625
surrogate, 2, 19.0, 0.03125
surrogate, 3, 38.0, 0.75
surrogate, 3, 37.0, 0.65625
surrogate, 3, 35.0, 0.59375
surrogate, 3, 34.0, 0.5625
surrogate, 3, 32.0, 0.5
surrogate, 3, 31.0, 0.40625
surrogate, 3, 31.0, 0.40625
surrogate, 3, 30.0, 0.3125
surrogate, 3, 30.0, 0.3125
surrogate, 3, 30.0, 0.3125
surrogate, 3, 30.0, 0.3125
surrogate, 3, 29.0, 0.28125
surrogate, 3, 29.0, 0.28125
surrogate, 3, 29.0, 0.28125
surrogate, 3, 29.0, 0.28125
surrogate, 3, 28.0, 0.25
surrogate, 3, 27.0, 0.1875
surrogate, 3, 27.0, 0.1875
surrogate, 3, 27.0, 0.1875
surrogate, 3, 27.0, 0.1875
surrogate, 3, 26.0, 0.15625
surrogate, 3, 26.0, 0.15625
surrogate, 3, 26.0, 0.15625
surrogate, 3, 25.0, 0.125
surrogate, 3, 25.0, 0.125
surrogate, 3, 23.0, 0.0625
surrogate, 3, 23.0, 0.0625
surrogate, 3, 23.0, 0.0625
surrogate, 3, 23.0, 0.0625
surrogate, 3, 19.0, 0.03125
surrogate, 3, 19.0, 0.03125
surrogate, 4, 38.0, 0.75
surrogate, 4, 37.0, 0.65625
surrogate, 4, 35.0, 0.625
surrogate, 4, 34.0, 0.5625
surrogate, 4, 34.0, 0.5625
surrogate, 4, 32.0, 0.5
surrogate, 4, 32.0, 0.5
surrogate, 4, 31.0, 0.40625
surrogate, 4, 31.0, 0.40625
surrogate, 4, 31.0, 0.40625
surrogate, 4, 31.0, 0.40625
surrogate, 4, 30.0, 0.34375
surrogate, 4, 29.0, 0.28125
surrogate, 4, 29.0, 0.28125
surrogate, 4, 29.0, 0.28125
surrogate, 4, 29.0, 0.28125
surrogate, 4, 29.0, 0.28125
surrogate, 4, 29.0, 0.28125
surrogate, 4, 29.0, 0.28125
surrogate, 4, 29.0, 0.28125
surrogate, 4, 28.0, 0.25
surrogate, 4, 28.0, 0.25
surrogate, 4, 26.0, 0.1875
surrogate, 4, 25.0, 0.125
surrogate, 4, 25.0, 0.125
surrogate, 4, 25.0, 0.125
surrogate, 4, 25.0, 0.125
surrogate, 4, 23.0, 0.0625
surrogate, 4, 23.0, 0.0625
surrogate, 4, 23.0, 0.0625
surrogate, 4, 23.0, 0.0625
surrogate, 4, 23.0, 0.0625
surrogate, 4, 23.0, 0.0625
surrogate, 4, 23.0, 0.0625
surrogate, 4, 23.0, 0.0625
surrogate, 4, 19.0, 0.03125
surrogate, 4, 19.0, 0.03125
surrogate, 4, 19.0, 0.03125
surrogate, 4, 19.0, 0.03125
surrogate, 4, 19.0, 0.03125
surrogate, 5, 38.0, 0.75
surrogate, 5, 36.0, 0.6875
surrogate, 5, 35.0, 0.625
surrogate, 5, 34.0, 0.5625
surrogate, 5, 34.0, 0.5625
surrogate, 5, 34.0, 0.5625
surrogate, 5, 34.0, 0.5625
surrogate, 5, 33.0, 0.53125
surrogate, 5, 32.0, 0.5
surrogate, 5, 32.0, 0.5
surrogate, 5, 32.0, 0.5
surrogate, 5, 31.0, 0.4375
surrogate, 5, 30.0, 0.34375
surrogate, 5, 30.0, 0.34375
surrogate, 5, 30.0, 0.34375
surrogate, 5, 28.0, 0.28125
surrogate, 5, 26.0, 0.1875
surrogate, 5, 26.0, 0.1875
surrogate, 5, 25.0, 0.125
surrogate, 5, 25.0, 0.125
surrogate, 5, 25.0, 0.125
surrogate, 5, 25.0, 0.125
surrogate, 5, 25.0, 0.125
surrogate, 5, 25.0, 0.125
surrogate, 5, 25.0, 0.125
surrogate, 5, 25.0, 0.125
surrogate, 5, 23.0, 0.0625
surrogate, 5, 23.0, 0.0625
surrogate, 5, 23.0, 0.0625
surrogate, 5, 23.0, 0.0625
surrogate, 5, 23.0, 0.0625
surrogate, 5, 23.0, 0.0625
surrogate, 5, 23.0, 0.0625
surrogate, 5, 23.0, 0.0625
surrogate, 5, 23.0, 0.0625
surrogate, 5, 23.0, 0.0625
surrogate, 5, 23.0, 0.0625
surrogate, 5, 23.0, 0.0625
surrogate, 5, 23.0, 0.0625
surrogate, 5, 23.0, 0.0625
surrogate, 5, 23.0, 0.0625
surrogate, 5, 19.0, 0.03125
surrogate, 5, 19.0, 0.03125
surrogate, 5, 19.0, 0.03125
surrogate, 5, 19.0, 0.03125
surrogate, 5, 19.0, 0.03125
surrogate, 5, 19.0, 0.03125
surrogate, 5, 19.0, 0.03125
surrogate, 5, 19.0, 0.03125
surrogate, 5, 19.0, 0.03125
surrogate, 5, 19.0, 0.03125
surrogate, 6, 37.0, 1.0
surrogate, 6, 36.0, 0.6875
surrogate, 6, 36.0, 0.6875
surrogate, 6, 35.0, 0.625
surrogate, 6, 35.0, 0.625
surrogate, 6, 34.0, 0.5625
surrogate, 6, 34.0, 0.5625
surrogate, 6, 34.0, 0.5625
surrogate, 6, 34.0, 0.5625
surrogate, 6, 34.0, 0.5625
surrogate, 6, 34.0, 0.5625
surrogate, 6, 34.0, 0.5625
surrogate, 6, 32.0, 0.53125
surrogate, 6, 31.0, 0.46875
surrogate, 6, 30.0, 0.34375
surrogate, 6, 30.0, 0.34375
surrogate, 6, 30.0, 0.34375
surrogate, 6, 30.0, 0.34375
surrogate, 6, 30.0, 0.34375
surrogate, 6, 29.0, 0.3125
surrogate, 6, 28.0, 0.28125
surrogate, 6, 28.0, 0.28125
surrogate, 6, 28.0, 0.28125
surrogate, 6, 28.0, 0.28125
surrogate, 6, 28.0, 0.28125
surrogate, 6, 27.0, 0.21875
surrogate, 6, 26.0, 0.1875
surrogate, 6, 26.0, 0.1875
surrogate, 6, 26.0, 0.1875
surrogate, 6, 26.0, 0.1875
surrogate, 6, 26.0, 0.1875
surrogate, 6, 25.0, 0.125
surrogate, 6, 25.0, 0.125
surrogate, 6, 25.0, 0.125
surrogate, 6, 25.0, 0.125
surrogate, 6, 25.0, 0.125
surrogate, 6, 25.0, 0.125
surrogate, 6, 25.0, 0.125
surrogate, 6, 25.0, 0.125
surrogate, 6, 25.0, 0.125
surrogate, 6, 25.0, 0.125
surrogate, 6, 25.0, 0.125
surrogate, 6, 25.0, 0.125
surrogate, 6, 25.0, 0.125
surrogate, 6, 25.0, 0.125
surrogate, 6, 25.0, 0.125
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 23.0, 0.0625
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
surrogate, 6, 19.0, 0.03125
emulator, 6, 37.0, 1.0
