VNF,Metric,Mean,Median,Q1,Q3,Std,Min,Max
waf,cpu,73.21,68.78,66.55,70.76,19.56,64.32,199.57
waf,memory,124.86,127.16,90.18,153.22,35.39,71.84,181.81
lb,cpu,172.57,176.53,139.06,189.87,44.12,123.03,381.07
lb,memory,182.65,192.41,155.61,204.06,27.26,136.95,226.77
tm,cpu,175.86,183.50,150.02,198.91,29.76,119.07,264.25
tm,memory,81.79,71.64,68.09,77.11,35.43,66.01,296.66
ips,cpu,98.85,80.60,72.40,115.91,33.46,69.43,184.66
ips,memory,166.46,173.84,132.87,189.11,30.69,116.17,243.87
ids,cpu,181.81,191.58,162.83,198.49,25.93,135.28,232.07
ids,memory,189.34,198.53,161.11,206.97,30.63,135.82,297.68
dpi,cpu,114.67,111.91,78.56,139.50,39.43,66.65,292.82
dpi,memory,71.51,67.67,66.37,71.14,11.87,64.88,143.33
ha,cpu,107.36,103.70,72.33,132.63,34.67,69.93,187.53
ha,memory,171.50,180.95,138.19,193.04,34.05,120.54,304.22
dummy,cpu,183.23,199.35,147.64,205.85,29.09,135.14,224.88
dummy,memory,182.90,196.21,143.26,202.91,38.71,135.50,359.99
