time,sfc,reqps,max_cpu,max_memory,total_link_score,max_link_score,total_delay,generation,individual,ar,real_reqps,latency
0,sfc0_0,0.0,0.09167460352182388,0.020757820567544348,0.0,0.0,8,0,0,1.0,3.0,29.414213
0,sfc1_0,0.0,0.09167460352182388,0.020757820567544348,0.0,0.0,8,0,0,1.0,3.0,31.31056
1,sfc0_0,2.0,0.10433337837457657,0.020751770621376335,0.0,0.0,8,0,0,1.0,5.0,18.513595
1,sfc1_0,2.0,0.10433337837457657,0.020751770621376335,0.0,0.0,8,0,0,1.0,5.0,19.844838
2,sfc0_0,4.0,0.11699128895998001,0.02074905659577664,0.0,0.0,8,0,0,1.0,7.0,15.873286
2,sfc1_0,4.0,0.11699128895998001,0.02074905659577664,0.0,0.0,8,0,0,1.0,7.0,17.328579
3,sfc0_0,6.0,0.12965040653944016,0.020747094540887093,0.0,0.0,8,0,0,1.0,9.0,15.384416
3,sfc1_0,6.0,0.12965040653944016,0.020747094540887093,0.0,0.0,8,0,0,1.0,9.0,16.746103
4,sfc0_0,8.0,0.14230792969465256,0.02074781517948432,0.0,0.0,8,0,0,1.0,12.0,15.5604875
4,sfc1_0,8.0,0.14230792969465256,0.02074781517948432,0.0,0.0,8,0,0,1.0,11.0,17.212215
5,sfc0_0,10.0,0.15496670454740524,0.02074878932335883,0.0,0.0,8,0,0,1.0,13.0,14.834953
5,sfc1_0,10.0,0.15496670454740524,0.02074878932335883,0.0,0.0,8,0,0,1.0,14.0,16.5225385
6,sfc0_0,13.0,0.17395343631505966,0.020750250539170595,0.0,0.0,8,0,0,1.0,16.0,15.236558500000001
6,sfc1_0,13.0,0.17395343631505966,0.020750250539170595,0.0,0.0,8,0,0,1.0,16.0,16.791109499999997
7,sfc0_0,15.0,0.18661204725503922,0.02075122278412917,0.0,0.0,8,0,0,1.0,18.0,14.9711245
7,sfc1_0,15.0,0.18661204725503922,0.02075122278412917,0.0,0.0,8,0,0,1.0,18.0,16.295625
8,sfc0_0,17.0,0.1992700919508934,0.020752197402732663,0.0,0.0,8,0,0,1.0,20.0,14.7292185
8,sfc1_0,17.0,0.1992700919508934,0.020752197402732663,0.0,0.0,8,0,0,1.0,20.0,15.941635999999999
9,sfc0_0,19.0,0.21192874759435654,0.02075318388956075,0.0,0.0,8,0,0,1.0,22.0,14.132654500000001
