time,sfc,reqps,max_cpu,max_memory,total_link_score,max_link_score,total_delay,generation,individual,ar,real_reqps,latency
0,sfc0_0,0.0,0.00019680894911289215,0.005559804633148278,0.0,0.0,20,0,0,1.0,3.0,86.696813
0,sfc1_0,0.0,0.00021250051213428378,0.007527810013141714,0.0,0.0,20,0,0,1.0,3.0,44.103561
1,sfc0_0,2.0,0.00021883705630898476,0.005558347689897367,12.0,1.0,20,0,0,1.0,5.0,34.429999
1,sfc1_0,2.0,0.00024680153001099825,0.007524357309243413,12.0,1.0,20,0,0,1.0,5.0,36.605099
2,sfc0_0,4.0,0.00024086236953735352,0.0055568912213754375,24.0,2.0,20,0,0,1.0,7.0,34.743764
2,sfc1_0,4.0,0.0002811028389260173,0.007522689823688238,24.0,2.0,20,0,0,1.0,7.0,35.148116
3,sfc0_0,6.0,0.0002628904767334461,0.005555434278124525,36.0,3.0,20,0,0,1.0,9.0,32.142392
3,sfc1_0,6.0,0.0003154054284095764,0.007521775733030163,36.0,3.0,20,0,0,1.0,9.0,33.012753
4,sfc0_0,8.0,0.00028491346165537834,0.005553977334873612,48.0,4.0,20,0,0,1.0,12.0,31.0170215
4,sfc1_0,8.0,0.00034970766864717007,0.007523544098494369,48.0,4.0,20,0,0,1.0,12.0,32.825205
5,sfc0_0,10.0,0.00030694156885147095,0.0055525203916227,60.0,5.0,20,0,0,1.0,14.0,31.409664
5,sfc1_0,10.0,0.00038400967605412006,0.0075255659692358605,60.0,5.0,20,0,0,1.0,14.0,32.8202335
6,sfc0_0,13.0,0.0003399788402020931,0.005550335214110823,78.0,6.5,20,0,0,1.0,16.0,29.307783
6,sfc1_0,13.0,0.00043546222150325775,0.007528598063254621,78.0,6.5,20,0,0,1.0,16.0,31.4355895
7,sfc0_0,15.0,0.0003620060160756111,0.00554887827085991,90.0,7.5,20,0,0,1.0,18.0,29.303812
7,sfc1_0,15.0,0.0004697641124948859,0.007530618509809162,90.0,7.5,20,0,0,1.0,18.0,30.92943
8,sfc0_0,17.0,0.0003840313293039799,0.005547421327608998,102.0,8.5,20,0,0,1.0,20.0,29.048493
8,sfc1_0,17.0,0.0005040660034865141,0.007532640617915145,102.0,8.5,20,0,0,1.0,20.0,30.757036499999998
9,sfc0_0,19.0,0.00040605897083878517,0.005545970555834874,114.0,9.5,20,0,0,1.0,22.0,28.4978355
9,sfc1_0,19.0,0.0005383673124015331,0.007534662251292144,114.0,9.5,20,0,0,1.0,22.0,30.525804
10,sfc0_0,21.0,0.0004280824214220047,0.0055456183069289835,126.0,10.5,20,0,0,1.0,24.0,29.1523685
10,sfc1_0,21.0,0.0005726699018850923,0.0075366836473046515,126.0,10.5,20,0,0,1.0,24.0,30.8678995
11,sfc0_0,23.0,0.00045010726898908615,0.005545744584838642,138.0,11.5,20,0,0,1.0,26.0,28.7503035
11,sfc1_0,23.0,0.0006069729570299387,0.007538705518046142,138.0,11.5,20,0,0,1.0,26.0,30.3657075
12,sfc0_0,25.0,0.00047213397920131683,0.0055458708627483,150.0,12.5,20,0,0,1.0,28.0,28.6833825
12,sfc1_0,25.0,0.0006412740331143141,0.007540725964600682,150.0,12.5,20,0,0,1.0,28.0,30.1686775
13,sfc0_0,27.0,0.0004941597580909729,0.005545996665928976,162.0,13.5,20,0,0,1.0,30.0,28.870597500000002
13,sfc1_0,27.0,0.0006755741778761148,0.0075427480727066655,162.0,13.5,20,0,0,1.0,30.0,30.2706655
14,sfc0_0,29.0,0.0005161864683032036,0.005546122469109651,174.0,14.5,20,0,0,1.0,32.0,29.153254
14,sfc1_0,29.0,0.000709876767359674,0.007544768281896714,174.0,14.5,20,0,0,1.0,32.0,30.2523635
15,sfc0_0,31.0,0.0005382136441767216,0.005546248272290326,186.0,15.5,20,0,0,1.0,35.0,28.426825
15,sfc1_0,31.0,0.0007441784255206585,0.007546790390002697,186.0,15.5,20,0,0,1.0,34.0,29.7698215
16,sfc0_0,33.0,0.0005602375604212284,0.005546373600742017,198.0,16.5,20,0,0,1.0,37.0,28.578783
16,sfc1_0,33.0,0.0007784798508509994,0.007548811548650712,198.0,16.5,20,0,0,1.0,37.0,29.847974
17,sfc0_0,36.0,0.0005932748317718506,0.005546563017606506,216.0,18.0,20,0,0,1.0,39.0,28.293833
17,sfc1_0,36.0,0.0008299341425299644,0.0075518441173984575,216.0,18.0,20,0,0,1.0,39.0,29.340332
18,sfc0_0,38.0,0.000615299679338932,0.0055466888207871805,228.0,19.0,20,0,0,1.0,40.0,28.217368
18,sfc1_0,38.0,0.0008642353350296617,0.007553865513410965,228.0,19.0,20,0,0,1.0,41.0,28.981328
19,sfc0_0,40.0,0.0006373273208737373,0.005546814623967855,240.0,20.0,20,0,0,1.0,44.0,27.7083285
19,sfc1_0,40.0,0.0008985381573438644,0.007555886434694488,240.0,20.0,20,0,0,1.0,43.0,28.802679
20,sfc0_0,42.0,0.0006593526341021061,0.005546940901877515,252.0,21.0,20,0,0,1.0,44.0,27.888742
20,sfc1_0,42.0,0.0009328383021056652,0.00755790830543598,252.0,21.0,20,0,0,1.0,45.0,29.350987
21,sfc0_0,44.0,0.0006813788786530495,0.00554706670505819,264.0,22.0,20,0,0,1.0,48.0,27.975642
21,sfc1_0,44.0,0.0009671410080045462,0.007559928989355012,264.0,22.0,20,0,0,1.0,47.0,29.130689
22,sfc0_0,46.0,0.0007034055888652802,0.0055471925082388645,276.0,23.0,20,0,0,1.0,49.0,27.643717
22,sfc1_0,46.0,0.0010014453437179327,0.007561951097460994,276.0,23.0,20,0,0,1.0,49.0,29.328665
23,sfc0_0,48.0,0.0007254322990775108,0.005547318311419539,288.0,24.0,20,0,0,1.0,51.0,27.862208
23,sfc1_0,48.0,0.0010357480496168137,0.00756397225610901,288.0,24.0,20,0,0,1.0,51.0,29.163513
24,sfc0_0,50.0,0.0007474562153220177,0.005547444114600215,300.0,25.0,20,0,0,1.0,53.0,27.29497
24,sfc1_0,50.0,0.0010700483107939363,0.007565993889486009,300.0,25.0,20,0,0,1.0,53.0,28.559404
25,sfc0_0,52.0,0.0007694819942116737,0.0055475703925098735,312.0,26.0,20,0,0,1.0,54.0,27.1558125
25,sfc1_0,52.0,0.0011043492704629898,0.007568015760227501,312.0,26.0,20,0,0,1.0,55.0,28.827269
26,sfc0_0,54.0,0.0007915087044239044,0.005547695720961565,324.0,27.0,20,0,0,1.0,58.0,27.3139405
26,sfc1_0,54.0,0.001138651859946549,0.007570036681511024,324.0,27.0,20,0,0,1.0,58.0,29.050072
27,sfc0_0,56.0,0.0008135335519909859,0.005547821998871223,336.0,28.0,20,0,0,1.0,60.0,27.049341
27,sfc1_0,56.0,0.0011729523539543152,0.007572058552252515,336.0,28.0,20,0,0,1.0,59.0,28.939217
28,sfc0_0,59.0,0.0008465731516480446,0.005548010466277745,354.0,29.5,20,0,0,1.0,62.0,27.1847255
28,sfc1_0,59.0,0.001224407576955855,0.007575090171542293,354.0,29.5,20,0,0,1.0,62.0,28.896948
29,sfc0_0,61.0,0.000868597999215126,0.0055481362694584195,366.0,30.5,20,0,0,1.0,64.0,27.2865085
29,sfc1_0,61.0,0.0012587097007781267,0.007577152156882905,366.0,30.5,20,0,0,1.0,64.0,28.780689000000002
30,sfc0_0,63.0,0.0008906223811209202,0.005548262547368078,378.0,31.5,20,0,0,1.0,66.0,27.1335955
30,sfc1_0,63.0,0.001293010893277824,0.007579292472505824,378.0,31.5,20,0,0,1.0,67.0,28.600815
31,sfc0_0,65.0,0.0009126486256718636,0.005548387875819769,390.0,32.5,20,0,0,1.0,68.0,26.9375335
31,sfc1_0,65.0,0.0013273113872855902,0.007581432550764251,390.0,32.5,20,0,0,1.0,68.0,28.333530000000003
32,sfc0_0,67.0,0.0009346753358840942,0.0055485141537294285,402.0,33.5,20,0,0,1.0,70.0,26.742197500000003
32,sfc1_0,67.0,0.0013616158394142985,0.007583573815845138,402.0,33.5,20,0,0,1.0,69.0,28.153895
33,sfc0_0,69.0,0.0009567011147737503,0.005548639956910103,414.0,34.5,20,0,0,1.0,72.0,26.623204
33,sfc1_0,69.0,0.0013959161005914211,0.007585714131468057,414.0,34.5,20,0,0,1.0,73.0,28.019219
34,sfc0_0,71.0,0.0009787250310182571,0.005548765760090778,426.0,35.5,20,0,0,1.0,74.0,26.708142
34,sfc1_0,71.0,0.0014302181079983711,0.007587855633913436,426.0,35.5,20,0,0,1.0,74.0,28.163114999999998
35,sfc0_0,73.0,0.0010007508099079132,0.00554889108854247,438.0,36.5,20,0,0,1.0,76.0,26.629447499999998
