time,sfc,reqps,max_cpu,max_memory,total_link_score,max_link_score,total_delay,generation,individual,ar,real_reqps,latency
0,sfc0_0,0.0,0.0007162096444517374,1.3031251430511475,0.0,0.0,8,0,0,1.0,2.0,52.414933
0,sfc1_0,0.0,0.0007162096444517374,1.3031251430511475,0.0,0.0,8,0,0,1.0,2.0,31.8869565
1,sfc0_0,2.0,0.0008151045185513794,1.3027453124523163,0.0,0.0,8,0,0,1.0,4.0,21.6876685
1,sfc1_0,2.0,0.0008151045185513794,1.3027453124523163,0.0,0.0,8,0,0,1.0,4.0,18.898699999999998
2,sfc0_0,4.0,0.0009139944449998438,1.3025749325752258,0.0,0.0,8,0,0,1.0,6.0,15.42163
2,sfc1_0,4.0,0.0009139944449998438,1.3025749325752258,0.0,0.0,8,0,0,1.0,6.0,17.2936185
3,sfc0_0,6.0,0.0010128938010893762,1.3024517595767975,0.0,0.0,8,0,0,1.0,8.0,14.806733000000001
3,sfc1_0,6.0,0.0010128938010893762,1.3024517595767975,0.0,0.0,8,0,0,1.0,8.0,16.3310995
4,sfc0_0,8.0,0.001111780700739473,1.302496999502182,0.0,0.0,8,0,0,1.0,11.0,14.770251
4,sfc1_0,8.0,0.001111780700739473,1.302496999502182,0.0,0.0,8,0,0,1.0,10.0,16.898528499999998
5,sfc0_0,10.0,0.0012106773792766035,1.3025581538677216,0.0,0.0,8,0,0,1.0,13.0,14.619777
5,sfc1_0,10.0,0.0012106773792766035,1.3025581538677216,0.0,0.0,8,0,0,1.0,13.0,16.609512
6,sfc0_0,13.0,0.0013590112212114036,1.3026498854160309,0.0,0.0,8,0,0,1.0,15.0,14.871714
6,sfc1_0,13.0,0.0013590112212114036,1.3026498854160309,0.0,0.0,8,0,0,1.0,15.0,16.832335
7,sfc0_0,15.0,0.0014579066191799939,1.3027109205722809,0.0,0.0,8,0,0,1.0,17.0,14.533024
7,sfc1_0,15.0,0.0014579066191799939,1.3027109205722809,0.0,0.0,8,0,0,1.0,17.0,16.110309
8,sfc0_0,17.0,0.0015567975933663547,1.3027721047401428,0.0,0.0,8,0,0,1.0,19.0,14.361861
8,sfc1_0,17.0,0.0015567975933663547,1.3027721047401428,0.0,0.0,8,0,0,1.0,19.0,15.662207
9,sfc0_0,19.0,0.0016556933405809104,1.3028340339660645,0.0,0.0,8,0,0,1.0,21.0,14.297824
9,sfc1_0,19.0,0.0016556933405809104,1.3028340339660645,0.0,0.0,8,0,0,1.0,21.0,16.028245
10,sfc0_0,21.0,0.0017545808223076165,1.303033858537674,0.0,0.0,8,0,0,1.0,24.0,13.7840815
10,sfc1_0,21.0,0.0017545808223076165,1.303033858537674,0.0,0.0,8,0,0,1.0,23.0,15.164904
11,sfc0_0,23.0,0.0018534738919697702,1.3032937943935394,0.0,0.0,8,0,0,1.0,25.0,13.896623
11,sfc1_0,23.0,0.0018534738919697702,1.3032937943935394,0.0,0.0,8,0,0,1.0,26.0,15.468102
12,sfc0_0,25.0,0.0019523666123859584,1.3035536110401154,0.0,0.0,8,0,0,1.0,27.0,13.972372
12,sfc1_0,25.0,0.0019523666123859584,1.3035536110401154,0.0,0.0,8,0,0,1.0,27.0,15.399446
13,sfc0_0,27.0,0.002051255141850561,1.3038135170936584,0.0,0.0,8,0,0,1.0,29.0,13.890756
13,sfc1_0,27.0,0.002051255141850561,1.3038135170936584,0.0,0.0,8,0,0,1.0,29.0,15.248393
14,sfc0_0,29.0,0.002150151936803013,1.3040732741355896,0.0,0.0,8,0,0,1.0,31.0,13.94224
14,sfc1_0,29.0,0.002150151936803013,1.3040732741355896,0.0,0.0,8,0,0,1.0,31.0,15.033369
15,sfc0_0,31.0,0.002249045006465167,1.3043331801891327,0.0,0.0,8,0,0,1.0,34.0,13.519269000000001
15,sfc1_0,31.0,0.002249045006465167,1.3043331801891327,0.0,0.0,8,0,0,1.0,33.0,15.188403
16,sfc0_0,33.0,0.0023479327210225165,1.3045929372310638,0.0,0.0,8,0,0,1.0,36.0,13.2406665
16,sfc1_0,33.0,0.0023479327210225165,1.3045929372310638,0.0,0.0,8,0,0,1.0,36.0,15.027355
17,sfc0_0,36.0,0.002496271568816155,1.304982841014862,0.0,0.0,8,0,0,1.0,38.0,13.187656
17,sfc1_0,36.0,0.002496271568816155,1.304982841014862,0.0,0.0,8,0,0,1.0,38.0,14.701485
18,sfc0_0,38.0,0.002595159981865436,1.3052426874637604,0.0,0.0,8,0,0,1.0,40.0,12.890826
18,sfc1_0,38.0,0.002595159981865436,1.3052426874637604,0.0,0.0,8,0,0,1.0,40.0,14.805228
19,sfc0_0,40.0,0.0026940572424791753,1.3055025041103363,0.0,0.0,8,0,0,1.0,42.0,13.0456935
19,sfc1_0,40.0,0.0026940572424791753,1.3055025041103363,0.0,0.0,8,0,0,1.0,42.0,14.649147500000002
20,sfc0_0,42.0,0.002792944840621203,1.3057624399662018,0.0,0.0,8,0,0,1.0,44.0,13.599657
20,sfc1_0,42.0,0.002792944840621203,1.3057624399662018,0.0,0.0,8,0,0,1.0,44.0,14.9246455
21,sfc0_0,44.0,0.0028918410534970462,1.3060222268104553,0.0,0.0,8,0,0,1.0,46.0,13.007531
21,sfc1_0,44.0,0.0028918410534970462,1.3060222268104553,0.0,0.0,8,0,0,1.0,46.0,14.168069500000001
22,sfc0_0,46.0,0.002990738896187395,1.3062821328639984,0.0,0.0,8,0,0,1.0,49.0,13.13963
22,sfc1_0,46.0,0.002990738896187395,1.3062821328639984,0.0,0.0,8,0,0,1.0,48.0,14.182954
23,sfc0_0,48.0,0.003089633712079376,1.3065419495105743,0.0,0.0,8,0,0,1.0,50.0,13.089241
23,sfc1_0,48.0,0.003089633712079376,1.3065419495105743,0.0,0.0,8,0,0,1.0,50.0,14.3259945
24,sfc0_0,50.0,0.003188519098330289,1.306801825761795,0.0,0.0,8,0,0,1.0,52.0,12.9473335
24,sfc1_0,50.0,0.003188519098330289,1.306801825761795,0.0,0.0,8,0,0,1.0,52.0,14.434431499999999
25,sfc0_0,52.0,0.0032874096068553627,1.3070617616176605,0.0,0.0,8,0,0,1.0,54.0,13.077883
25,sfc1_0,52.0,0.0032874096068553627,1.3070617616176605,0.0,0.0,8,0,0,1.0,54.0,14.4859865
26,sfc0_0,54.0,0.0033863052376545966,1.3073215186595917,0.0,0.0,8,0,0,1.0,56.0,13.05575
26,sfc1_0,54.0,0.0033863052376545966,1.3073215186595917,0.0,0.0,8,0,0,1.0,57.0,14.331008
27,sfc0_0,56.0,0.00348519318504259,1.3075814545154572,0.0,0.0,8,0,0,1.0,59.0,12.980125
27,sfc1_0,56.0,0.00348519318504259,1.3075814545154572,0.0,0.0,8,0,0,1.0,59.0,14.276187
28,sfc0_0,59.0,0.003633535758126527,1.3079711496829987,0.0,0.0,8,0,0,1.0,62.0,12.714093
28,sfc1_0,59.0,0.003633535758126527,1.3079711496829987,0.0,0.0,8,0,0,1.0,61.0,14.199471
29,sfc0_0,61.0,0.003732427430804819,1.3082335591316223,0.0,0.0,8,0,0,1.0,63.0,12.660761
29,sfc1_0,61.0,0.003732427430804819,1.3082335591316223,0.0,0.0,8,0,0,1.0,63.0,14.369209
30,sfc0_0,63.0,0.003831315378192812,1.3085009157657623,0.0,0.0,8,0,0,1.0,65.0,12.83981
30,sfc1_0,63.0,0.003831315378192812,1.3085009157657623,0.0,0.0,8,0,0,1.0,65.0,14.374045
31,sfc0_0,65.0,0.00393020681804046,1.3087681531906128,0.0,0.0,8,0,0,1.0,67.0,13.129828
31,sfc1_0,65.0,0.00393020681804046,1.3087681531906128,0.0,0.0,8,0,0,1.0,67.0,14.043423
32,sfc0_0,67.0,0.0040291036129929125,1.30903559923172,0.0,0.0,8,0,0,1.0,69.0,13.132651
32,sfc1_0,67.0,0.0040291036129929125,1.30903559923172,0.0,0.0,8,0,0,1.0,69.0,13.861134
33,sfc0_0,69.0,0.004127993888687342,1.3093028962612152,0.0,0.0,8,0,0,1.0,71.0,12.991325
33,sfc1_0,69.0,0.004127993888687342,1.3093028962612152,0.0,0.0,8,0,0,1.0,71.0,14.439959
34,sfc0_0,71.0,0.0042268826509825885,1.3095702826976776,0.0,0.0,8,0,0,1.0,73.0,12.976733
34,sfc1_0,71.0,0.0042268826509825885,1.3095702826976776,0.0,0.0,8,0,0,1.0,73.0,14.147197
35,sfc0_0,73.0,0.004325772461015731,1.3098375499248505,0.0,0.0,8,0,0,1.0,76.0,12.8576865
35,sfc1_0,73.0,0.004325772461015731,1.3098375499248505,0.0,0.0,8,0,0,1.0,75.0,13.989394
36,sfc0_0,75.0,0.004424668091814965,1.3101049065589905,0.0,0.0,8,0,0,1.0,77.0,12.65802
36,sfc1_0,75.0,0.004424668091814965,1.3101049065589905,0.0,0.0,8,0,0,1.0,77.0,13.980762
37,sfc0_0,77.0,0.004523565585259348,1.3103723227977753,0.0,0.0,8,0,0,1.0,79.0,12.745701
37,sfc1_0,77.0,0.004523565585259348,1.3103723227977753,0.0,0.0,8,0,0,1.0,79.0,13.912989
38,sfc0_0,79.0,0.004622459004167467,1.3106395900249481,0.0,0.0,8,0,0,1.0,82.0,12.854766999999999
38,sfc1_0,79.0,0.004622459004167467,1.3106395900249481,0.0,0.0,8,0,0,1.0,82.0,14.1142825
39,sfc0_0,82.0,0.004770789935719222,1.3110406398773193,0.0,0.0,8,0,0,1.0,84.0,12.906091
39,sfc1_0,82.0,0.004770789935719222,1.3110406398773193,0.0,0.0,8,0,0,1.0,84.0,14.361054
40,sfc0_0,84.0,0.004869684751611203,1.311307966709137,0.0,0.0,8,0,0,1.0,86.0,13.71668
40,sfc1_0,84.0,0.004869684751611203,1.311307966709137,0.0,0.0,8,0,0,1.0,86.0,15.762670499999999
41,sfc0_0,86.0,0.004968574445229024,1.3114523589611053,0.0,0.0,8,0,0,1.0,89.0,14.057741
41,sfc1_0,86.0,0.004968574445229024,1.3114523589611053,0.0,0.0,8,0,0,1.0,88.0,16.1924895
42,sfc0_0,88.0,0.005067473102826625,1.3115930259227753,0.0,0.0,8,0,0,1.0,90.0,13.103614
42,sfc1_0,88.0,0.005067473102826625,1.3115930259227753,0.0,0.0,8,0,0,1.0,91.0,15.161972
43,sfc0_0,90.0,0.0051663589547388256,1.3117335736751556,0.0,0.0,8,0,0,1.0,92.0,12.878914
43,sfc1_0,90.0,0.0051663589547388256,1.3117335736751556,0.0,0.0,8,0,0,1.0,92.0,14.512730999999999
44,sfc0_0,92.0,0.005265245214104652,1.3119964897632599,0.0,0.0,8,0,0,1.0,94.0,12.8121185
44,sfc1_0,92.0,0.005265245214104652,1.3119964897632599,0.0,0.0,8,0,0,1.0,94.0,14.391101500000001
45,sfc0_0,94.0,0.005364146898500621,1.3123232424259186,0.0,0.0,8,0,0,1.0,96.0,12.7091975
45,sfc1_0,94.0,0.005364146898500621,1.3123232424259186,0.0,0.0,8,0,0,1.0,96.0,14.401139
46,sfc0_0,96.0,0.00546303583541885,1.3126666247844696,0.0,0.0,8,0,0,1.0,98.0,12.612225
46,sfc1_0,96.0,0.00546303583541885,1.3126666247844696,0.0,0.0,8,0,0,1.0,98.0,14.2871095
47,sfc0_0,98.0,0.005561934201978147,1.3130110204219818,0.0,0.0,8,0,0,1.0,101.0,12.648089
47,sfc1_0,98.0,0.005561934201978147,1.3130110204219818,0.0,0.0,8,0,0,1.0,100.0,14.583135500000001
48,sfc0_0,100.0,0.005660820170305669,1.3133553266525269,0.0,0.0,8,0,0,1.0,102.0,12.691787999999999
48,sfc1_0,100.0,0.005660820170305669,1.3133553266525269,0.0,0.0,8,0,0,1.0,102.0,14.4309275
49,sfc0_0,102.0,0.005759710154961795,1.3136996626853943,0.0,0.0,8,0,0,1.0,105.0,13.118788
49,sfc1_0,102.0,0.005759710154961795,1.3136996626853943,0.0,0.0,8,0,0,1.0,105.0,14.451585
50,sfc0_0,105.0,0.005908053659368306,1.314216285943985,0.0,0.0,8,0,0,1.0,107.0,13.62139
50,sfc1_0,105.0,0.005908053659368306,1.314216285943985,0.0,0.0,8,0,0,1.0,107.0,15.185741
51,sfc0_0,107.0,0.006006941141095012,1.3145605623722076,0.0,0.0,8,0,0,1.0,109.0,13.650076
51,sfc1_0,107.0,0.006006941141095012,1.3145605623722076,0.0,0.0,8,0,0,1.0,109.0,14.892972
52,sfc0_0,109.0,0.006105834560003132,1.3149049580097198,0.0,0.0,8,0,0,1.0,111.0,13.487737
52,sfc1_0,109.0,0.006105834560003132,1.3149049580097198,0.0,0.0,8,0,0,1.0,111.0,14.646941
53,sfc0_0,111.0,0.0062047275714576244,1.3152494728565216,0.0,0.0,8,0,0,1.0,114.0,13.2550275
53,sfc1_0,111.0,0.0062047275714576244,1.3152494728565216,0.0,0.0,8,0,0,1.0,113.0,14.221568
54,sfc0_0,113.0,0.006303620059043169,1.3155937194824219,0.0,0.0,8,0,0,1.0,115.0,12.861954
54,sfc1_0,113.0,0.006303620059043169,1.3155937194824219,0.0,0.0,8,0,0,1.0,115.0,13.900579
55,sfc0_0,115.0,0.006402507366146892,1.3159381449222565,0.0,0.0,8,0,0,1.0,117.0,12.633834
55,sfc1_0,115.0,0.006402507366146892,1.3159381449222565,0.0,0.0,8,0,0,1.0,118.0,13.89753
56,sfc0_0,117.0,0.006501401832792908,1.3162829279899597,0.0,0.0,8,0,0,1.0,119.0,12.60108
56,sfc1_0,117.0,0.006501401832792908,1.3162829279899597,0.0,0.0,8,0,0,1.0,119.0,13.844533
57,sfc0_0,119.0,0.006600296299438924,1.3166280686855316,0.0,0.0,8,0,0,1.0,121.0,12.564562
57,sfc1_0,119.0,0.006600296299438924,1.3166280686855316,0.0,0.0,8,0,0,1.0,121.0,13.739316
58,sfc0_0,121.0,0.006699117599055171,1.3169867396354675,0.0,0.0,8,0,0,1.0,124.0,12.477109500000001
58,sfc1_0,121.0,0.006699117599055171,1.3169867396354675,0.0,0.0,8,0,0,1.0,123.0,13.609524
59,sfc0_0,123.0,0.006797665846534073,1.3173457384109497,0.0,0.0,8,0,0,1.0,126.0,12.445958000000001
59,sfc1_0,123.0,0.006797665846534073,1.3173457384109497,0.0,0.0,8,0,0,1.0,126.0,14.1158185
60,sfc0_0,126.0,0.006945484201423824,1.3178841471672058,0.0,0.0,8,0,0,1.0,128.0,12.426110000000001
60,sfc1_0,126.0,0.006945484201423824,1.3178841471672058,0.0,0.0,8,0,0,1.0,128.0,13.9374055
61,sfc0_0,128.0,0.007044033380225301,1.3182432353496552,0.0,0.0,8,0,0,1.0,130.0,12.542693
61,sfc1_0,128.0,0.007044033380225301,1.3182432353496552,0.0,0.0,8,0,0,1.0,130.0,13.792580000000001
62,sfc0_0,130.0,0.007142576505430043,1.318602204322815,0.0,0.0,8,0,0,1.0,132.0,12.751479
62,sfc1_0,130.0,0.007142576505430043,1.318602204322815,0.0,0.0,8,0,0,1.0,132.0,13.8711795
63,sfc0_0,132.0,0.007241120678372681,1.3189612329006195,0.0,0.0,8,0,0,1.0,134.0,12.615453
63,sfc1_0,132.0,0.007241120678372681,1.3189612329006195,0.0,0.0,8,0,0,1.0,134.0,13.634205
64,sfc0_0,134.0,0.007341321790590882,1.319320172071457,0.0,0.0,8,0,0,1.0,136.0,12.6627935
64,sfc1_0,134.0,0.007341321790590882,1.319320172071457,0.0,0.0,8,0,0,1.0,136.0,13.477433999999999
65,sfc0_0,136.0,0.007442476344294846,1.3196791410446167,0.0,0.0,8,0,0,1.0,139.0,12.811336
65,sfc1_0,136.0,0.007442476344294846,1.3196791410446167,0.0,0.0,8,0,0,1.0,138.0,13.531037999999999
66,sfc0_0,138.0,0.007543643820099533,1.32003653049469,0.0,0.0,8,0,0,1.0,140.0,12.5363635
66,sfc1_0,138.0,0.007543643820099533,1.32003653049469,0.0,0.0,8,0,0,1.0,140.0,13.3365145
67,sfc0_0,140.0,0.007644796511158347,1.320393979549408,0.0,0.0,8,0,0,1.0,142.0,12.532634999999999
67,sfc1_0,140.0,0.007644796511158347,1.320393979549408,0.0,0.0,8,0,0,1.0,142.0,13.611015
68,sfc0_0,142.0,0.007745960610918701,1.3207513689994812,0.0,0.0,8,0,0,1.0,144.0,12.459046
