generation, latency, ar
1, 31.0, 0.34375
1, 26.0, 0.125
2, 31.0, 0.34375
2, 26.0, 0.125
2, 26.0, 0.125
3, 30.0, 0.34375
3, 29.0, 0.15625
3, 26.0, 0.125
3, 26.0, 0.125
3, 26.0, 0.125
3, 26.0, 0.125
4, 30.0, 0.34375
4, 30.0, 0.34375
4, 29.0, 0.15625
4, 29.0, 0.15625
4, 26.0, 0.125
4, 26.0, 0.125
4, 26.0, 0.125
4, 26.0, 0.125
4, 26.0, 0.125
5, 30.0, 0.34375
5, 30.0, 0.34375
5, 30.0, 0.34375
5, 28.0, 0.25
5, 26.0, 0.125
5, 26.0, 0.125
5, 26.0, 0.125
5, 26.0, 0.125
5, 26.0, 0.125
5, 26.0, 0.125
6, 30.0, 0.34375
6, 30.0, 0.34375
6, 30.0, 0.34375
6, 28.0, 0.25
6, 28.0, 0.25
6, 26.0, 0.125
6, 26.0, 0.125
6, 26.0, 0.125
6, 26.0, 0.125
6, 26.0, 0.125
6, 26.0, 0.125
6, 26.0, 0.125
7, 30.0, 0.34375
7, 30.0, 0.34375
7, 30.0, 0.34375
7, 30.0, 0.34375
7, 28.0, 0.25
7, 28.0, 0.25
7, 28.0, 0.25
7, 26.0, 0.125
7, 26.0, 0.125
7, 26.0, 0.125
7, 26.0, 0.125
7, 26.0, 0.125
7, 26.0, 0.125
7, 26.0, 0.125
7, 26.0, 0.125
8, 33.0, 0.46875
8, 29.0, 0.34375
8, 26.0, 0.25
9, 33.0, 0.46875
9, 29.0, 0.34375
9, 26.0, 0.25
9, 26.0, 0.25
10, 33.0, 0.46875
10, 33.0, 0.46875
10, 32.0, 0.40625
10, 29.0, 0.34375
10, 26.0, 0.25
10, 26.0, 0.25
