generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
1, 0.04375, 0.15625, 0.0, 15020.2, 50000.0, 26.0
2, 0.071875, 0.15625, 0.03125, 27.7, 30.0, 25.0
3, 0.10625, 0.25, 0.03125, 26.6, 29.0, 24.0
4, 0.1375, 0.25, 0.0625, 26.0, 28.0, 24.0
5, 0.15625, 0.25, 0.0625, 26.2, 28.0, 24.0
6, 0.10625, 0.3125, 0.0625, 25.0, 28.0, 24.0
7, 0.0875, 0.3125, 0.0625, 24.3, 27.0, 24.0
8, 0.109375, 0.3125, 0.0625, 24.5, 27.0, 24.0
9, 0.1375, 0.3125, 0.0625, 24.8, 27.0, 24.0
10, 0.2125, 0.3125, 0.0625, 25.5, 27.0, 23.0
