generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
1, 0.08125, 0.21875, 0.0, 10022.8, 50000.0, 25.0
2, 0.159375, 0.375, 0.0625, 27.6, 30.0, 25.0
3, 0.2125, 0.375, 0.15625, 26.5, 28.0, 25.0
4, 0.265625, 0.46875, 0.15625, 26.3, 31.0, 24.0
5, 0.33125, 0.46875, 0.21875, 26.6, 31.0, 24.0
6, 0.3625, 0.46875, 0.21875, 27.0, 30.0, 24.0
7, 0.334375, 0.5, 0.21875, 26.4, 31.0, 24.0
8, 0.35625, 0.5, 0.21875, 27.0, 31.0, 24.0
9, 0.35625, 0.5, 0.21875, 27.0, 31.0, 24.0
10, 0.35625, 0.5, 0.21875, 27.0, 31.0, 24.0
