generation, latency, ar
1, 25.0, 0.21875
2, 27.0, 0.375
2, 25.0, 0.21875
3, 27.0, 0.375
3, 27.0, 0.375
3, 25.0, 0.21875
4, 31.0, 0.46875
4, 27.0, 0.375
4, 27.0, 0.375
4, 24.0, 0.21875
5, 30.0, 0.46875
5, 27.0, 0.375
5, 27.0, 0.375
5, 27.0, 0.375
5, 27.0, 0.375
5, 24.0, 0.21875
5, 24.0, 0.21875
5, 24.0, 0.21875
6, 30.0, 0.46875
6, 30.0, 0.46875
6, 27.0, 0.375
6, 27.0, 0.375
6, 27.0, 0.375
6, 27.0, 0.375
6, 24.0, 0.21875
6, 24.0, 0.21875
6, 24.0, 0.21875
7, 31.0, 0.5
7, 29.0, 0.46875
7, 27.0, 0.375
7, 27.0, 0.375
7, 27.0, 0.375
7, 27.0, 0.375
7, 27.0, 0.375
7, 24.0, 0.21875
7, 24.0, 0.21875
7, 24.0, 0.21875
7, 24.0, 0.21875
7, 24.0, 0.21875
8, 31.0, 0.5
8, 31.0, 0.5
8, 29.0, 0.46875
8, 29.0, 0.46875
8, 27.0, 0.375
8, 27.0, 0.375
8, 27.0, 0.375
8, 27.0, 0.375
8, 27.0, 0.375
8, 24.0, 0.21875
8, 24.0, 0.21875
8, 24.0, 0.21875
8, 24.0, 0.21875
8, 24.0, 0.21875
9, 31.0, 0.5
9, 31.0, 0.5
9, 29.0, 0.46875
9, 29.0, 0.46875
9, 29.0, 0.46875
9, 27.0, 0.375
9, 27.0, 0.375
9, 27.0, 0.375
9, 27.0, 0.375
9, 27.0, 0.375
9, 27.0, 0.375
9, 24.0, 0.21875
9, 24.0, 0.21875
9, 24.0, 0.21875
9, 24.0, 0.21875
9, 24.0, 0.21875
10, 31.0, 0.5
10, 31.0, 0.5
10, 31.0, 0.5
10, 29.0, 0.46875
10, 29.0, 0.46875
10, 29.0, 0.46875
10, 29.0, 0.46875
10, 27.0, 0.375
10, 27.0, 0.375
10, 27.0, 0.375
10, 27.0, 0.375
10, 27.0, 0.375
10, 27.0, 0.375
10, 27.0, 0.375
10, 24.0, 0.21875
10, 24.0, 0.21875
10, 24.0, 0.21875
10, 24.0, 0.21875
10, 24.0, 0.21875
10, 24.0, 0.21875
