startTime,endTime,cpu,memory,median,reqps
1739379345,1739379347,0.008681588022457892,141705216,8.708578,4.0
1739379347,1739379349,0.010406859569153918,142135296,5.603396,7.5
1739379349,1739379351,0.012764709170305677,142364672,4.896851,10.5
1739379351,1739379353,0.01708486190327613,142577664,4.665247,14.5
1739379353,1739379355,0.018942597219184502,142942208,4.456576999999999,17.0
1739379355,1739379357,0.020842739575530587,144015360,4.500266,21.0
1739379357,1739379359,0.024727162808112324,144834560,4.27316,24.0
1739379359,1739379361,0.02268748081123245,144957440,4.009278,27.5
1739379361,1739379363,0.024093861013250194,145027072,4.204109,30.5
1739379363,1739379365,0.026678540604549703,145391616,3.996766,34.0
1739379365,1739379367,0.029459634118197412,145563648,3.930046,37.5
1739379367,1739379369,0.041192765412829714,145870848,3.885803,40.5
1739379369,1739379371,0.03494408698640837,145596416,3.6944535,44.0
1739379371,1739379373,0.04471381320018724,145838080,3.573687,47.5
1739379373,1739379375,0.03797233529044347,146100224,3.646153,51.0
1739379375,1739379377,0.049868857927590514,146096128,3.6523885,54.0
1739379377,1739379379,0.044097332791751286,146382848,3.867672,57.5
1739379379,1739379381,0.05017764445832033,146575360,3.804192,60.5
1739379381,1739379383,0.042242698626716604,146493440,3.5234495,64.0
1739379383,1739379385,0.0464149290040587,146821120,3.332374,67.5
1739379385,1739379387,0.054803227991252736,147165184,3.628504,70.5
1739379387,1739379389,0.055551628,147853312,3.7033155,74.0
1739379389,1739379391,0.056371055090568396,147668992,3.567266,77.5
1739379391,1739379393,0.05519930764907899,148168704,3.462678,81.0
1739379393,1739379395,0.0658259350929252,148615168,3.5013525,84.0
1739379395,1739379397,0.056072515,148332544,3.4351265,87.0
1739379397,1739379399,0.072899939690963,148271104,3.4401,91.0
1739379399,1739379401,0.06198461809657759,148238336,3.2678475000000002,94.0
1739379401,1739379403,0.06419793214620431,147886080,3.528417,97.5
1739379403,1739379405,0.07002148657183055,147742720,3.474533,100.5
1739379405,1739379407,0.06560848137392662,148004864,3.4595745,104.0
1739379407,1739379409,0.07583533617021276,148402176,3.335617,107.5
1739379409,1739379411,0.07353686578249337,148164608,3.339578,110.5
1739379411,1739379413,0.08275025781664845,149344256,3.380701,114.5
1739379413,1739379415,0.08088149466770915,148869120,3.4809859999999997,117.0
1739379415,1739379417,0.08578216290750273,149229568,3.350622,121.0
1739379417,1739379419,0.10036939543607377,149291008,3.275217,124.0
1739379419,1739379421,0.09888950393996247,148815872,3.254037,127.5
1739379421,1739379423,0.09761339073842303,149299200,3.366015,130.5
1739379423,1739379425,0.08720829077259931,149143552,3.338695,134.0
1739379425,1739379427,0.08523623664790494,149270528,3.053701,137.5
1739379427,1739379429,0.11244020259821569,148897792,2.957061,140.5
1739379429,1739379431,0.09374315868544601,149815296,3.381941,144.0
1739379431,1739379433,0.10424750374197589,148664320,3.406574,147.5
1739379433,1739379435,0.1084049926806381,148910080,3.1809944999999997,151.0
1739379435,1739379437,0.10257492533583255,149389312,3.295298,154.0
1739379437,1739379439,0.11698915944931164,149733376,3.1464914999999998,157.0
1739379439,1739379441,0.08506448462861611,149667840,3.1552755,161.0
1739379441,1739379443,0.1229168077415327,149389312,3.0855115,164.0
1739379443,1739379445,0.10659224311395966,149848064,3.334747,167.5
1739379445,1739379447,0.12193560638497652,150155264,3.249,170.5
1739379447,1739379449,0.14527945205822507,151650304,3.192,174.0
1739379449,1739379451,0.12964861457616517,151453696,3.142873,177.5
1739379451,1739379453,0.11505215249413604,150568960,3.082536,181.0
1739379453,1739379455,0.124841117492163,151142400,3.1622019999999997,184.0
1739379455,1739379457,0.11963987969924812,150683648,3.20262,187.0
1739379457,1739379459,0.1353151519849953,151232512,3.105231,190.5
1739379459,1739379461,0.11755376044985942,151072768,3.282585,194.5
1739379461,1739379463,0.11346283597684968,147410944,2.795297,197.5
1739379463,1739379465,0.13501264142790043,146554880,3.204947,200.5
1739379465,1739379467,0.13754225880143953,146833408,3.08613,204.0
1739379467,1739379469,0.1322853816364772,147755008,3.041344,207.5
1739379469,1739379471,0.12794925950258096,148004864,2.7484815,211.0
1739379471,1739379473,0.13111978980294026,148103168,2.847492,214.0
1739379473,1739379475,0.14448917346683354,148271104,3.0480055,217.0
1739379475,1739379477,0.1590061719993757,147890176,3.0480045000000002,221.0
1739379477,1739379479,0.15157851342816944,147804160,3.1271165,224.0
1739379479,1739379481,0.13613573070299045,148197376,3.156519,227.5
1739379481,1739379483,0.15014604114607796,148189184,2.842717,230.5
1739379483,1739379485,0.1537250959075289,148172800,3.0825355,234.0
1739379485,1739379487,0.161761673,148750336,2.970721,237.5
1739379487,1739379489,0.13947191887323943,148066304,3.012383,241.0
1739379489,1739379491,0.1653575524107702,149184512,2.8583,243.5
1739379491,1739379493,0.18246358829237752,148099072,3.092946,247.5
1739379493,1739379495,0.17315418279805733,147709952,3.088,251.0
1739379495,1739379497,0.16594235086179882,148054016,3.076675,254.0
1739379497,1739379499,0.183990731,149258240,3.061497,257.5
1739379499,1739379501,0.18436697373610894,148807680,2.995388,260.5
1739379501,1739379503,0.18309371274831848,148492288,2.8548685000000003,264.0
1739379503,1739379505,0.190446318,148553728,2.910993,267.5
1739379505,1739379507,0.18362506005336682,148205568,2.964973,270.5
1739379507,1739379509,0.1875292260651629,149188608,3.020783,274.5
1739379509,1739379511,0.178342533062373,148660224,2.9836289999999996,277.0
1739379511,1739379513,0.19734284134495642,149184512,2.921809,281.0
1739379513,1739379515,0.15559676092673763,148647936,2.80321,284.0
1739379515,1739379517,0.19257855839974997,148865024,2.672386,287.5
1739379517,1739379519,0.17215483288958497,149327872,2.799644,290.5
1739379519,1739379521,0.19463397579358874,149037056,2.828328,294.0
1739379521,1739379523,0.17802532267669643,148033536,2.904107,297.5
1739379523,1739379525,0.15796530119271815,148254720,2.726032,300.5
1739379525,1739379528,0.20647483938730854,149012480,2.791466,305.0
1739379528,1739379530,0.1905389516679718,148865024,2.8614285,309.0
1739379530,1739379532,0.19829958226539246,149266432,2.917005,312.0
1739379532,1739379534,0.21463340144155438,149766144,2.940553,316.0
1739379534,1739379536,0.22313691142410016,149319680,2.862302,319.0
1739379536,1739379538,0.19900617443939156,149229568,2.848276,322.5
1739379538,1739379540,0.1983026983729662,148500480,2.7824975,326.0
1739379540,1739379542,0.20812118621991504,148180992,2.8706825,329.0
1739379542,1739379544,0.21703207135033642,148774912,2.964301,332.5
1739379544,1739379546,0.22266770073656167,148594688,2.92561,335.5
1739379546,1739379548,0.191128526813979,149032960,2.8668294999999997,339.0
1739379548,1739379550,0.19895586263133136,149884928,2.957952,342.5
1739379550,1739379552,0.22642122205513784,149483520,2.819447,345.5
1739379552,1739379554,0.21708165416078984,148905984,2.8286075000000004,349.0
1739379554,1739379556,0.19344236966468192,149020672,2.757627,352.5
1739379556,1739379558,0.21095593218642478,149307392,2.7406565,356.0
1739379558,1739379560,0.20778006044110747,148742144,2.698124,358.5
1739379560,1739379562,0.226974217721519,149663744,2.752579,362.5
1739379562,1739379564,0.2226974656641604,148963328,2.823161,365.5
1739379564,1739379566,0.23410347501957712,149737472,2.805657,369.5
1739379566,1739379568,0.21866483651764707,149905408,2.6591,372.5
1739379568,1739379570,0.2298604970800628,149172224,2.577117,375.5
1739379570,1739379572,0.23406878243963625,148606976,2.6591709999999997,379.0
1739379572,1739379574,0.23796366068576796,149270528,2.784322,382.5
1739379574,1739379576,0.2222981586585175,148578304,2.8676645,386.0
1739379576,1739379578,0.24852784809650635,148647936,2.7147435,389.0
1739379578,1739379580,0.21395399479215688,148541440,2.8564255,392.0
1739379580,1739379582,0.24067498319511813,148148224,2.88584,395.5
1739379582,1739379584,0.27915159792941174,145440768,2.992251,399.5
1739379584,1739379586,0.25877992763819097,146046976,2.860666,402.5
1739379586,1739379588,0.2429163603072582,145608704,2.86844,405.5
1739379588,1739379590,0.23677479423197492,145649664,2.772261,409.0
1739379590,1739379592,0.2527942629681868,146399232,2.840198,412.5
1739379592,1739379594,0.23625925820006272,145719296,2.878101,415.5
1739379594,1739379596,0.24517342360131641,146202624,2.862897,419.5
1739379596,1739379598,0.2645996542234759,146370560,2.7658050000000003,422.0
1739379598,1739379600,0.26095058717265174,145727488,2.800314,425.5
1739379600,1739379602,0.24522399122119454,145489920,2.825088,429.5
1739379602,1739379604,0.24874695851898337,146190336,2.8051025000000003,432.0
1739379604,1739379606,0.25775963969177546,145723392,2.889081,436.0
1739379606,1739379608,0.2540129871726517,146632704,2.649507,439.0
1739379608,1739379610,0.2688923107417281,146366464,2.643789,442.5
1739379610,1739379612,0.2623125513530424,146620416,2.715945,445.5
1739379612,1739379614,0.26712856091521703,146354176,2.717253,449.5
1739379614,1739379616,0.240811488130285,145702912,2.7207025,452.0
1739379616,1739379618,0.24543899639328837,145940480,2.74216,456.0
1739379618,1739379620,0.25273574801568627,146239488,2.7328175000000003,459.0
1739379620,1739379622,0.25752097530980395,146333696,2.6823664999999997,462.0
1739379622,1739379624,0.26355613969849245,146530304,2.678874,466.0
1739379624,1739379626,0.24804050729264476,146096128,2.704877,468.5
1739379626,1739379628,0.27977550537701834,146759680,2.6948135,473.0
1739379628,1739379630,0.2747594567792616,146624512,2.69057,475.5
1739379630,1739379632,0.2553350843524616,146481152,2.5841250000000002,479.0
1739379632,1739379634,0.25491219946750193,146681856,2.721048,482.5
1739379634,1739379636,0.2392679382316314,146092032,2.6818685,486.0
1739379636,1739379638,0.26007090367577756,145874944,2.5083855,489.0
1739379638,1739379640,0.26978394725274724,145727488,2.692853,492.0
1739379640,1739379642,0.2636837648831006,146116608,2.6264535,496.0
1739379642,1739379644,0.06675710163729924,144990208,2.5996170000000003,391.0
