startTime,endTime,cpu,memory,median,reqps
1739380636,1739380638,0.046347786059566506,1394917376,10.091382,2.5
1739380638,1739380640,0.05177702655640506,1394929664,6.153433,6.5
1739380640,1739380642,0.05059595620028077,1396301824,5.574033,9.5
1739380642,1739380644,0.06208310854287053,1398689792,5.056401,13.5
1739380644,1739380646,0.06286669641632907,1389191168,4.948399,16.5
1739380646,1739380648,0.0568968860309037,1390567424,5.022619000000001,20.0
1739380648,1739380650,0.06746923917654397,1391120384,4.4704345,23.0
1739380651,1739380652,0.07116618325798908,1391263744,4.548163,27.0
1739380653,1739380654,0.07321886518010291,1392037888,4.223625,31.0
1739380655,1739380656,0.0841791790131168,1392795648,4.4496745,34.0
1739380657,1739380658,0.07899846239276244,1396195328,4.626198,37.0
1739380659,1739380660,0.07619960287230722,1396748288,4.493227,41.0
1739380661,1739380663,0.07809199089633671,1403346944,3.7244205,45.0
1739380663,1739380665,0.08258403695380774,1402855424,3.778016,48.5
1739380665,1739380667,0.1934221181761399,1395429376,3.936083,51.5
1739380667,1739380669,0.12473564333437402,1395859456,3.863072,54.5
1739380669,1739380671,0.08593721358678716,1400328192,3.854733,58.5
1739380671,1739380673,0.08737536640100016,1403404288,3.810815,61.5
1739380673,1739380675,0.09797807248322148,1402978304,3.9852875,65.0
1739380675,1739380677,0.099924055598938,1403637760,3.9023054999999998,68.0
1739380677,1739380679,0.10416232736365057,1403703296,3.652681,71.5
1739380679,1739380681,0.09382149039212623,1403674624,3.5637369999999997,75.0
1739380681,1739380683,0.09948596004377051,1403879424,3.5644455,78.0
1739380683,1739380685,0.10325964704044979,1404444672,3.560502,81.5
1739380685,1739380687,0.11497150971767275,1410158592,3.699217,85.0
1739380687,1739380689,0.1111872788275647,1415880704,3.735465,88.5
1739380689,1739380691,0.10573007827311122,1418305536,3.338896,91.5
1739380691,1739380693,0.12098794746716698,1418555392,3.495545,94.5
1739380693,1739380695,0.11944906383775351,1418350592,3.509906,98.5
1739380695,1739380697,0.1127522919087785,1418780672,3.473741,101.5
1739380697,1739380699,0.18089524776305535,1419059200,3.4790765,105.0
1739380699,1739380701,0.12276344878887326,1420148736,3.486769,108.0
1739380701,1739380703,0.12275891256061316,1420709888,3.425805,111.5
1739380703,1739380705,0.1184879877557395,1422082048,3.4553925,115.0
1739380705,1739380707,0.2419932570354121,1419665408,3.5107815,118.0
1739380707,1739380709,0.14065353434422387,1418911744,3.622002,121.5
1739380709,1739380711,0.138062233552015,1419390976,3.672157,125.0
1739380711,1739380713,0.1449501786541471,1418498048,3.6083605,128.0
1739380713,1739380715,0.131555296,1419128832,3.475677,131.5
1739380715,1739380717,0.15151933358348968,1419059200,3.5145605,135.0
1739380717,1739380719,0.14086901,1418833920,3.434774,138.5
1739380719,1739380721,0.1482958000938233,1418772480,3.47453,141.5
1739380721,1739380723,0.15829876900923462,1419149312,3.5559405,145.0
1739380723,1739380725,0.23097218725536245,1418575872,3.4644395,148.0
1739380725,1739380727,0.1478130346533104,1418899456,3.42371,151.5
1739380727,1739380729,0.15167687553540724,1419128832,3.314882,155.0
1739380729,1739380731,0.17066632631907586,1420148736,3.502848,158.0
1739380731,1739380733,0.15681660564830707,1419153408,3.505048,161.5
1739380733,1739380735,0.1584930080650203,1419808768,3.2666435,165.0
1739380735,1739380737,0.15945057659407802,1419710464,3.435989,168.0
1739380737,1739380739,0.16390395197748944,1419546624,3.471483,172.0
1739380739,1739380741,0.16890810458744324,1419255808,3.481727,174.5
1739380741,1739380743,0.15582113742177722,1419329536,3.515432,178.5
1739380743,1739380745,0.1702063006724003,1419681792,3.408814,181.5
1739380745,1739380747,0.18118330258337248,1420402688,3.1895455,185.0
1739380747,1739380749,0.16681797215704677,1420677120,3.270336,188.0
1739380749,1739380751,0.16969100874197085,1420677120,3.230386,191.5
1739380751,1739380753,0.1748090161790017,1420464128,3.3955580000000003,195.0
1739380753,1739380755,0.17957985105518212,1419677696,3.2773060000000003,198.0
1739380755,1739380757,0.17914993942428034,1419419648,3.281971,201.5
1739380757,1739380759,0.18015982086004692,1419948032,3.1514230000000003,205.0
1739380759,1739380761,0.1953571457701329,1420324864,3.07412,208.5
1739380761,1739380763,0.18705782263264986,1420640256,3.187265,211.0
1739380763,1739380765,0.24641409360637798,1420656640,3.196999,215.0
1739380765,1739380767,0.19485609550368166,1420210176,3.110306,218.5
1739380767,1739380769,0.19422988209538702,1420599296,3.064267,221.5
1739380769,1739380771,0.1861004320426399,1420656640,3.117533,225.0
1739380771,1739380773,0.21335610569818408,1420288000,3.08153,228.0
1739380773,1739380775,0.20973071721760927,1420480512,3.32889,231.5
1739380775,1739380777,0.19573956923076924,1420779520,3.2014864999999997,235.0
