experiment,segment,acceptance_ratio,calculated_delay,measured_latency,total_execution_time,episodes_used,converged,termination_reason
RL_0.1_False_10_2,0,1.0,1565.6761412353392,127.64683380074906,1876.0507920310192,200,true,converged
RL_0.1_False_10_2,1,1.0,1555.5580352728362,106.7268653,1850.7299232019868,200,true,converged
RL_0.1_False_10_2,2,1.0,1565.662747314721,127.49514232137517,1845.6244398090057,200,true,converged
RL_0.1_False_10_2,3,1.0,1565.6496082947924,126.98415874906507,1832.0364934719983,200,true,converged
RL_0.1_False_10_2,4,1.0,1565.6496082947922,127.27697533794912,1853.340944800002,200,true,converged
RL_0.1_False_10_2,5,1.0,1555.5400391639575,106.95497918600302,1817.0973084750003,200,true,converged
RL_0.1_False_10_2,6,1.0,1555.5459813517873,106.91015217215568,2095.427691662975,200,true,converged
RL_0.1_False_10_2,7,1.0,1570.701421766295,137.0518107660928,1821.5086985130329,200,true,converged
RL_0.1_False_10_2,8,1.0,1585.8721713984908,167.43272339171023,1857.7940553660155,200,false,max_episodes_reached
RL_0.1_False_10_2,9,1.0,1845.924527419433,187.83011791442453,1846.6482812959584,200,false,max_episodes_reached
