time,sfc,reqps,max_cpu,max_memory,total_link_score,max_link_score,total_delay,generation,individual,ar,real_reqps,latency
0,sfc0-0,20.0,0.1009528711438179,0.034813642501831055,17.0,2.0,22,0,0,0.03125,4.0,71.8343065
1,sfc0-0,20.0,0.1009528711438179,0.034813642501831055,17.0,2.0,22,0,0,0.03125,18.0,35.521035
2,sfc0-0,20.0,0.1009528711438179,0.034813642501831055,17.0,2.0,22,0,0,0.03125,20.0,33.5841965
3,sfc0-0,21.0,0.10423874482512474,0.034814032912254336,17.850000000000005,2.1,22,0,0,0.03125,21.0,33.142405
4,sfc0-0,21.0,0.10423874482512474,0.034814032912254336,17.850000000000005,2.1,22,0,0,0.03125,21.0,32.085387
5,sfc0-0,21.0,0.10423874482512474,0.034814032912254336,17.850000000000005,2.1,22,0,0,0.03125,21.0,31.183992
6,sfc0-0,21.0,0.10423874482512474,0.034814032912254336,17.850000000000005,2.1,22,0,0,0.03125,21.0,29.067476
7,sfc0-0,21.0,0.10423874482512474,0.034814032912254336,17.850000000000005,2.1,22,0,0,0.03125,21.0,29.802847
8,sfc0-0,22.0,0.1075250469148159,0.03481442630290985,18.700000000000003,2.2,22,0,0,0.03125,21.0,32.670557
9,sfc0-0,22.0,0.1075250469148159,0.03481442630290985,18.700000000000003,2.2,22,0,0,0.03125,22.0,30.884729
10,sfc0-0,22.0,0.1075250469148159,0.03481442630290985,18.700000000000003,2.2,22,0,0,0.03125,22.0,32.2712595
11,sfc0-0,22.0,0.1075250469148159,0.03481442630290985,18.700000000000003,2.2,22,0,0,0.03125,22.0,30.6621715
12,sfc0-0,22.0,0.1075250469148159,0.03481442630290985,18.700000000000003,2.2,22,0,0,0.03125,22.0,32.0201065
13,sfc0-0,23.0,0.11081164702773094,0.034814825654029845,19.549999999999997,2.3,22,0,0,0.03125,22.0,28.7539515
14,sfc0-0,23.0,0.11081164702773094,0.034814825654029845,19.549999999999997,2.3,22,0,0,0.03125,23.0,28.656308
15,sfc0-0,23.0,0.11081164702773094,0.034814825654029845,19.549999999999997,2.3,22,0,0,0.03125,23.0,31.949446
16,sfc0-0,23.0,0.11081164702773094,0.034814825654029845,19.549999999999997,2.3,22,0,0,0.03125,23.0,31.189188
17,sfc0-0,23.0,0.11081164702773094,0.034814825654029845,19.549999999999997,2.3,22,0,0,0.03125,23.0,28.956755
18,sfc0-0,24.0,0.11409750208258629,0.0348152220249176,20.399999999999995,2.4,22,0,0,0.03125,23.0,28.650806
19,sfc0-0,24.0,0.11409750208258629,0.0348152220249176,20.399999999999995,2.4,22,0,0,0.03125,24.0,31.9058885
20,sfc0-0,24.0,0.11409750208258629,0.0348152220249176,20.399999999999995,2.4,22,0,0,0.03125,24.0,31.942636
21,sfc0-0,24.0,0.11409750208258629,0.0348152220249176,20.399999999999995,2.4,22,0,0,0.03125,24.0,29.091816
22,sfc0-0,24.0,0.11409750208258629,0.0348152220249176,20.399999999999995,2.4,22,0,0,0.03125,24.0,31.992292499999998
23,sfc0-0,25.0,0.11738387867808342,0.03481561839580536,21.25,2.5,22,0,0,0.03125,24.0,33.225951
