experiment,generations,converged,time_taken
linear,12,True,290.07
linear,40,True,937.5
linear,5,True,116.59
linear,8,True,183.16
linear,30,True,740.44
linear,2,True,47.99
linear,18,True,421.51
linear,4,True,87.43
linear,6,True,152.21
linear,12,True,293.75
linear,15,True,404.79
linear,4,True,97.53
linear,20,True,486.27
linear,26,True,544.87
linear,19,True,454.6
linear,5,True,128.54
linear,14,True,343.15
linear,10,True,235.73
linear,3,True,71.01
linear,4,True,109.04
relu,2,True,42.66
relu,1,True,21.42
relu,30,True,723.07
relu,6,True,145.33
relu,7,True,151.38
relu,4,True,88.85
relu,18,True,442.54
relu,3,True,73.02
relu,6,True,136.4
relu,8,True,187.66
relu,12,True,251.51
relu,13,True,326.11
relu,31,True,749.4
relu,15,True,391.75
relu,5,True,114.78
relu,12,True,242.42
relu,11,True,262.74
relu,5,True,111.84
relu,8,True,207.2
relu,12,True,274.18
tanh,100,False,1990.18
tanh,100,False,2078.46
tanh,100,False,2004.69
tanh,100,False,2087.57
tanh,100,False,2268.65
tanh,100,False,1988.81
tanh,100,False,1969.75
tanh,100,False,2059.3
tanh,100,False,2199.87
tanh,100,False,2112.93
tanh,100,False,2085.84
tanh,100,False,2017.86
tanh,100,False,2181.1
tanh,100,False,2052.18
tanh,100,False,2080.44
tanh,100,False,2144.64
tanh,100,False,2000.69
tanh,100,False,2069.47
tanh,100,False,2035.59
tanh,100,False,1951.26
genesis_gaussian,11,True,224.38
genesis_gaussian,12,True,238.66
genesis_gaussian,4,True,82.76
genesis_gaussian,22,True,432.98
genesis_gaussian,26,True,528.65
genesis_gaussian,6,True,115.82
genesis_gaussian,23,True,471.93
genesis_gaussian,6,True,115.95
genesis_gaussian,5,True,101.2
genesis_gaussian,28,True,592.62
genesis_gaussian,5,True,105.36
genesis_gaussian,14,True,290.22
genesis_gaussian,4,True,76.98
genesis_gaussian,5,True,103.85
genesis_gaussian,4,True,82.64
genesis_gaussian,16,True,318.94
genesis_gaussian,10,True,202.27
genesis_gaussian,43,True,815.92
genesis_gaussian,31,True,605.1
genesis_gaussian,9,True,186.88
genesis_chain,17,True,381.58
genesis_chain,6,True,125.35
genesis_chain,4,True,83.09
genesis_chain,2,True,39.31
genesis_chain,11,True,246.91
genesis_chain,9,True,202.49
genesis_chain,24,True,539.7
genesis_chain,13,True,279.91
genesis_chain,10,True,202.99
genesis_chain,2,True,43.53
genesis_chain,4,True,84.49
genesis_chain,3,True,63.12
genesis_chain,12,True,248.78
genesis_chain,4,True,78.47
genesis_chain,4,True,79.02
genesis_chain,24,True,550.3
