algorithm,experiment,did_converge,best_latency,best_ar,convergence_time
GENESIS,48_1_A_10_0.5,True,46.0,1.0,950.5
GENESIS,48_1_A_10_1,True,37.0,1.0,869.29
GENESIS,48_1_A_10_2,True,35.0,1.0,851.3
GENESIS,48_1_A_5_0.5,True,48.0,1.0,994.07
GENESIS,48_1_A_5_1,True,32.0,1.0,861.49
GENESIS,48_1_A_5_2,True,35.0,1.0,834.54
GENESIS,48_1_B_10_0.5,True,46.0,1.0,936.0
GENESIS,48_1_B_10_1,True,34.0,1.0,868.16
GENESIS,48_1_B_10_2,True,35.0,1.0,849.99
GENESIS,48_1_B_5_0.5,True,59.0,1.0,2634.78
GENESIS,48_1_B_5_1,True,39.0,1.0,874.66
GENESIS,48_1_B_5_2,True,35.0,1.0,843.85
GENESIS,48_2_A_10_0.5,True,97.0,1.0,966.19
GENESIS,48_2_A_10_1,True,36.0,1.0,856.0
GENESIS,48_2_A_10_2,True,33.0,1.0,882.51
GENESIS,48_2_A_5_0.5,True,48.0,1.0,1977.91
GENESIS,48_2_A_5_1,True,41.0,1.0,916.92
GENESIS,48_2_A_5_2,True,38.0,1.0,885.78
GENESIS,48_2_B_10_0.5,True,67.0,1.0,1940.2
GENESIS,48_2_B_10_1,True,41.0,1.0,877.19
GENESIS,48_2_B_10_2,True,32.0,1.0,836.83
GENESIS,48_2_B_5_0.5,True,54.0,1.0,940.71
GENESIS,48_2_B_5_1,True,41.0,1.0,933.64
GENESIS,48_2_B_5_2,True,36.0,1.0,851.98
GENESIS,32_1_A_10_0.5,True,40.0,1.0,898.01
GENESIS,32_1_A_10_1,True,36.0,1.0,826.66
GENESIS,32_1_A_10_2,True,37.0,1.0,816.81
GENESIS,32_1_A_5_0.5,True,44.0,1.0,894.49
GENESIS,32_1_A_5_1,True,31.0,1.0,829.56
GENESIS,32_1_A_5_2,True,37.0,1.0,803.19
GENESIS,32_1_B_10_0.5,True,37.0,1.0,893.05
GENESIS,32_1_B_10_1,True,29.0,1.0,829.88
GENESIS,32_1_B_10_2,True,37.0,1.0,794.81
GENESIS,32_1_B_5_0.5,True,47.0,1.0,916.78
GENESIS,32_1_B_5_1,True,34.0,1.0,823.7
GENESIS,32_1_B_5_2,True,33.0,1.0,808.13
GENESIS,32_2_A_10_0.5,True,54.0,1.0,929.95
GENESIS,32_2_A_10_1,True,35.0,1.0,851.6
GENESIS,32_2_A_10_2,True,37.0,1.0,805.73
