mutation_pb,individual_pb,crossover_pb,runs,mean_generations,median_generations,max_generations,min_generations,q1_generations,q3_generations,convergence_percent
0.2,0.2,0.2,20,90.8,100.0,100,19,100,100,20.0
0.2,0.2,0.5,20,54.35,40.5,100,4,7,100,60.0
0.2,0.2,0.7,20,53.1,29.5,100,5,14,100,55.0
0.2,0.2,1.0,20,40.9,28.5,100,4,12,50,80.0
0.2,0.5,0.2,20,78.3,100.0,100,12,36,100,35.0
0.2,0.5,0.5,20,52.9,42.5,100,3,9,100,60.0
0.2,0.5,0.7,20,50.9,39.0,100,1,12,100,65.0
0.2,0.5,1.0,20,48.4,39.0,100,2,7,100,65.0
0.2,0.7,0.2,20,71.7,98.0,100,11,41,100,50.0
0.2,0.7,0.5,20,58.75,73.0,100,4,14,100,50.0
0.2,0.7,0.7,20,43.65,24.5,100,3,7,100,70.0
0.2,0.7,1.0,20,43.4,15.5,100,1,11,100,70.0
0.2,1.0,0.2,20,70.1,100.0,100,1,17,100,40.0
0.2,1.0,0.5,20,51.6,38.0,100,2,11,100,60.0
0.2,1.0,0.7,20,47.65,26.0,100,4,6,100,65.0
0.2,1.0,1.0,20,33.1,17.0,100,3,9,34,85.0
0.5,0.2,0.2,20,79.8,100.0,100,1,47,100,30.0
0.5,0.2,0.5,20,66.35,89.0,100,3,10,100,50.0
0.5,0.2,0.7,20,52.1,48.5,100,1,11,100,65.0
0.5,0.2,1.0,20,30.5,17.0,100,3,9,30,90.0
0.5,0.5,0.2,20,82,100.0,100,8,64,100,40.0
0.5,0.5,0.5,20,59.95,80.0,100,1,15,100,50.0
0.5,0.5,0.7,20,44.25,21.5,100,1,7,100,70.0
0.5,0.5,1.0,20,42.85,17.0,100,1,9,100,70.0
0.5,0.7,0.2,20,62.65,70.5,100,3,26,100,65.0
0.5,0.7,0.5,20,50.7,31.0,100,1,11,100,60.0
0.5,0.7,0.7,20,41,25.0,100,4,11,53,75.0
0.5,0.7,1.0,20,32.4,11.5,100,2,4,31,75.0
0.5,1.0,0.2,20,54.65,45.5,100,1,1,100,55.0
0.5,1.0,0.5,20,43.2,28.0,100,2,14,72,75.0
0.5,1.0,0.7,20,47.2,28.5,100,1,7,100,65.0
0.5,1.0,1.0,20,33.4,18.0,100,1,9,42,85.0
0.7,0.2,0.2,20,67.6,100.0,100,4,19,100,45.0
0.7,0.2,0.5,20,50.85,30.0,100,5,13,100,60.0
0.7,0.2,0.7,20,53.5,38.0,100,3,12,100,60.0
0.7,0.2,1.0,20,38.85,16.5,100,1,10,68,75.0
0.7,0.5,0.2,20,68.05,84.5,100,7,14,100,55.0
0.7,0.5,0.5,20,41.7,21.0,100,1,7,100,70.0
0.7,0.5,0.7,20,59,52.0,100,10,14,100,55.0
0.7,0.5,1.0,20,47.85,22.0,100,5,11,100,60.0
0.7,0.7,0.2,20,67.55,89.0,100,1,20,100,55.0
0.7,0.7,0.5,20,42.3,19.5,100,1,8,90,75.0
0.7,0.7,0.7,20,52.9,33.0,100,3,14,100,60.0
0.7,0.7,1.0,20,28.2,17.0,100,4,12,24,85.0
0.7,1.0,0.2,20,72.45,92.5,100,15,24,100,50.0
0.7,1.0,0.5,20,51.7,39.5,100,4,18,100,65.0
0.7,1.0,0.7,20,39.4,29.5,100,2,15,49,80.0
0.7,1.0,1.0,20,49.1,34.0,100,6,9,100,65.0
1.0,0.2,0.2,20,71.1,100.0,100,5,34,100,45.0
1.0,0.2,0.5,20,56,51.0,100,1,9,100,60.0
1.0,0.2,0.7,20,44.05,35.5,100,1,13,62,75.0
1.0,0.2,1.0,20,47.35,29.5,100,2,10,100,65.0
1.0,0.5,0.2,20,79.35,100.0,100,1,42,100,40.0
1.0,0.5,0.5,20,56.65,56.5,100,1,12,100,55.0
1.0,0.5,0.7,20,51.4,44.0,100,1,17,100,65.0
1.0,0.5,1.0,20,33.65,25.0,100,2,7,41,85.0
1.0,0.7,0.2,20,84.05,100.0,100,1,64,100,25.0
1.0,0.7,0.5,20,63.05,69.5,100,2,10,100,60.0
1.0,0.7,0.7,20,52.2,50.0,100,1,7,100,65.0
1.0,0.7,1.0,20,41.85,27.0,100,3,11,60,75.0
1.0,1.0,0.2,20,63.85,100.0,100,5,12,100,45.0
1.0,1.0,0.5,20,54.4,51.5,100,1,12,100,65.0
1.0,1.0,0.7,20,61.8,70.5,100,8,16,100,50.0
1.0,1.0,1.0,20,35.55,16.0,100,3,6,38,75.0
