method, generation, latency, ar
surrogate, 1, 35.0, 0.71875
surrogate, 1, 30.0, 0.40625
surrogate, 1, 29.0, 0.375
surrogate, 1, 27.0, 0.3125
surrogate, 1, 25.0, 0.21875
surrogate, 1, 25.0, 0.21875
surrogate, 1, 24.0, 0.15625
surrogate, 1, 21.0, 0.09375
surrogate, 2, 35.0, 0.71875
surrogate, 2, 30.0, 0.40625
surrogate, 2, 29.0, 0.375
surrogate, 2, 29.0, 0.375
surrogate, 2, 27.0, 0.3125
surrogate, 2, 25.0, 0.21875
surrogate, 2, 25.0, 0.21875
surrogate, 2, 24.0, 0.15625
surrogate, 2, 21.0, 0.09375
surrogate, 3, 34.0, 0.78125
surrogate, 3, 30.0, 0.40625
surrogate, 3, 29.0, 0.375
surrogate, 3, 29.0, 0.375
surrogate, 3, 27.0, 0.3125
surrogate, 3, 25.0, 0.21875
surrogate, 3, 25.0, 0.21875
surrogate, 3, 24.0, 0.15625
surrogate, 3, 24.0, 0.15625
surrogate, 3, 21.0, 0.09375
surrogate, 3, 21.0, 0.09375
surrogate, 4, 34.0, 0.78125
surrogate, 4, 30.0, 0.40625
surrogate, 4, 30.0, 0.40625
surrogate, 4, 29.0, 0.375
surrogate, 4, 29.0, 0.375
surrogate, 4, 27.0, 0.3125
surrogate, 4, 25.0, 0.21875
surrogate, 4, 25.0, 0.21875
surrogate, 4, 24.0, 0.15625
surrogate, 4, 24.0, 0.15625
surrogate, 4, 21.0, 0.09375
surrogate, 4, 21.0, 0.09375
surrogate, 5, 34.0, 0.78125
surrogate, 5, 29.0, 0.40625
surrogate, 5, 26.0, 0.3125
surrogate, 5, 25.0, 0.21875
surrogate, 5, 25.0, 0.21875
surrogate, 5, 24.0, 0.15625
surrogate, 5, 24.0, 0.15625
surrogate, 5, 21.0, 0.09375
surrogate, 5, 21.0, 0.09375
surrogate, 6, 34.0, 0.78125
surrogate, 6, 29.0, 0.40625
surrogate, 6, 26.0, 0.3125
surrogate, 6, 25.0, 0.21875
surrogate, 6, 25.0, 0.21875
surrogate, 6, 24.0, 0.15625
surrogate, 6, 24.0, 0.15625
surrogate, 6, 21.0, 0.09375
surrogate, 6, 21.0, 0.09375
surrogate, 7, 34.0, 0.78125
surrogate, 7, 30.0, 0.46875
surrogate, 7, 29.0, 0.40625
surrogate, 7, 26.0, 0.3125
surrogate, 7, 25.0, 0.21875
surrogate, 7, 25.0, 0.21875
surrogate, 7, 25.0, 0.21875
surrogate, 7, 24.0, 0.15625
surrogate, 7, 24.0, 0.15625
