method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.1734375, 0.4375, 0.0, 5024.4, 50000.0, 21.0
surrogate, 2, 0.275, 0.4375, 0.03125, 26.7, 29.0, 21.0
surrogate, 3, 0.3203125, 0.4375, 0.03125, 26.35, 29.0, 21.0
surrogate, 4, 0.353125, 0.4375, 0.03125, 26.8, 29.0, 21.0
surrogate, 5, 0.38125, 0.4375, 0.03125, 27.7, 29.0, 21.0
surrogate, 6, 0.38125, 0.4375, 0.03125, 27.7, 29.0, 21.0
surrogate, 7, 0.38125, 0.4375, 0.03125, 27.7, 29.0, 21.0
surrogate, 8, 0.3890625, 0.59375, 0.03125, 27.8, 31.0, 21.0
surrogate, 9, 0.346875, 0.59375, 0.03125, 26.8, 31.0, 21.0
surrogate, 10, 0.2828125, 0.625, 0.03125, 25.5, 33.0, 21.0
surrogate, 11, 0.253125, 0.625, 0.03125, 25.1, 33.0, 21.0
surrogate, 12, 0.253125, 0.625, 0.03125, 25.1, 33.0, 21.0
surrogate, 13, 0.16875, 0.65625, 0.03125, 23.4, 31.0, 21.0
surrogate, 14, 0.2, 0.65625, 0.03125, 23.9, 31.0, 21.0
surrogate, 15, 0.2, 0.65625, 0.03125, 23.9, 31.0, 21.0
surrogate, 16, 0.2, 0.65625, 0.03125, 23.9, 31.0, 21.0
surrogate, 17, 0.2, 0.65625, 0.03125, 23.9, 31.0, 21.0
surrogate, 18, 0.228125, 0.65625, 0.03125, 24.35, 31.0, 21.0
surrogate, 19, 0.25625, 0.65625, 0.03125, 24.8, 31.0, 21.0
surrogate, 20, 0.25625, 0.65625, 0.03125, 24.8, 31.0, 21.0
surrogate, 21, 0.25625, 0.65625, 0.03125, 24.8, 31.0, 21.0
surrogate, 22, 0.25625, 0.65625, 0.03125, 24.8, 31.0, 21.0
surrogate, 23, 0.25625, 0.65625, 0.03125, 24.8, 31.0, 21.0
surrogate, 24, 0.2984375, 0.875, 0.03125, 25.5, 35.0, 21.0
surrogate, 25, 0.340625, 0.875, 0.03125, 26.2, 35.0, 21.0
surrogate, 26, 0.340625, 0.875, 0.03125, 26.2, 35.0, 21.0
surrogate, 27, 0.2984375, 0.875, 0.03125, 25.4, 33.0, 21.0
surrogate, 28, 0.340625, 0.875, 0.03125, 26.0, 33.0, 21.0
surrogate, 29, 0.340625, 0.875, 0.03125, 26.0, 33.0, 21.0
surrogate, 30, 0.340625, 0.875, 0.03125, 26.0, 33.0, 21.0
surrogate, 31, 0.340625, 0.875, 0.03125, 26.0, 33.0, 21.0
surrogate, 32, 0.340625, 0.875, 0.03125, 26.0, 33.0, 21.0
surrogate, 33, 0.340625, 0.875, 0.03125, 26.0, 33.0, 21.0
surrogate, 34, 0.340625, 0.875, 0.03125, 26.0, 33.0, 21.0
surrogate, 35, 0.340625, 0.875, 0.03125, 26.0, 33.0, 21.0
surrogate, 36, 0.340625, 0.875, 0.03125, 26.0, 33.0, 21.0
surrogate, 37, 0.2859375, 0.875, 0.03125, 24.9, 33.0, 21.0
surrogate, 38, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
surrogate, 39, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
surrogate, 40, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
surrogate, 41, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
surrogate, 42, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
surrogate, 43, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
surrogate, 44, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
surrogate, 45, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
surrogate, 46, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
surrogate, 47, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
surrogate, 48, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
surrogate, 49, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
surrogate, 50, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
surrogate, 51, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
surrogate, 52, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
surrogate, 53, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
surrogate, 54, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
surrogate, 55, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
surrogate, 56, 0.30625, 0.875, 0.03125, 25.2, 33.0, 21.0
