mutation_pb,individual_pb,crossover_pb,runs,mean_generations,median_generations,max_generations,min_generations,q1_generations,q3_generations,iqr_generations,ci_generations,generations_upper_lower,std_deviation_generations,converged_number,convergence_percent,mean_time_taken,std_deviation_time_taken,q1_time_taken,q3_time_taken,iqr_time_taken,ci_time_taken,time_taken_upper_lower
0.2,0.2,0.2,20,90.8,100.0,100,19,100.0,100.0,0.0,10.72,80.08-101.52,22.91,4,20.0,293.55,73.69,310.98,328.46,17.48,34.49,259.06-328.04
0.2,0.2,0.5,20,54.35,40.5,100,4,10.0,100.0,90.0,19.52,34.83-73.87,41.71,12,60.0,230.87,176.87,43.28,426.41,383.14,82.78,148.09-313.65
0.2,0.2,0.7,20,53.1,29.5,100,5,14.0,100.0,86.0,20.1,33.0-73.2,42.94,11,55.0,164.85,133.04,43.26,313.12,269.86,62.26,102.59-227.11
0.2,0.2,1.0,20,40.9,28.5,100,4,12.75,59.25,46.5,16.29,24.61-57.19,34.81,16,80.0,239.09,203.4,73.47,344.12,270.65,95.2,143.89-334.29
0.2,0.5,0.2,20,78.3,100.0,100,12,45.0,100.0,55.0,14.87,63.43-93.17,31.77,7,35.0,262.49,106.9,150.13,337.7,187.57,50.03,212.46-312.52
0.2,0.5,0.5,20,52.9,42.5,100,3,10.5,100.0,89.5,19.87,33.03-72.77,42.45,12,60.0,224.56,180.14,44.36,423.96,379.6,84.31,140.25-308.87
0.2,0.5,0.7,20,50.9,39.0,100,1,12.0,100.0,88.0,19.31,31.59-70.21,41.27,13,65.0,160.89,130.69,37.51,315.93,278.42,61.17,99.72-222.06
0.2,0.5,1.0,20,48.4,39.0,100,2,9.25,100.0,90.75,18.87,29.53-67.27,40.32,13,65.0,283.73,236.48,54.92,583.85,528.93,110.67,173.06-394.4
0.2,0.7,0.2,20,71.7,98.0,100,11,44.75,100.0,55.25,15.32,56.38-87.02,32.74,10,50.0,240.92,109.82,152.66,337.69,185.03,51.4,189.52-292.32
0.2,0.7,0.5,20,58.75,73.0,100,4,14.75,100.0,85.25,19.7,39.05-78.45,42.08,10,50.0,255.57,182.96,65.09,435.14,370.05,85.63,169.94-341.2
