# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
431.00,3.00,3.76,19.27,11.00,0.02,22.07
431.00,2.00,3.76,19.27,11.00,0.02,22.07
431.00,0.00,3.76,19.27,11.00,0.02,22.07
431.00,15.00,3.76,19.27,11.00,0.02,22.07
431.00,8.00,3.76,19.27,11.00,0.02,22.07
431.00,10.00,3.76,19.27,11.00,0.02,22.07
431.00,7.00,3.76,19.27,11.00,0.02,22.07
431.00,4.00,3.76,19.27,11.00,0.02,22.07
431.00,6.00,3.76,19.27,11.00,0.02,22.07
431.00,17.00,3.76,19.27,11.00,0.02,22.07
431.00,16.00,3.76,19.27,11.00,0.02,22.07
431.00,5.00,3.76,19.27,11.00,0.02,22.07
431.00,1.00,19.74,162.77,19.88,0.06,32.74
431.00,14.00,14.10,108.81,17.23,0.04,28.31
431.00,12.00,49.81,355.31,24.06,0.09,31.36
431.00,30.00,3.76,19.27,11.00,0.02,22.07
431.00,22.00,3.76,19.27,11.00,0.02,22.07
431.00,25.00,3.76,19.27,11.00,0.02,22.07
431.00,48.00,3.76,19.27,11.00,0.02,22.07
431.00,24.00,3.76,19.27,11.00,0.02,22.07
431.00,36.00,3.76,19.27,11.00,0.02,22.07
431.00,34.00,3.76,19.27,11.00,0.02,22.07
431.00,53.00,3.76,19.27,11.00,0.02,22.07
431.00,13.00,3.76,19.27,11.00,0.02,22.07
431.00,52.00,3.76,19.27,11.00,0.02,22.07
431.00,31.00,3.76,19.27,11.00,0.02,22.07
431.00,39.00,3.76,19.27,11.00,0.02,22.07
431.00,28.00,3.76,19.27,11.00,0.02,22.07
431.00,27.00,3.76,19.27,11.00,0.02,22.07
431.00,47.00,3.76,19.27,11.00,0.02,22.07
431.00,26.00,3.76,19.27,11.00,0.02,22.07
431.00,56.00,3.76,19.27,11.00,0.02,22.07
431.00,54.00,3.76,19.27,11.00,0.02,22.07
431.00,29.00,3.76,19.27,11.00,0.02,22.07
431.00,41.00,3.76,19.27,11.00,0.02,22.07
431.00,37.00,3.76,19.27,11.00,0.02,22.07
431.00,43.00,3.76,19.27,11.00,0.02,22.07
431.00,50.00,3.76,19.27,11.00,0.02,22.07
431.00,57.00,3.76,19.27,11.00,0.02,22.07
431.00,32.00,3.76,19.27,11.00,0.02,22.07
431.00,33.00,3.76,19.27,11.00,0.02,22.07
431.00,18.00,3.76,19.27,11.00,0.02,22.07
431.00,74.00,3.76,19.27,11.00,0.02,22.07
431.00,35.00,3.76,19.27,11.00,0.02,22.07
431.00,66.00,3.76,19.27,11.00,0.02,22.07
431.00,46.00,3.76,19.27,11.00,0.02,22.07
431.00,44.00,3.76,19.27,11.00,0.02,22.07
431.00,73.00,3.76,19.27,11.00,0.02,22.07
431.00,72.00,3.76,19.27,11.00,0.02,22.07
431.00,38.00,12.22,96.57,16.17,0.04,27.41
431.00,64.00,3.76,19.27,11.00,0.02,22.07
431.00,21.00,3.76,19.27,11.00,0.02,22.07
431.00,70.00,3.76,19.27,11.00,0.02,22.07
431.00,68.00,3.76,19.27,11.00,0.02,22.07
431.00,51.00,16.92,133.46,18.00,0.05,29.18
431.00,11.00,16.92,133.46,18.00,0.05,29.18
431.00,9.00,46.05,301.70,22.57,0.09,30.51
431.00,19.00,49.81,351.27,23.87,0.09,35.32
431.00,23.00,49.81,355.31,24.06,0.09,31.36
431.00,65.00,3.76,19.27,11.00,0.02,22.07
431.00,69.00,3.76,19.27,11.00,0.02,22.07
431.00,75.00,3.76,19.27,11.00,0.02,22.07
431.00,62.00,3.76,19.27,11.00,0.02,22.07
431.00,55.00,3.76,19.27,11.00,0.02,22.07
431.00,61.00,3.76,19.27,11.00,0.02,22.07
431.00,67.00,3.76,19.27,11.00,0.02,22.07
431.00,60.00,3.76,19.27,11.00,0.02,22.07
431.00,71.00,3.76,19.27,11.00,0.02,22.07
431.00,59.00,3.76,19.27,11.00,0.02,22.07
431.00,42.00,3.76,19.27,11.00,0.02,22.07
431.00,63.00,3.76,19.27,11.00,0.02,22.07
431.00,49.00,3.76,19.27,11.00,0.02,22.07
431.00,40.00,20.68,163.59,19.88,0.06,31.12
431.00,78.00,3.76,19.27,11.00,0.02,22.07
431.00,89.00,3.76,19.27,11.00,0.02,22.07
431.00,90.00,3.76,19.27,11.00,0.02,22.07
431.00,77.00,3.76,19.27,11.00,0.02,22.07
431.00,80.00,3.76,19.27,11.00,0.02,22.07
431.00,85.00,3.76,19.27,11.00,0.02,22.07
431.00,79.00,3.76,19.27,11.00,0.02,22.07
431.00,76.00,3.76,19.27,11.00,0.02,22.07
431.00,84.00,3.76,19.27,11.00,0.02,22.07
431.00,87.00,3.76,19.27,11.00,0.02,22.07
431.00,88.00,3.76,19.27,11.00,0.02,22.07
431.00,82.00,3.76,19.27,11.00,0.02,22.07
431.00,81.00,3.76,19.27,11.00,0.02,22.07
431.00,83.00,12.22,96.34,16.00,0.04,27.22
431.00,20.00,78.95,565.29,25.73,0.18,38.85
431.00,45.00,58.27,418.92,24.69,0.12,35.94
431.00,58.00,69.55,519.98,26.00,0.14,37.96
431.00,91.00,3.76,19.27,11.00,0.02,22.07
431.00,99.00,3.76,19.27,11.00,0.02,22.07
431.00,94.00,3.76,19.27,11.00,0.02,22.07
431.00,95.00,14.10,109.68,17.08,0.04,28.21
431.00,98.00,3.76,19.27,11.00,0.02,22.07
431.00,86.00,75.19,522.33,25.62,0.14,37.66
431.00,92.00,67.67,480.28,25.59,0.12,35.26
431.00,96.00,70.49,511.09,25.48,0.13,37.30
431.00,97.00,70.49,511.09,25.48,0.13,37.30
431.00,93.00,79.89,566.39,25.73,0.16,38.29
