# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
201.00,16.00,1.85,9.26,8.00,0.04,19.36
201.00,9.00,1.85,9.26,8.00,0.04,19.36
201.00,5.00,1.85,9.26,8.00,0.04,19.36
201.00,18.00,1.85,9.26,8.00,0.04,19.36
201.00,10.00,1.85,9.26,8.00,0.04,19.36
201.00,3.00,1.85,9.26,8.00,0.04,19.36
201.00,11.00,1.85,9.26,8.00,0.04,19.36
201.00,15.00,1.85,9.26,8.00,0.04,19.36
201.00,12.00,1.85,9.26,8.00,0.04,19.36
201.00,2.00,1.85,9.26,8.00,0.04,19.36
201.00,4.00,1.85,9.26,8.00,0.04,19.36
201.00,1.00,1.85,9.26,8.00,0.04,19.36
201.00,13.00,1.85,9.26,8.00,0.04,19.36
201.00,7.00,3.70,32.86,16.00,0.04,27.29
201.00,19.00,3.70,32.86,16.00,0.04,27.29
201.00,8.00,14.81,117.48,17.00,0.12,32.32
201.00,0.00,25.92,188.57,18.36,0.16,34.42
201.00,6.00,18.51,147.98,18.38,0.14,34.23
201.00,21.00,1.85,9.26,8.00,0.04,19.36
201.00,49.00,1.85,9.26,8.00,0.04,19.36
201.00,22.00,1.85,9.26,8.00,0.04,19.36
201.00,28.00,1.85,9.26,8.00,0.04,19.36
201.00,33.00,1.85,9.26,8.00,0.04,19.36
201.00,32.00,1.85,9.26,8.00,0.04,19.36
201.00,17.00,1.85,9.26,8.00,0.04,19.36
201.00,35.00,1.85,9.26,8.00,0.04,19.36
201.00,36.00,1.85,9.26,8.00,0.04,19.36
201.00,48.00,1.85,9.26,8.00,0.04,19.36
201.00,38.00,1.85,9.26,8.00,0.04,19.36
201.00,41.00,1.85,9.26,8.00,0.04,19.36
201.00,39.00,1.85,9.26,8.00,0.04,19.36
201.00,20.00,1.85,9.26,8.00,0.04,19.36
201.00,40.00,2.78,20.36,14.00,0.04,25.29
201.00,25.00,1.85,9.26,8.00,0.04,19.36
201.00,24.00,1.85,9.26,8.00,0.04,19.36
