method, generation, latency, ar
surrogate, 1, 36.0, 0.3333333333333333
surrogate, 1, 35.0, 0.2708333333333333
surrogate, 1, 32.0, 0.25
surrogate, 1, 31.0, 0.16666666666666666
surrogate, 1, 30.0, 0.14583333333333334
surrogate, 1, 29.0, 0.10416666666666667
surrogate, 1, 28.0, 0.0625
surrogate, 1, 26.0, 0.041666666666666664
surrogate, 1, 26.0, 0.041666666666666664
surrogate, 1, 23.0, 0.020833333333333332
surrogate, 2, 36.0, 0.3333333333333333
surrogate, 2, 36.0, 0.3333333333333333
surrogate, 2, 35.0, 0.2708333333333333
surrogate, 2, 35.0, 0.2708333333333333
surrogate, 2, 32.0, 0.25
surrogate, 2, 32.0, 0.25
surrogate, 2, 31.0, 0.16666666666666666
surrogate, 2, 31.0, 0.16666666666666666
surrogate, 2, 30.0, 0.14583333333333334
surrogate, 2, 30.0, 0.14583333333333334
surrogate, 2, 29.0, 0.125
surrogate, 2, 28.0, 0.0625
surrogate, 2, 28.0, 0.0625
surrogate, 2, 26.0, 0.041666666666666664
surrogate, 2, 26.0, 0.041666666666666664
surrogate, 2, 26.0, 0.041666666666666664
surrogate, 2, 26.0, 0.041666666666666664
surrogate, 2, 23.0, 0.020833333333333332
surrogate, 2, 23.0, 0.020833333333333332
surrogate, 3, 36.0, 0.3333333333333333
surrogate, 3, 36.0, 0.3333333333333333
surrogate, 3, 36.0, 0.3333333333333333
surrogate, 3, 36.0, 0.3333333333333333
surrogate, 3, 35.0, 0.2708333333333333
surrogate, 3, 35.0, 0.2708333333333333
surrogate, 3, 35.0, 0.2708333333333333
surrogate, 3, 32.0, 0.25
surrogate, 3, 32.0, 0.25
surrogate, 3, 32.0, 0.25
surrogate, 3, 32.0, 0.25
surrogate, 3, 31.0, 0.16666666666666666
surrogate, 3, 31.0, 0.16666666666666666
surrogate, 3, 31.0, 0.16666666666666666
surrogate, 3, 31.0, 0.16666666666666666
surrogate, 3, 29.0, 0.14583333333333334
surrogate, 3, 28.0, 0.10416666666666667
surrogate, 3, 26.0, 0.041666666666666664
surrogate, 3, 26.0, 0.041666666666666664
surrogate, 3, 26.0, 0.041666666666666664
surrogate, 3, 26.0, 0.041666666666666664
surrogate, 3, 26.0, 0.041666666666666664
surrogate, 3, 26.0, 0.041666666666666664
surrogate, 3, 26.0, 0.041666666666666664
surrogate, 3, 26.0, 0.041666666666666664
surrogate, 3, 23.0, 0.020833333333333332
surrogate, 3, 23.0, 0.020833333333333332
surrogate, 3, 23.0, 0.020833333333333332
surrogate, 3, 23.0, 0.020833333333333332
surrogate, 4, 36.0, 0.3333333333333333
surrogate, 4, 36.0, 0.3333333333333333
surrogate, 4, 36.0, 0.3333333333333333
surrogate, 4, 36.0, 0.3333333333333333
surrogate, 4, 36.0, 0.3333333333333333
surrogate, 4, 36.0, 0.3333333333333333
surrogate, 4, 32.0, 0.2708333333333333
surrogate, 4, 31.0, 0.16666666666666666
surrogate, 4, 31.0, 0.16666666666666666
surrogate, 4, 31.0, 0.16666666666666666
surrogate, 4, 31.0, 0.16666666666666666
surrogate, 4, 31.0, 0.16666666666666666
surrogate, 4, 31.0, 0.16666666666666666
surrogate, 4, 31.0, 0.16666666666666666
surrogate, 4, 31.0, 0.16666666666666666
surrogate, 4, 29.0, 0.14583333333333334
surrogate, 4, 29.0, 0.14583333333333334
surrogate, 4, 28.0, 0.10416666666666667
surrogate, 4, 28.0, 0.10416666666666667
surrogate, 4, 26.0, 0.041666666666666664
surrogate, 4, 26.0, 0.041666666666666664
surrogate, 4, 26.0, 0.041666666666666664
surrogate, 4, 26.0, 0.041666666666666664
surrogate, 4, 26.0, 0.041666666666666664
surrogate, 4, 26.0, 0.041666666666666664
surrogate, 4, 26.0, 0.041666666666666664
surrogate, 4, 26.0, 0.041666666666666664
surrogate, 4, 26.0, 0.041666666666666664
surrogate, 4, 26.0, 0.041666666666666664
surrogate, 4, 26.0, 0.041666666666666664
surrogate, 4, 26.0, 0.041666666666666664
surrogate, 4, 26.0, 0.041666666666666664
surrogate, 4, 26.0, 0.041666666666666664
surrogate, 4, 26.0, 0.041666666666666664
surrogate, 4, 26.0, 0.041666666666666664
surrogate, 4, 23.0, 0.020833333333333332
surrogate, 4, 23.0, 0.020833333333333332
surrogate, 4, 23.0, 0.020833333333333332
surrogate, 4, 23.0, 0.020833333333333332
surrogate, 4, 23.0, 0.020833333333333332
surrogate, 4, 23.0, 0.020833333333333332
surrogate, 4, 23.0, 0.020833333333333332
surrogate, 4, 23.0, 0.020833333333333332
surrogate, 5, 34.0, 0.3333333333333333
surrogate, 5, 32.0, 0.2708333333333333
surrogate, 5, 32.0, 0.2708333333333333
surrogate, 5, 31.0, 0.16666666666666666
surrogate, 5, 31.0, 0.16666666666666666
surrogate, 5, 31.0, 0.16666666666666666
surrogate, 5, 31.0, 0.16666666666666666
surrogate, 5, 31.0, 0.16666666666666666
surrogate, 5, 31.0, 0.16666666666666666
surrogate, 5, 31.0, 0.16666666666666666
surrogate, 5, 31.0, 0.16666666666666666
surrogate, 5, 31.0, 0.16666666666666666
surrogate, 5, 31.0, 0.16666666666666666
surrogate, 5, 31.0, 0.16666666666666666
surrogate, 5, 31.0, 0.16666666666666666
surrogate, 5, 31.0, 0.16666666666666666
surrogate, 5, 31.0, 0.16666666666666666
surrogate, 5, 31.0, 0.16666666666666666
surrogate, 5, 29.0, 0.14583333333333334
surrogate, 5, 29.0, 0.14583333333333334
surrogate, 5, 29.0, 0.14583333333333334
surrogate, 5, 28.0, 0.10416666666666667
surrogate, 5, 28.0, 0.10416666666666667
surrogate, 5, 28.0, 0.10416666666666667
surrogate, 5, 28.0, 0.10416666666666667
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 26.0, 0.041666666666666664
surrogate, 5, 23.0, 0.020833333333333332
surrogate, 5, 23.0, 0.020833333333333332
surrogate, 5, 23.0, 0.020833333333333332
surrogate, 5, 23.0, 0.020833333333333332
surrogate, 5, 23.0, 0.020833333333333332
surrogate, 5, 23.0, 0.020833333333333332
surrogate, 5, 23.0, 0.020833333333333332
surrogate, 5, 23.0, 0.020833333333333332
surrogate, 5, 23.0, 0.020833333333333332
surrogate, 5, 23.0, 0.020833333333333332
surrogate, 5, 23.0, 0.020833333333333332
surrogate, 5, 23.0, 0.020833333333333332
surrogate, 5, 23.0, 0.020833333333333332
surrogate, 5, 23.0, 0.020833333333333332
surrogate, 5, 23.0, 0.020833333333333332
surrogate, 5, 23.0, 0.020833333333333332
surrogate, 6, 34.0, 0.3333333333333333
surrogate, 6, 34.0, 0.3333333333333333
