method, generation, latency, ar
surrogate, 1, 38.0, 0.4375
surrogate, 1, 35.0, 0.375
surrogate, 1, 33.0, 0.28125
surrogate, 1, 30.0, 0.25
surrogate, 1, 27.0, 0.125
surrogate, 1, 25.0, 0.03125
surrogate, 2, 40.0, 0.5625
surrogate, 2, 38.0, 0.4375
surrogate, 2, 38.0, 0.4375
surrogate, 2, 35.0, 0.375
surrogate, 2, 33.0, 0.28125
surrogate, 2, 30.0, 0.25
surrogate, 2, 27.0, 0.125
surrogate, 2, 27.0, 0.125
surrogate, 2, 25.0, 0.03125
surrogate, 2, 25.0, 0.03125
surrogate, 3, 40.0, 0.5625
surrogate, 3, 40.0, 0.5625
surrogate, 3, 38.0, 0.4375
surrogate, 3, 38.0, 0.4375
surrogate, 3, 38.0, 0.4375
surrogate, 3, 35.0, 0.375
surrogate, 3, 33.0, 0.28125
surrogate, 3, 30.0, 0.25
surrogate, 3, 30.0, 0.25
surrogate, 3, 27.0, 0.125
surrogate, 3, 27.0, 0.125
surrogate, 3, 27.0, 0.125
surrogate, 3, 27.0, 0.125
surrogate, 3, 25.0, 0.03125
surrogate, 3, 25.0, 0.03125
surrogate, 3, 25.0, 0.03125
surrogate, 3, 25.0, 0.03125
surrogate, 4, 40.0, 0.5625
surrogate, 4, 40.0, 0.5625
surrogate, 4, 40.0, 0.5625
surrogate, 4, 37.0, 0.4375
surrogate, 4, 35.0, 0.375
surrogate, 4, 35.0, 0.375
surrogate, 4, 34.0, 0.34375
surrogate, 4, 33.0, 0.28125
surrogate, 4, 33.0, 0.28125
surrogate, 4, 30.0, 0.25
surrogate, 4, 30.0, 0.25
surrogate, 4, 30.0, 0.25
surrogate, 4, 27.0, 0.125
surrogate, 4, 27.0, 0.125
surrogate, 4, 27.0, 0.125
surrogate, 4, 27.0, 0.125
surrogate, 4, 27.0, 0.125
surrogate, 4, 25.0, 0.03125
surrogate, 4, 25.0, 0.03125
surrogate, 4, 25.0, 0.03125
surrogate, 4, 25.0, 0.03125
surrogate, 4, 25.0, 0.03125
surrogate, 4, 25.0, 0.03125
surrogate, 4, 25.0, 0.03125
surrogate, 4, 25.0, 0.03125
surrogate, 5, 41.0, 0.59375
surrogate, 5, 40.0, 0.5625
surrogate, 5, 40.0, 0.5625
surrogate, 5, 40.0, 0.5625
surrogate, 5, 40.0, 0.5625
surrogate, 5, 37.0, 0.4375
surrogate, 5, 37.0, 0.4375
surrogate, 5, 35.0, 0.375
surrogate, 5, 35.0, 0.375
surrogate, 5, 35.0, 0.375
surrogate, 5, 35.0, 0.375
surrogate, 5, 34.0, 0.34375
surrogate, 5, 34.0, 0.34375
surrogate, 5, 34.0, 0.34375
surrogate, 5, 33.0, 0.3125
surrogate, 5, 30.0, 0.25
surrogate, 5, 30.0, 0.25
surrogate, 5, 30.0, 0.25
surrogate, 5, 30.0, 0.25
surrogate, 5, 30.0, 0.25
surrogate, 5, 27.0, 0.125
surrogate, 5, 27.0, 0.125
surrogate, 5, 27.0, 0.125
surrogate, 5, 27.0, 0.125
surrogate, 5, 27.0, 0.125
surrogate, 5, 27.0, 0.125
surrogate, 5, 27.0, 0.125
surrogate, 5, 27.0, 0.125
surrogate, 5, 25.0, 0.03125
surrogate, 5, 25.0, 0.03125
surrogate, 5, 25.0, 0.03125
surrogate, 5, 25.0, 0.03125
surrogate, 5, 25.0, 0.03125
surrogate, 5, 25.0, 0.03125
surrogate, 5, 25.0, 0.03125
surrogate, 5, 25.0, 0.03125
surrogate, 5, 25.0, 0.03125
surrogate, 5, 25.0, 0.03125
surrogate, 5, 25.0, 0.03125
surrogate, 5, 25.0, 0.03125
surrogate, 5, 25.0, 0.03125
surrogate, 5, 25.0, 0.03125
surrogate, 5, 25.0, 0.03125
surrogate, 6, 43.0, 0.65625
surrogate, 6, 40.0, 0.59375
surrogate, 6, 39.0, 0.5625
surrogate, 6, 37.0, 0.4375
