# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
30.00,4.00,0.94,5.17,10.00,0.02,21.11
30.00,12.00,0.94,5.17,10.00,0.02,21.11
30.00,26.00,0.94,5.17,10.00,0.02,21.11
30.00,2.00,0.94,5.17,10.00,0.02,21.11
30.00,7.00,0.94,5.17,10.00,0.02,21.11
30.00,16.00,0.94,5.17,10.00,0.02,21.11
30.00,15.00,0.94,5.17,10.00,0.02,21.11
30.00,0.00,0.94,5.17,10.00,0.02,21.11
30.00,18.00,0.94,5.17,10.00,0.02,21.11
30.00,17.00,0.94,5.17,10.00,0.02,21.11
30.00,6.00,0.94,5.17,10.00,0.02,21.11
30.00,8.00,0.94,5.17,10.00,0.02,21.11
30.00,10.00,0.94,5.17,10.00,0.02,21.11
30.00,22.00,3.76,32.22,18.86,0.05,40.85
30.00,13.00,5.17,43.13,19.33,0.06,31.89
30.00,3.00,5.17,44.64,20.00,0.06,32.54
30.00,11.00,0.94,5.17,10.00,0.02,21.11
30.00,14.00,0.94,5.17,10.00,0.02,21.11
30.00,36.00,0.94,5.17,10.00,0.02,21.11
30.00,27.00,0.94,5.17,10.00,0.02,21.11
30.00,21.00,0.94,5.17,10.00,0.02,21.11
30.00,9.00,0.94,5.17,10.00,0.02,21.11
30.00,29.00,0.94,5.17,10.00,0.02,21.11
30.00,25.00,2.70,16.45,12.50,0.07,25.50
30.00,20.00,0.94,5.17,10.00,0.02,21.11
30.00,35.00,0.94,5.17,10.00,0.02,21.11
30.00,39.00,0.94,5.17,10.00,0.02,21.11
30.00,23.00,0.94,5.17,10.00,0.02,21.11
30.00,19.00,0.94,5.17,10.00,0.02,21.11
30.00,31.00,0.94,5.17,10.00,0.02,21.11
30.00,28.00,3.29,25.22,16.67,0.04,28.03
30.00,1.00,11.28,78.74,20.12,0.14,36.42
30.00,50.00,0.94,5.17,10.00,0.02,21.11
30.00,38.00,0.94,5.17,10.00,0.02,21.11
30.00,46.00,0.94,5.17,10.00,0.02,21.11
30.00,37.00,0.94,5.17,10.00,0.02,21.11
30.00,44.00,0.94,5.17,10.00,0.02,21.11
30.00,57.00,0.94,5.17,10.00,0.02,21.11
30.00,24.00,0.94,5.17,10.00,0.02,21.11
30.00,42.00,0.94,5.17,10.00,0.02,21.11
30.00,64.00,0.94,5.17,10.00,0.02,21.11
