method, generation, latency, ar
surrogate, 1, 33.0, 0.5
surrogate, 1, 31.0, 0.3125
surrogate, 1, 30.0, 0.21875
surrogate, 1, 29.0, 0.1875
surrogate, 1, 28.0, 0.125
surrogate, 1, 27.0, 0.0625
surrogate, 2, 33.0, 0.5
surrogate, 2, 33.0, 0.5
surrogate, 2, 32.0, 0.34375
surrogate, 2, 31.0, 0.3125
surrogate, 2, 31.0, 0.3125
surrogate, 2, 30.0, 0.25
surrogate, 2, 29.0, 0.1875
surrogate, 2, 29.0, 0.1875
surrogate, 2, 28.0, 0.125
surrogate, 2, 27.0, 0.0625
surrogate, 2, 27.0, 0.0625
surrogate, 3, 33.0, 0.5
surrogate, 3, 33.0, 0.5
surrogate, 3, 33.0, 0.5
surrogate, 3, 33.0, 0.5
surrogate, 3, 32.0, 0.34375
surrogate, 3, 31.0, 0.3125
surrogate, 3, 31.0, 0.3125
surrogate, 3, 31.0, 0.3125
surrogate, 3, 30.0, 0.25
surrogate, 3, 30.0, 0.25
surrogate, 3, 29.0, 0.1875
surrogate, 3, 29.0, 0.1875
surrogate, 3, 29.0, 0.1875
surrogate, 3, 29.0, 0.1875
surrogate, 3, 28.0, 0.125
surrogate, 3, 28.0, 0.125
surrogate, 3, 27.0, 0.0625
surrogate, 3, 27.0, 0.0625
surrogate, 3, 27.0, 0.0625
surrogate, 4, 33.0, 0.5
surrogate, 4, 33.0, 0.5
surrogate, 4, 33.0, 0.5
surrogate, 4, 33.0, 0.5
surrogate, 4, 33.0, 0.5
surrogate, 4, 33.0, 0.5
surrogate, 4, 32.0, 0.34375
surrogate, 4, 32.0, 0.34375
surrogate, 4, 31.0, 0.3125
surrogate, 4, 31.0, 0.3125
surrogate, 4, 31.0, 0.3125
surrogate, 4, 31.0, 0.3125
surrogate, 4, 31.0, 0.3125
surrogate, 4, 30.0, 0.25
surrogate, 4, 30.0, 0.25
surrogate, 4, 30.0, 0.25
surrogate, 4, 30.0, 0.25
surrogate, 4, 29.0, 0.1875
