# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
40.00,3.00,13.70,82.56,11.20,0.03,22.24
40.00,2.00,10.37,78.86,12.00,0.02,23.08
40.00,1.00,14.81,125.65,13.75,0.03,24.73
40.00,5.00,18.51,157.91,14.60,0.03,25.75
40.00,0.00,22.21,164.94,14.20,0.03,25.32
40.00,29.00,13.70,80.71,12.00,0.02,23.13
40.00,15.00,13.70,82.56,11.20,0.03,22.24
40.00,23.00,13.70,82.56,11.20,0.03,22.24
40.00,10.00,13.70,82.56,11.20,0.03,22.24
40.00,12.00,13.70,82.56,11.20,0.03,22.24
40.00,53.00,13.70,82.56,11.20,0.03,22.24
40.00,34.00,13.70,82.56,11.20,0.03,22.24
40.00,27.00,13.70,82.56,11.20,0.03,22.24
40.00,39.00,17.12,129.12,12.25,0.03,23.26
40.00,42.00,13.70,82.56,11.20,0.03,22.24
40.00,50.00,13.70,82.56,11.20,0.03,22.24
40.00,38.00,18.51,159.20,15.00,0.03,26.21
40.00,52.00,13.70,82.56,11.20,0.03,22.24
40.00,31.00,13.70,82.56,11.20,0.03,22.24
40.00,24.00,13.70,80.71,12.00,0.02,23.13
40.00,6.00,13.58,96.26,13.00,0.02,24.17
40.00,11.00,18.51,159.20,15.00,0.03,26.21
40.00,45.00,15.97,127.27,13.25,0.03,24.37
40.00,13.00,33.32,254.54,16.43,0.05,27.47
40.00,33.00,13.70,82.56,11.20,0.03,22.24
40.00,41.00,22.21,167.53,14.80,0.03,25.94
40.00,40.00,42.58,344.22,18.32,0.05,29.66
40.00,46.00,20.73,159.57,14.20,0.03,25.32
40.00,4.00,49.98,389.53,20.95,0.05,32.60
40.00,7.00,46.28,396.15,19.81,0.06,30.98
40.00,8.00,51.83,399.50,19.71,0.06,31.11
40.00,47.00,37.02,291.10,17.75,0.04,29.19
40.00,20.00,38.88,292.49,18.12,0.05,29.44
40.00,9.00,33.32,245.41,16.57,0.04,27.79
40.00,21.00,42.58,355.23,19.05,0.05,30.45
40.00,16.00,13.70,82.56,11.20,0.03,22.24
40.00,55.00,13.70,82.56,11.20,0.03,22.24
40.00,58.00,13.70,82.56,11.20,0.03,22.24
40.00,35.00,10.37,79.23,12.00,0.02,23.13
40.00,22.00,24.07,181.23,17.00,0.04,28.05
40.00,62.00,20.73,159.57,14.20,0.03,25.32
40.00,54.00,15.97,127.27,13.25,0.03,24.37
40.00,26.00,18.51,159.20,15.00,0.03,26.21
40.00,57.00,20.73,159.57,14.20,0.03,25.32
40.00,49.00,18.51,159.20,15.00,0.03,26.21
40.00,37.00,13.58,96.26,13.00,0.02,24.17
40.00,60.00,20.73,159.94,14.20,0.03,25.35
40.00,56.00,18.51,159.20,15.00,0.03,26.21
40.00,59.00,33.32,250.84,16.43,0.04,27.70
40.00,19.00,35.17,261.26,16.27,0.04,27.62
40.00,36.00,35.17,259.91,16.53,0.04,28.01
40.00,28.00,61.09,431.94,21.24,0.05,32.98
40.00,44.00,33.32,254.54,16.43,0.05,27.47
40.00,18.00,59.24,452.09,20.26,0.07,31.64
40.00,43.00,57.39,449.52,20.52,0.07,31.80
40.00,14.00,68.49,540.19,21.85,0.08,32.99
40.00,25.00,53.68,428.05,20.18,0.06,31.49
40.00,64.00,13.70,82.56,11.20,0.03,22.24
40.00,66.00,33.32,284.27,18.00,0.04,29.20
40.00,17.00,40.73,367.51,19.89,0.05,31.16
40.00,65.00,49.98,396.07,19.62,0.06,31.00
40.00,61.00,49.98,358.72,19.89,0.05,31.57
40.00,32.00,49.98,394.83,19.52,0.06,30.79
40.00,67.00,55.54,403.82,20.00,0.06,31.55
40.00,48.00,51.83,411.41,20.29,0.05,31.93
40.00,68.00,59.24,455.47,20.43,0.07,31.81
40.00,30.00,59.24,455.71,20.78,0.07,32.17
