method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.07896875, 0.5625, 0.0, 13923.6005, 50000.0, 21.0
surrogate, 2, 0.124296875, 0.5625, 0.03125, 31.41, 41.0, 21.0
surrogate, 3, 0.1411875, 0.5625, 0.03125, 30.277, 42.0, 21.0
surrogate, 4, 0.161171875, 0.59375, 0.03125, 29.639, 42.0, 21.0
surrogate, 5, 0.196671875, 0.59375, 0.03125, 29.732, 42.0, 21.0
surrogate, 6, 0.197234375, 0.65625, 0.03125, 28.979, 49.0, 21.0
surrogate, 7, 0.1685, 0.71875, 0.03125, 27.3045, 49.0, 21.0
surrogate, 8, 0.168046875, 0.75, 0.03125, 26.971, 49.0, 19.0
surrogate, 9, 0.13678125, 0.75, 0.03125, 25.5705, 46.0, 19.0
surrogate, 10, 0.081984375, 0.78125, 0.03125, 22.789, 45.0, 19.0
surrogate, 11, 0.050984375, 0.78125, 0.03125, 21.6865, 45.0, 19.0
surrogate, 12, 0.059109375, 0.78125, 0.03125, 21.9815, 45.0, 19.0
surrogate, 13, 0.07265625, 0.78125, 0.03125, 22.4905, 45.0, 19.0
surrogate, 14, 0.0980625, 0.78125, 0.03125, 23.4465, 45.0, 19.0
surrogate, 15, 0.096953125, 0.90625, 0.03125, 24.077, 43.0, 19.0
surrogate, 16, 0.0985, 0.90625, 0.03125, 24.1115, 43.0, 19.0
surrogate, 17, 0.100359375, 0.90625, 0.03125, 24.1525, 43.0, 19.0
surrogate, 18, 0.101046875, 0.90625, 0.03125, 24.145, 43.0, 19.0
surrogate, 19, 0.100578125, 0.90625, 0.03125, 24.0865, 43.0, 19.0
surrogate, 20, 0.102875, 0.90625, 0.03125, 24.0605, 43.0, 19.0
surrogate, 21, 0.10628125, 0.90625, 0.03125, 23.99, 43.0, 19.0
surrogate, 22, 0.10440625, 0.90625, 0.03125, 23.6525, 43.0, 19.0
surrogate, 23, 0.1063125, 0.90625, 0.03125, 23.114, 43.0, 19.0
surrogate, 24, 0.12003125, 0.90625, 0.03125, 22.636, 43.0, 19.0
surrogate, 25, 0.071984375, 0.90625, 0.03125, 20.491, 42.0, 19.0
surrogate, 26, 0.03725, 0.90625, 0.03125, 19.1955, 42.0, 19.0
surrogate, 27, 0.03746875, 0.90625, 0.03125, 19.2025, 42.0, 19.0
surrogate, 28, 0.037625, 0.90625, 0.03125, 19.2075, 42.0, 19.0
surrogate, 29, 0.037625, 0.90625, 0.03125, 19.2075, 42.0, 19.0
surrogate, 30, 0.037625, 0.90625, 0.03125, 19.2075, 42.0, 19.0
surrogate, 31, 0.037625, 0.90625, 0.03125, 19.2075, 42.0, 19.0
surrogate, 32, 0.037625, 0.90625, 0.03125, 19.2075, 42.0, 19.0
surrogate, 33, 0.037625, 0.90625, 0.03125, 19.2075, 42.0, 19.0
surrogate, 34, 0.037625, 0.90625, 0.03125, 19.2075, 42.0, 19.0
surrogate, 35, 0.037625, 0.90625, 0.03125, 19.2075, 42.0, 19.0
surrogate, 36, 0.037625, 0.90625, 0.03125, 19.2075, 42.0, 19.0
surrogate, 37, 0.037625, 0.90625, 0.03125, 19.2075, 42.0, 19.0
surrogate, 38, 0.037375, 0.90625, 0.03125, 19.1975, 42.0, 19.0
surrogate, 39, 0.037375, 0.90625, 0.03125, 19.1975, 42.0, 19.0
surrogate, 40, 0.03709375, 0.90625, 0.03125, 19.188, 42.0, 19.0
surrogate, 41, 0.0371875, 0.90625, 0.03125, 19.191, 42.0, 19.0
surrogate, 42, 0.0371875, 0.90625, 0.03125, 19.191, 42.0, 19.0
surrogate, 43, 0.0371875, 0.90625, 0.03125, 19.191, 42.0, 19.0
surrogate, 44, 0.0371875, 0.90625, 0.03125, 19.191, 42.0, 19.0
surrogate, 45, 0.03703125, 0.90625, 0.03125, 19.185, 42.0, 19.0
surrogate, 46, 0.0371875, 0.90625, 0.03125, 19.1895, 42.0, 19.0
surrogate, 47, 0.0371875, 0.90625, 0.03125, 19.1895, 42.0, 19.0
surrogate, 48, 0.0371875, 0.90625, 0.03125, 19.1895, 42.0, 19.0
surrogate, 49, 0.0371875, 0.90625, 0.03125, 19.1895, 42.0, 19.0
surrogate, 50, 0.037203125, 0.9375, 0.03125, 19.1895, 42.0, 19.0
surrogate, 51, 0.037203125, 0.9375, 0.03125, 19.1895, 42.0, 19.0
surrogate, 52, 0.037203125, 0.9375, 0.03125, 19.1895, 42.0, 19.0
surrogate, 53, 0.03690625, 0.9375, 0.03125, 19.1795, 42.0, 19.0
surrogate, 54, 0.036578125, 0.9375, 0.03125, 19.168, 42.0, 19.0
surrogate, 55, 0.036578125, 0.9375, 0.03125, 19.168, 42.0, 19.0
surrogate, 56, 0.036578125, 0.9375, 0.03125, 19.168, 42.0, 19.0
surrogate, 57, 0.036578125, 0.9375, 0.03125, 19.168, 42.0, 19.0
surrogate, 58, 0.03678125, 0.9375, 0.03125, 19.173, 42.0, 19.0
surrogate, 59, 0.03690625, 0.9375, 0.03125, 19.177, 42.0, 19.0
surrogate, 60, 0.037234375, 0.9375, 0.03125, 19.1865, 42.0, 19.0
surrogate, 61, 0.03678125, 0.9375, 0.03125, 19.171, 42.0, 19.0
surrogate, 62, 0.03728125, 0.96875, 0.03125, 19.185, 41.0, 19.0
surrogate, 63, 0.037109375, 0.96875, 0.03125, 19.179, 41.0, 19.0
surrogate, 64, 0.03728125, 0.96875, 0.03125, 19.184, 41.0, 19.0
surrogate, 65, 0.03728125, 0.96875, 0.03125, 19.184, 41.0, 19.0
surrogate, 66, 0.03746875, 0.96875, 0.03125, 19.19, 41.0, 19.0
surrogate, 67, 0.03746875, 0.96875, 0.03125, 19.19, 41.0, 19.0
surrogate, 68, 0.03765625, 0.96875, 0.03125, 19.196, 41.0, 19.0
surrogate, 69, 0.03765625, 0.96875, 0.03125, 19.196, 41.0, 19.0
surrogate, 70, 0.03765625, 0.96875, 0.03125, 19.196, 41.0, 19.0
surrogate, 71, 0.03765625, 0.96875, 0.03125, 19.196, 41.0, 19.0
surrogate, 72, 0.037328125, 0.96875, 0.03125, 19.1855, 41.0, 19.0
surrogate, 73, 0.03696875, 0.96875, 0.03125, 19.1745, 40.0, 19.0
surrogate, 74, 0.03696875, 0.96875, 0.03125, 19.1745, 40.0, 19.0
surrogate, 75, 0.03696875, 0.96875, 0.03125, 19.1745, 40.0, 19.0
surrogate, 76, 0.03696875, 0.96875, 0.03125, 19.1745, 40.0, 19.0
surrogate, 77, 0.03696875, 0.96875, 0.03125, 19.1745, 40.0, 19.0
surrogate, 78, 0.03696875, 0.96875, 0.03125, 19.1745, 40.0, 19.0
surrogate, 79, 0.03696875, 0.96875, 0.03125, 19.1745, 40.0, 19.0
surrogate, 80, 0.03665625, 0.96875, 0.03125, 19.165, 40.0, 19.0
surrogate, 81, 0.03665625, 0.96875, 0.03125, 19.165, 40.0, 19.0
surrogate, 82, 0.03665625, 0.96875, 0.03125, 19.165, 40.0, 19.0
surrogate, 83, 0.037, 0.96875, 0.03125, 19.1745, 40.0, 19.0
surrogate, 84, 0.037, 0.96875, 0.03125, 19.1745, 40.0, 19.0
surrogate, 85, 0.037, 0.96875, 0.03125, 19.1745, 40.0, 19.0
surrogate, 86, 0.037, 0.96875, 0.03125, 19.1745, 40.0, 19.0
surrogate, 87, 0.037, 0.96875, 0.03125, 19.1745, 40.0, 19.0
surrogate, 88, 0.037, 0.96875, 0.03125, 19.1745, 40.0, 19.0
surrogate, 89, 0.03671875, 0.96875, 0.03125, 19.1655, 40.0, 19.0
surrogate, 90, 0.03671875, 0.96875, 0.03125, 19.1655, 40.0, 19.0
surrogate, 91, 0.03671875, 0.96875, 0.03125, 19.1655, 40.0, 19.0
surrogate, 92, 0.03671875, 0.96875, 0.03125, 19.1655, 40.0, 19.0
surrogate, 93, 0.03671875, 0.96875, 0.03125, 19.1655, 40.0, 19.0
surrogate, 94, 0.0371875, 0.96875, 0.03125, 19.176, 40.0, 19.0
surrogate, 95, 0.0375, 0.96875, 0.03125, 19.185, 40.0, 19.0
surrogate, 96, 0.03678125, 0.96875, 0.03125, 19.1615, 40.0, 19.0
surrogate, 97, 0.036578125, 0.96875, 0.03125, 19.1545, 40.0, 19.0
surrogate, 98, 0.036578125, 0.96875, 0.03125, 19.1545, 40.0, 19.0
surrogate, 99, 0.0369375, 0.96875, 0.03125, 19.1655, 40.0, 19.0
surrogate, 100, 0.0369375, 0.96875, 0.03125, 19.1655, 40.0, 19.0
surrogate, 101, 0.037171875, 0.96875, 0.03125, 19.1725, 40.0, 19.0
surrogate, 102, 0.03728125, 0.96875, 0.03125, 19.176, 40.0, 19.0
surrogate, 103, 0.03728125, 0.96875, 0.03125, 19.176, 40.0, 19.0
surrogate, 104, 0.03728125, 0.96875, 0.03125, 19.176, 40.0, 19.0
surrogate, 105, 0.03728125, 0.96875, 0.03125, 19.176, 40.0, 19.0
surrogate, 106, 0.037546875, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 107, 0.036671875, 0.96875, 0.03125, 19.1575, 40.0, 19.0
surrogate, 108, 0.0369375, 0.96875, 0.03125, 19.1655, 40.0, 19.0
surrogate, 109, 0.0366875, 0.96875, 0.03125, 19.1575, 40.0, 19.0
surrogate, 110, 0.037, 0.96875, 0.03125, 19.166, 40.0, 19.0
surrogate, 111, 0.037, 0.96875, 0.03125, 19.166, 40.0, 19.0
surrogate, 112, 0.037, 0.96875, 0.03125, 19.166, 40.0, 19.0
surrogate, 113, 0.037, 0.96875, 0.03125, 19.166, 40.0, 19.0
surrogate, 114, 0.037, 0.96875, 0.03125, 19.166, 40.0, 19.0
surrogate, 115, 0.037, 0.96875, 0.03125, 19.166, 40.0, 19.0
surrogate, 116, 0.037, 0.96875, 0.03125, 19.166, 40.0, 19.0
surrogate, 117, 0.037, 0.96875, 0.03125, 19.166, 40.0, 19.0
surrogate, 118, 0.037, 0.96875, 0.03125, 19.166, 40.0, 19.0
surrogate, 119, 0.03728125, 0.96875, 0.03125, 19.174, 40.0, 19.0
surrogate, 120, 0.03728125, 0.96875, 0.03125, 19.174, 40.0, 19.0
surrogate, 121, 0.03728125, 0.96875, 0.03125, 19.174, 40.0, 19.0
surrogate, 122, 0.03728125, 0.96875, 0.03125, 19.174, 40.0, 19.0
surrogate, 123, 0.03728125, 0.96875, 0.03125, 19.174, 40.0, 19.0
surrogate, 124, 0.03728125, 0.96875, 0.03125, 19.174, 40.0, 19.0
surrogate, 125, 0.03728125, 0.96875, 0.03125, 19.174, 40.0, 19.0
surrogate, 126, 0.03728125, 0.96875, 0.03125, 19.174, 40.0, 19.0
surrogate, 127, 0.03728125, 0.96875, 0.03125, 19.174, 40.0, 19.0
surrogate, 128, 0.03728125, 0.96875, 0.03125, 19.174, 40.0, 19.0
surrogate, 129, 0.03728125, 0.96875, 0.03125, 19.174, 40.0, 19.0
surrogate, 130, 0.03728125, 0.96875, 0.03125, 19.174, 40.0, 19.0
surrogate, 131, 0.03728125, 0.96875, 0.03125, 19.174, 40.0, 19.0
surrogate, 132, 0.03728125, 0.96875, 0.03125, 19.174, 40.0, 19.0
surrogate, 133, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 134, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 135, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 136, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 137, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 138, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 139, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 140, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 141, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 142, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 143, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 144, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 145, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 146, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 147, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 148, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 149, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 150, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 151, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 152, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 153, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 154, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 155, 0.03765625, 0.96875, 0.03125, 19.184, 40.0, 19.0
surrogate, 156, 0.037984375, 0.96875, 0.03125, 19.193, 40.0, 19.0
surrogate, 157, 0.0383125, 0.96875, 0.03125, 19.202, 40.0, 19.0
surrogate, 158, 0.0383125, 0.96875, 0.03125, 19.202, 40.0, 19.0
surrogate, 159, 0.0383125, 0.96875, 0.03125, 19.202, 40.0, 19.0
surrogate, 160, 0.03746875, 0.96875, 0.03125, 19.181, 39.0, 19.0
surrogate, 161, 0.03746875, 0.96875, 0.03125, 19.181, 39.0, 19.0
surrogate, 162, 0.03746875, 0.96875, 0.03125, 19.181, 39.0, 19.0
surrogate, 163, 0.037234375, 0.96875, 0.03125, 19.1735, 39.0, 19.0
surrogate, 164, 0.037046875, 0.96875, 0.03125, 19.167, 39.0, 19.0
surrogate, 165, 0.037046875, 0.96875, 0.03125, 19.167, 39.0, 19.0
surrogate, 166, 0.037046875, 0.96875, 0.03125, 19.167, 39.0, 19.0
surrogate, 167, 0.037234375, 0.96875, 0.03125, 19.1725, 39.0, 19.0
surrogate, 168, 0.037234375, 0.96875, 0.03125, 19.1725, 39.0, 19.0
surrogate, 169, 0.037046875, 0.96875, 0.03125, 19.166, 39.0, 19.0
surrogate, 170, 0.0373125, 0.96875, 0.03125, 19.1735, 39.0, 19.0
surrogate, 171, 0.03753125, 0.96875, 0.03125, 19.18, 39.0, 19.0
surrogate, 172, 0.03753125, 0.96875, 0.03125, 19.18, 39.0, 19.0
surrogate, 173, 0.037734375, 0.96875, 0.03125, 19.186, 39.0, 19.0
surrogate, 174, 0.0379375, 0.96875, 0.03125, 19.192, 39.0, 19.0
surrogate, 175, 0.0379375, 0.96875, 0.03125, 19.192, 39.0, 19.0
surrogate, 176, 0.0379375, 0.96875, 0.03125, 19.192, 39.0, 19.0
surrogate, 177, 0.0379375, 0.96875, 0.03125, 19.192, 39.0, 19.0
surrogate, 178, 0.0379375, 0.96875, 0.03125, 19.192, 39.0, 19.0
surrogate, 179, 0.0379375, 0.96875, 0.03125, 19.192, 39.0, 19.0
surrogate, 180, 0.0379375, 0.96875, 0.03125, 19.192, 39.0, 19.0
