method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.083859375, 0.78125, 0.0, 13372.9965, 50000.0, 19.0
surrogate, 2, 0.14146875, 0.78125, 0.03125, 30.4655, 43.0, 19.0
surrogate, 3, 0.174125, 0.78125, 0.03125, 29.749, 43.0, 19.0
surrogate, 4, 0.193828125, 0.78125, 0.03125, 29.223, 42.0, 19.0
surrogate, 5, 0.1681875, 0.78125, 0.03125, 27.8705, 40.0, 19.0
surrogate, 6, 0.12371875, 0.8125, 0.03125, 26.1805, 40.0, 19.0
surrogate, 7, 0.131375, 0.8125, 0.03125, 25.3485, 40.0, 19.0
surrogate, 8, 0.080640625, 0.8125, 0.03125, 23.4185, 40.0, 19.0
surrogate, 9, 0.07753125, 0.8125, 0.03125, 22.6185, 40.0, 19.0
surrogate, 10, 0.0745625, 0.875, 0.03125, 21.2265, 40.0, 19.0
surrogate, 11, 0.07240625, 0.875, 0.03125, 20.2965, 40.0, 19.0
surrogate, 12, 0.035640625, 0.875, 0.03125, 19.122, 39.0, 19.0
surrogate, 13, 0.036328125, 0.875, 0.03125, 19.1395, 39.0, 19.0
surrogate, 14, 0.036390625, 0.875, 0.03125, 19.14, 39.0, 19.0
surrogate, 15, 0.035765625, 0.875, 0.03125, 19.124, 39.0, 19.0
surrogate, 16, 0.035765625, 0.875, 0.03125, 19.124, 39.0, 19.0
surrogate, 17, 0.035765625, 0.875, 0.03125, 19.124, 39.0, 19.0
surrogate, 18, 0.035375, 0.875, 0.03125, 19.1095, 39.0, 19.0
surrogate, 19, 0.035515625, 0.875, 0.03125, 19.114, 39.0, 19.0
surrogate, 20, 0.03584375, 0.875, 0.03125, 19.122, 39.0, 19.0
surrogate, 21, 0.036, 0.875, 0.03125, 19.127, 39.0, 19.0
surrogate, 22, 0.03615625, 0.875, 0.03125, 19.132, 39.0, 19.0
surrogate, 23, 0.035890625, 0.875, 0.03125, 19.1235, 39.0, 19.0
surrogate, 24, 0.035453125, 0.875, 0.03125, 19.112, 39.0, 19.0
surrogate, 25, 0.03546875, 0.90625, 0.03125, 19.112, 39.0, 19.0
surrogate, 26, 0.03540625, 0.90625, 0.03125, 19.1085, 39.0, 19.0
surrogate, 27, 0.035875, 0.90625, 0.03125, 19.122, 39.0, 19.0
surrogate, 28, 0.0355625, 0.90625, 0.03125, 19.1115, 39.0, 19.0
surrogate, 29, 0.0355625, 0.90625, 0.03125, 19.1115, 39.0, 19.0
surrogate, 30, 0.03571875, 0.90625, 0.03125, 19.116, 39.0, 19.0
surrogate, 31, 0.0360625, 0.90625, 0.03125, 19.124, 39.0, 19.0
surrogate, 32, 0.036265625, 0.90625, 0.03125, 19.129, 39.0, 19.0
surrogate, 33, 0.036765625, 1.0, 0.03125, 19.1395, 41.0, 19.0
emulator, 33.1, 1.0, 1.0, 1.0, 35.0, 35.0, 35.0
