generation,avg_ar,max_ar,min_ar,avg_latency,max_latency,min_latency
1,0.6365625,0.84375,0.46875,3209.6079670387194,4357.561683899536,2293.1800245380928
2,0.6065625,0.84375,0.40625,3040.952178232428,4442.531492775292,1911.0853367459392
3,0.5803125,0.8125,0.375,2890.685254373998,4135.450504372748,1820.8557659454166
4,0.5628125,0.71875,0.375,2806.1161697663747,3723.9137241261487,1822.8506337384856
5,0.52625,0.71875,0.34375,2595.933759496009,3658.9407579457356,1592.111776844572
6,0.50875,0.6875,0.34375,2495.4110223688313,3599.1337424346043,1596.6509015041197
7,0.49,0.71875,0.34375,2383.5744246348763,3520.4340891531,1598.744930539559
8,0.47375,0.78125,0.34375,2276.3377786358005,4149.809758513087,1598.744930539559
9,0.46625,0.65625,0.3125,2230.037173979805,3293.9515268033,1414.2219807581278
10,0.4515625,0.625,0.3125,2133.7683176063056,3112.2963261557343,1396.2496972143294
11,0.439375,0.65625,0.25,2067.6415804317094,3158.9342677039194,1173.2492722993875
12,0.4153125,0.59375,0.25,1931.2473578530446,2912.0691251688,1173.2492722993875
13,0.3928125,0.53125,0.25,1817.8511604836501,2583.2738323757244,1095.1992022096222
14,0.37875,0.53125,0.28125,1750.818165028149,2542.343299287243,1163.8336133344396
15,0.3653125,0.53125,0.25,1674.3902273694894,2585.79721259453,1059.4530083518193
16,0.3528125,0.5,0.21875,1607.3520407780516,2479.3082689570288,964.1641779923485
17,0.3253125,0.5,0.21875,1470.6720605536764,2389.9996035628405,902.6951607164208
18,0.3178125,0.59375,0.1875,1424.1295920034954,2910.2432712255104,721.0766626030869
19,0.3159375,0.5,0.15625,1413.3488170789094,2375.229293782996,694.113436434264
20,0.29875,0.5,0.15625,1323.8246619677998,2370.9126985733765,694.113436434264
21,0.2934375,0.4375,0.15625,1296.0011130448368,2040.8689366816327,623.4420348795738
22,0.2746875,0.46875,0.125,1200.3922056484616,2147.0470178091405,531.5098410213225
23,0.2603125,0.375,0.15625,1133.0980498970569,1729.0419223136878,557.7041883403981
24,0.2471875,0.40625,0.125,1069.7582362718422,1832.424946822196,489.9063895268733
25,0.2446875,0.375,0.09375,1050.9289172952929,1628.3850195562738,345.096714225722
26,0.22625,0.40625,0.09375,967.8950494169909,1853.3525240238089,345.096714225722
27,0.216875,0.4375,0.09375,931.7133555875703,1991.6335701345115,348.6389896078087
28,0.198125,0.34375,0.0625,835.773591146052,1667.3632530364002,271.4791811265417
29,0.19625,0.375,0.09375,823.0553807336792,1655.1505181538976,333.6303785734056
30,0.1803125,0.3125,0.09375,744.4785274145141,1471.6775409207744,310.38442020607135
31,0.180625,0.40625,0.09375,741.8798461097294,1940.6293562144303,364.4094511054308
32,0.1784375,0.34375,0.09375,729.3447923541055,1458.1451964912708,330.72629169963386
33,0.169375,0.28125,0.0625,679.4539776287546,1198.3295518262732,229.03316448738084
34,0.1621875,0.3125,0.0625,654.771218784241,1403.6425266706126,229.03316448738084
35,0.16375,0.3125,0.09375,669.5485111326534,1329.8194268415123,325.65335773616465
36,0.1459375,0.28125,0.0625,573.4041574180773,1272.507797064105,214.83716092075667
37,0.145625,0.28125,0.03125,582.1018400721523,1269.0071538312952,121.64357515389509
38,0.1334375,0.28125,0.03125,528.3971093383236,1318.2541804796397,115.57320729389139
39,0.12625,0.28125,0.0625,505.57544627069154,1279.3977543201363,202.60340732066527
40,0.1175,0.25,0.03125,464.0077172328737,1255.0366808866968,113.53545726042408
41,0.11125,0.1875,0.0,436.09263640966054,966.318578835586,0.0
42,0.1003125,0.1875,0.03125,387.8302875490679,778.521960309088,98.65794328225113
43,0.093125,0.21875,0.03125,363.25514393481564,876.0448337872364,103.94546403841412
44,0.085,0.21875,0.03125,329.9244122266605,884.178348643229,102.513724349561
45,0.085625,0.1875,0.0,330.7456947604415,838.614677238019,0.0
46,0.078125,0.15625,0.0,305.4386086393911,764.9981189863053,0.0
47,0.063125,0.1875,0.0,243.2973978778586,877.2969784148132,0.0
48,0.0603125,0.15625,0.0,237.03645769678792,703.4008732280699,0.0
49,0.058125,0.15625,0.0,229.71667269900917,721.1099204380243,0.0
50,0.0509375,0.15625,0.0,204.02656003734708,732.5289258713906,0.0
51,0.044375,0.125,0.0,174.80947820781876,611.154365819708,0.0
52,0.045625,0.125,0.0,182.1162599191226,543.2603174839758,0.0
53,0.0421875,0.09375,0.0,167.19073651149534,490.03739979026574,0.0
54,0.0453125,0.1875,0.0,177.1585815151714,891.4901297671121,0.0
55,0.04625,0.125,0.0,182.40944062352636,593.0622156768438,0.0
56,0.04375,0.125,0.0,170.2489744224827,567.8125180534646,0.0
57,0.043125,0.09375,0.0,167.1226695007432,486.9805882212848,0.0
58,0.0484375,0.125,0.0,189.6693263302148,627.6999813590472,0.0
59,0.0459375,0.125,0.0,176.34955598617162,540.9051424119149,0.0
60,0.045,0.125,0.03125,169.3354570693182,648.575265629734,96.01418290416964
61,0.05125,0.125,0.03125,195.63359133085615,600.3586383261855,96.01418290416964
62,0.0575,0.125,0.03125,221.53060112392518,592.347957113745,96.01418290416964
63,0.0653125,0.15625,0.03125,255.96742904283005,711.9233837524395,96.01418290416964
64,0.0703125,0.125,0.03125,273.3781349291746,675.3164671616486,96.01418290416964
65,0.0696875,0.15625,0.03125,264.62384405428156,719.7420852019109,96.01418290416964
66,0.0728125,0.15625,0.03125,278.39562309460706,724.1207432280539,96.01418290416964
67,0.0734375,0.15625,0.03125,281.898361377406,736.767063319363,98.65794328225113
68,0.0790625,0.15625,0.03125,304.3709340964577,748.5414883441393,98.65794328225113
69,0.07625,0.1875,0.03125,287.38505238100885,926.9202704418203,98.65794328225113
70,0.0796875,0.15625,0.03125,307.574083016101,758.0479050368481,98.65794328225113
71,0.075,0.15625,0.03125,282.844412345493,662.591139696908,98.65794328225113
72,0.0765625,0.15625,0.03125,290.43136456290944,617.4182574854103,98.65794328225113
73,0.075625,0.15625,0.03125,293.70907884746117,828.8539993480262,98.65794328225113
74,0.073125,0.125,0.0,275.5468250527377,643.3812678998015,0.0
75,0.071875,0.15625,0.0,276.7840720951896,789.8731734087243,0.0
76,0.06625,0.15625,0.0,253.15720760940158,748.4267560322384,0.0
77,0.059375,0.1875,0.0,226.3838215931175,858.3545519487728,0.0
78,0.0528125,0.125,0.0,201.67762335112144,629.5025832368242,0.0
79,0.05,0.125,0.03125,188.79727960288753,571.858036716147,98.65794328225113
80,0.0565625,0.125,0.03125,211.71872011713648,536.5471054920454,98.65794328225113
81,0.06125,0.15625,0.03125,234.84097741142014,695.2812501960163,98.65794328225113
82,0.0675,0.15625,0.03125,257.9455066673358,767.2532807397915,98.65794328225113
83,0.0753125,0.15625,0.03125,295.3338609506942,782.7700506442272,98.65794328225113
84,0.076875,0.1875,0.03125,299.6629735934693,848.3508235557686,98.65794328225113
85,0.0775,0.15625,0.03125,298.23694811468346,766.5710015227286,98.65794328225113
86,0.075625,0.15625,0.03125,291.74704427738726,761.0648699445971,98.65794328225113
87,0.0759375,0.1875,0.03125,286.8383758817229,973.9438354959509,98.65794328225113
88,0.08125,0.15625,0.03125,304.6427292241496,655.7218351527508,98.65794328225113
89,0.076875,0.15625,0.03125,286.7324728262254,697.0203522078066,98.65794328225113
90,0.07,0.125,0.03125,247.6706390282249,551.4893829251826,98.65794328225113
91,0.0784375,0.15625,0.03125,288.18709177159167,740.5874603131957,98.65794328225113
92,0.079375,0.15625,0.03125,293.9446090275057,724.7507990114099,98.65794328225113
93,0.0790625,0.125,0.03125,293.3167796147917,593.4383209555608,98.65794328225113
94,0.0771875,0.15625,0.03125,281.7985773604565,728.1686040089858,98.65794328225113
95,0.0759375,0.15625,0.03125,275.0732561889039,771.6526192572119,98.65794328225113
96,0.0771875,0.15625,0.03125,279.08786682058513,685.9449554077286,98.65794328225113
97,0.075625,0.15625,0.03125,266.33891797472234,587.562262631087,98.65794328225113
98,0.074375,0.125,0.03125,264.0950299359087,588.9499657551312,98.65794328225113
99,0.075625,0.15625,0.03125,271.8918468703334,699.5363890852461,98.65794328225113
100,0.0734375,0.15625,0.03125,262.83111527705955,616.1894436147631,98.65794328225113
101,0.0740625,0.15625,0.03125,266.2214802018112,743.5731014055583,98.65794328225113
102,0.071875,0.125,0.03125,253.67370352111413,570.734367057645,98.65794328225113
103,0.0765625,0.15625,0.03125,276.0463189669943,734.8125301422732,98.65794328225113
104,0.0759375,0.15625,0.03125,273.2544244337379,739.8612314377868,101.65537717878568
105,0.0746875,0.15625,0.03125,265.2965636916891,768.9312352020469,96.01418290416964
106,0.079375,0.15625,0.03125,291.57953367386455,716.7009043313161,96.01418290416964
107,0.080625,0.15625,0.03125,297.191714975442,657.510565653053,96.01418290416964
108,0.0803125,0.15625,0.0625,298.76817405012747,735.9924277884281,194.78614509233705
109,0.0834375,0.1875,0.03125,311.5237255370262,940.1688041900708,96.01418290416964
110,0.0825,0.15625,0.0625,298.8883158251064,698.3618175449421,194.78614509233705
111,0.0896875,0.1875,0.0625,330.17873114512565,825.2550836611069,194.78614509233705
112,0.0940625,0.1875,0.0625,349.61640569521535,846.3848785569577,194.78614509233705
113,0.096875,0.1875,0.0625,351.86831818235135,803.9195641437776,194.78614509233705
114,0.099375,0.1875,0.0625,353.8813021679068,807.8019978483138,194.78614509233705
115,0.1009375,0.1875,0.0625,359.3530114991701,841.3981588209017,194.78614509233705
116,0.100625,0.1875,0.0625,355.447453532308,755.5079903288693,194.78614509233705
117,0.1025,0.15625,0.0625,362.94317708974563,669.1743556901847,194.78614509233705
118,0.1021875,0.21875,0.0625,361.1749059900743,1027.0089494031208,194.78614509233705
119,0.1028125,0.1875,0.0625,367.25239577070397,758.8729884258311,194.78614509233705
120,0.1034375,0.15625,0.03125,368.9480081474692,678.6210349999135,98.77196218816742
121,0.0984375,0.15625,0.0625,346.2272851335394,654.324866288864,192.68557720555953
122,0.0965625,0.1875,0.0625,338.8176396790943,781.4131382303506,192.68557720555953
123,0.1021875,0.1875,0.0625,364.5021074066176,774.3879662805886,194.78614509233705
124,0.1075,0.1875,0.0625,382.0962981862306,719.6153313004629,194.78614509233705
125,0.106875,0.1875,0.0625,374.90240320472265,833.3004270871954,194.78614509233705
126,0.1078125,0.1875,0.0625,379.0063524587687,767.2190382611049,194.78614509233705
127,0.1075,0.21875,0.0625,381.0666235034698,1041.871335832623,194.78614509233705
128,0.1103125,0.1875,0.0625,394.25741240676655,788.35123834932,194.78614509233705
129,0.104375,0.1875,0.0625,358.8843476342279,821.3582822715981,200.52790725373063
130,0.1021875,0.15625,0.0625,342.3027460932277,666.9577806767828,194.78614509233705
131,0.1034375,0.15625,0.0625,345.13472374004084,633.7303686150348,194.78614509233705
132,0.1015625,0.15625,0.0625,337.60101534051864,605.0819136878307,194.78614509233705
133,0.1028125,0.1875,0.09375,344.0964064493079,843.4974868460212,288.69976010972914
134,0.10375,0.1875,0.0625,347.64364162953905,795.7491998895161,194.78614509233705
135,0.1025,0.15625,0.0625,341.64668487175254,673.8615199288297,194.78614509233705
136,0.10375,0.15625,0.0625,350.9952701137585,699.5874904807359,194.78614509233705
137,0.105625,0.1875,0.0625,355.8345512858582,867.6204663754839,189.92779792156173
138,0.104375,0.1875,0.09375,347.9525682840003,690.4442645870602,288.69976010972914
139,0.10375,0.15625,0.09375,345.41152624528416,645.2800436950847,288.69976010972914
140,0.1059375,0.15625,0.09375,350.9922658372805,680.0689745409525,288.69976010972914
141,0.1071875,0.15625,0.09375,356.1877567169275,635.2004012670475,288.69976010972914
142,0.1090625,0.1875,0.09375,369.3550980913597,733.7440270309493,288.69976010972914
143,0.1075,0.15625,0.09375,366.2559148660232,689.4649099124138,288.69976010972914
144,0.1053125,0.1875,0.0625,349.7764758836681,705.586813215975,214.6711712936576
145,0.105,0.15625,0.0625,349.0935296031904,593.9048060159358,196.71914070414047
146,0.1034375,0.15625,0.0625,341.2719715534063,630.3154914489355,196.71914070414047
147,0.104375,0.15625,0.0625,344.16830794552146,610.254272553038,189.92779792156173
148,0.101875,0.1875,0.0625,332.0950686855712,652.2759604270551,192.68557720555953
149,0.1053125,0.15625,0.0625,350.73864546410107,676.7551237662179,192.68557720555953
150,0.1059375,0.1875,0.0625,351.84956649052765,799.8384268882468,189.92779792156173
151,0.1078125,0.15625,0.0625,365.9895942450915,680.67453513895,189.92779792156173
152,0.106875,0.1875,0.0625,359.3745831773576,783.8596479268493,192.68557720555953
153,0.110625,0.1875,0.0625,381.71280602528174,816.152498202938,192.68557720555953
154,0.1103125,0.15625,0.0625,382.5123940253332,673.2392889228597,194.78614509233705
155,0.1071875,0.1875,0.0625,362.45448738805055,843.7015486082582,194.78614509233705
156,0.1078125,0.21875,0.0625,370.02369750396974,1001.161370929291,189.92779792156173
157,0.10875,0.1875,0.0625,378.3081174997324,808.161112213504,189.92779792156173
158,0.1071875,0.15625,0.0625,362.4917280496449,678.4705195657261,189.92779792156173
159,0.105,0.1875,0.09375,351.29539993238274,759.104192396476,288.69976010972914
160,0.10625,0.1875,0.09375,357.0393671258694,856.5047945028736,288.69976010972914
161,0.1109375,0.15625,0.0625,377.454387776542,638.4350719763562,189.92779792156173
162,0.109375,0.1875,0.0625,374.15889065157154,739.3107774308321,189.92779792156173
163,0.103125,0.15625,0.0625,344.8317038392612,627.6548942428376,189.92779792156173
164,0.106875,0.15625,0.0625,369.89432056375404,664.1820909210644,189.92779792156173
165,0.1046875,0.15625,0.0625,363.4668822629639,680.7783215514988,189.92779792156173
166,0.106875,0.1875,0.03125,367.6723987509089,718.5458970236954,98.77196218816742
