generation,avg_ar,max_ar,min_ar,avg_latency,max_latency,min_latency
1,0.6434375,0.78125,0.46875,2046.5903833347859,2490.282908464458,1348.0580652304252
2,0.5925,0.71875,0.46875,1864.275750195593,2372.0483260361098,1347.014891630894
3,0.5678125,0.8125,0.40625,1773.7436346493084,2580.8056148861806,1210.9550148854614
4,0.53,0.71875,0.34375,1636.9318253499878,2322.8095095234094,1007.1739271353985
5,0.49875,0.78125,0.34375,1520.9702450928737,2403.2381672584897,1005.1135270818509
6,0.4678125,0.65625,0.28125,1416.0904340997056,2072.524814418237,844.9017774415549
7,0.44875,0.6875,0.28125,1346.000463657265,2138.763818994998,844.9017774415549
8,0.4384375,0.65625,0.28125,1301.2955522620248,2098.442985793018,828.6848365554284
9,0.4234375,0.65625,0.3125,1240.9341296827652,1969.3414713493612,828.6848365554284
10,0.4103125,0.59375,0.1875,1188.2666871080683,1766.072028020738,506.1221792983513
11,0.389375,0.53125,0.1875,1123.4749371127864,1613.0209733452384,506.1221792983513
12,0.3671875,0.5,0.1875,1046.1102125815037,1545.183784476434,506.1221792983513
13,0.3475,0.53125,0.1875,981.7055433397668,1577.4678765923736,503.80433841183356
14,0.3353125,0.53125,0.1875,944.0830305513014,1566.8880561956607,503.80433841183356
15,0.31,0.46875,0.1875,853.6579762290432,1378.8085461346968,436.1449418060067
16,0.29875,0.40625,0.1875,813.0260151424031,1225.5678712729577,436.1449418060067
17,0.2846875,0.40625,0.15625,769.739788430571,1171.4512447300788,386.6260639399876
18,0.2684375,0.40625,0.15625,719.9103160365353,1164.6576783200885,383.59088000998577
19,0.253125,0.40625,0.125,668.3384632831596,1172.9934499265669,327.1705191572064
20,0.255,0.375,0.15625,677.3181927479164,1106.2260132686547,374.8611956216592
21,0.2409375,0.40625,0.15625,630.8760371405326,1165.0669518788825,374.8611956216592
22,0.2403125,0.34375,0.125,624.1359902789088,1016.4701143340909,306.36092229123676
23,0.2359375,0.375,0.125,612.1159424031848,979.3759764100362,300.0688572946815
24,0.2221875,0.375,0.125,567.5179515759728,1016.1089258388215,300.0688572946815
25,0.2109375,0.3125,0.125,531.4047227574235,891.1832378838707,311.1946790885507
26,0.2059375,0.34375,0.09375,516.0961799097455,956.7142642545404,231.86292370514704
27,0.19125,0.3125,0.0625,478.2572735888101,874.789295232749,155.25453248125376
28,0.1909375,0.3125,0.09375,479.6797913842614,855.3606034789534,227.83030587861066
29,0.1925,0.34375,0.125,482.7316146380118,930.6444557982477,282.15528006083525
30,0.1921875,0.34375,0.09375,476.1673345478233,1022.9645502447727,275.97437650759787
31,0.1946875,0.3125,0.125,482.70710650400343,881.3867395798065,275.97437650759787
32,0.1884375,0.3125,0.0625,465.5342381343845,885.2706544016883,149.18987954644655
33,0.1790625,0.3125,0.09375,440.2088940797489,883.2828267002681,223.67417353781056
34,0.1640625,0.25,0.09375,401.6981551281806,737.2785110345638,208.1604491882495
35,0.159375,0.28125,0.09375,388.3102537611919,790.2912415260321,211.49568778433581
36,0.1515625,0.25,0.0625,368.5376058476944,687.5735414418798,139.66017585782726
37,0.1371875,0.21875,0.09375,328.77763364799034,616.8342652804147,202.29711811424613
38,0.1325,0.21875,0.0625,313.90147936954344,541.8876894280183,133.58980799782356
39,0.1253125,0.21875,0.0625,300.79728079226663,546.600982514216,133.58980799782356
40,0.12625,0.21875,0.0625,306.1899940978825,642.12599652683,133.58980799782356
41,0.1178125,0.21875,0.0625,283.38927304023105,627.4786476641818,132.41725181962144
42,0.1146875,0.1875,0.03125,274.1721517164718,530.4453071733329,71.5354572604241
43,0.111875,0.25,0.03125,269.2570751595442,649.4563174344471,68.2002186643378
44,0.1009375,0.21875,0.03125,243.49948909504087,590.4745246075789,65.37207152033632
45,0.0921875,0.1875,0.03125,224.63818315004454,508.7977713603734,61.945464038414116
46,0.08375,0.15625,0.03125,200.4891847553883,487.2451282223617,60.513724349561
47,0.08125,0.15625,0.0,195.28212169899524,438.7569371254232,0.0
48,0.0815625,0.15625,0.03125,194.77399752367862,399.83679334047395,68.2002186643378
49,0.0771875,0.1875,0.03125,183.7497183708256,507.4593296849913,68.2002186643378
50,0.0784375,0.15625,0.03125,188.18544611278554,399.76686514330584,65.37207152033632
51,0.07625,0.15625,0.03125,176.4979887202991,420.4057448850159,65.37207152033632
52,0.0778125,0.15625,0.0,181.4246615960835,456.6304341819398,0.0
53,0.0678125,0.125,0.0,154.8939110478447,320.44265976659557,0.0
54,0.06,0.15625,0.0,138.80043851489006,423.32363126271383,0.0
55,0.0615625,0.1875,0.0,146.40532575456552,537.3238773437076,0.0
56,0.0571875,0.15625,0.0,137.31347718290218,421.62107081604114,0.0
57,0.05875,0.15625,0.0,143.91351969287808,415.98189246189787,0.0
58,0.0496875,0.125,0.0,115.33756898632683,335.0636005113668,0.0
59,0.0453125,0.09375,0.0,106.60751131035323,285.0893861224049,0.0
60,0.0446875,0.15625,0.0,102.82488952458603,415.2474278735757,0.0
61,0.0496875,0.125,0.0,116.82364009387805,349.8745035853679,0.0
62,0.048125,0.15625,0.0,111.8788514468702,407.6042655458137,0.0
63,0.051875,0.125,0.03125,121.39903794252893,364.95748931765013,59.30170366033263
64,0.0603125,0.15625,0.0,144.28534801514581,427.7981426718082,0.0
65,0.05375,0.15625,0.0,131.04705505729152,422.9264893715222,0.0
66,0.051875,0.125,0.0,127.52261009574049,399.0514382299581,0.0
67,0.049375,0.125,0.0,117.45170848775575,410.13113947159974,0.0
68,0.0496875,0.125,0.0,117.05508942397732,364.57422504848876,0.0
69,0.0471875,0.125,0.03125,108.88978018150486,367.3159188584817,59.30170366033263
70,0.053125,0.125,0.03125,124.22169591623602,381.7242795103134,59.30170366033263
71,0.06,0.1875,0.03125,143.45801087054505,572.7217171380006,59.30170366033263
72,0.0615625,0.125,0.03125,143.67391362635806,355.72189949409665,59.30170366033263
73,0.06,0.15625,0.03125,136.43051376202135,382.9298654781227,59.30170366033263
74,0.063125,0.15625,0.03125,144.0385032457094,428.2671753942116,59.30170366033263
75,0.0628125,0.15625,0.03125,138.20182638726138,445.3830957279981,59.30170366033263
76,0.0678125,0.15625,0.0,154.8551013885545,424.4565143911493,0.0
77,0.0578125,0.125,0.03125,128.40555534988897,355.0574294493158,59.30170366033263
78,0.0596875,0.15625,0.03125,135.400217246978,452.38251501476,59.30170366033263
79,0.06375,0.125,0.03125,145.8467673037859,363.5139732986439,59.30170366033263
80,0.0725,0.15625,0.03125,162.55649921992347,404.18561385571036,59.30170366033263
81,0.070625,0.15625,0.03125,157.38810981049005,460.9432980558246,59.30170366033263
82,0.0709375,0.1875,0.03125,158.57637741658147,501.00167157793203,59.30170366033263
83,0.0703125,0.125,0.03125,152.06312537069425,362.11471619256855,59.30170366033263
