generation,avg_ar,max_ar,min_ar,avg_latency,max_latency,min_latency
1,0.6390625,0.84375,0.40625,3053.04335909221,4103.6108298721165,1822.4233873838593
2,0.61,0.78125,0.4375,2888.822441858653,3797.301385097907,1927.5750639650396
3,0.57625,0.84375,0.40625,2699.8549170106276,4148.6000106742,1852.2293238531272
4,0.5409375,0.71875,0.40625,2523.0065231468125,3486.077251250983,1779.1715657218447
5,0.5196875,0.75,0.3125,2403.268932235711,3589.868864695389,1421.6180211794308
6,0.49625,0.6875,0.3125,2293.0456569956987,3158.970202294218,1419.8183901133511
7,0.4634375,0.65625,0.21875,2116.2628438617485,3110.005127492823,898.7324295995297
8,0.428125,0.6875,0.21875,1937.5120852450727,3285.250709403004,908.534247538409
9,0.415,0.59375,0.21875,1869.8432170523674,2748.5489023776627,908.534247538409
10,0.38125,0.59375,0.21875,1708.4108273788145,2806.4341086505474,908.534247538409
11,0.364375,0.625,0.21875,1624.3885093451145,3052.2380846638503,908.534247538409
12,0.358125,0.59375,0.21875,1590.764699932129,2707.243634428199,955.3127026523739
13,0.3334375,0.53125,0.1875,1458.251150703878,2571.81528944765,796.4970955143408
14,0.319375,0.46875,0.15625,1383.1552694009736,2141.6576696768498,680.0548032627377
15,0.2984375,0.4375,0.15625,1298.9256372599355,2008.7474345034523,680.0548032627377
16,0.2859375,0.46875,0.15625,1245.929975017611,2131.167646506793,652.4067402700402
17,0.2846875,0.5,0.15625,1217.6497561146916,2237.3253811958903,608.9403150776695
18,0.27625,0.46875,0.125,1172.844059585743,2164.902588024747,613.1442813327976
19,0.2646875,0.4375,0.15625,1113.4338957661978,2018.9887546595069,626.8934562328515
20,0.25125,0.40625,0.09375,1043.5550740964147,1752.643173761351,404.83984713718786
21,0.236875,0.40625,0.09375,975.376670751767,1819.699028902769,405.0305964599635
22,0.228125,0.375,0.125,940.4705023796724,1529.8292885646038,422.96763608537606
23,0.206875,0.375,0.0625,841.2036332954925,1534.102601493078,250.5569799915686
24,0.2015625,0.34375,0.09375,822.2937982767877,1556.39162677497,359.0664705190433
25,0.1921875,0.375,0.0625,783.9976316055341,1585.380103630381,251.2495136910557
