method, generation, latency, ar
surrogate, 1, 47.0, 0.8375
surrogate, 1, 46.0, 0.7625
surrogate, 2, 48.0, 0.875
surrogate, 2, 47.0, 0.8375
surrogate, 2, 47.0, 0.8375
surrogate, 2, 47.0, 0.8375
surrogate, 2, 46.0, 0.7625
surrogate, 3, 48.0, 0.925
surrogate, 3, 47.0, 0.875
surrogate, 3, 46.0, 0.775
surrogate, 4, 48.0, 0.925
surrogate, 4, 47.0, 0.8875
surrogate, 4, 46.0, 0.8375
surrogate, 5, 47.0, 0.925
surrogate, 5, 46.0, 0.8375
surrogate, 6, 47.0, 0.925
surrogate, 6, 46.0, 0.875
surrogate, 7, 48.0, 0.95
surrogate, 7, 48.0, 0.95
surrogate, 7, 47.0, 0.925
surrogate, 7, 46.0, 0.875
surrogate, 7, 46.0, 0.875
