mutation_pb,individual_pb,runs,mean_generations,median_generations,max_generations,min_generations,q1_generations,q3_generations,iqr_generations,ci_generations,generations_upper_lower,std_deviation_generations,converged_number,convergence_percent,mean_time_taken,std_deviation_time_taken,q1_time_taken,q3_time_taken,iqr_time_taken,ci_time_taken,time_taken_upper_lower
0.2,0.2,20,5.8,6.0,8,3,4.75,7.0,2.25,0.7,5.1-6.5,1.5,20,100.0,71.59,8.39,64.81,78.74,13.93,3.93,67.66-75.52
0.2,0.5,20,3.3,3.0,5,2,3.0,4.0,1.0,0.37,2.93-3.67,0.78,20,100.0,59.21,4.29,56.67,62.88,6.21,2.01,57.2-61.22
0.2,0.7,20,2.3,2.0,4,2,2.0,2.25,0.25,0.26,2.04-2.56,0.56,20,100.0,53.94,3.39,52.25,54.69,2.44,1.59,52.35-55.53
0.2,1.0,20,2.05,2.0,3,2,2.0,2.0,0.0,0.1,1.95-2.15,0.22,20,100.0,53.34,1.74,52.28,53.82,1.54,0.81,52.52-54.14
0.5,0.2,20,4.25,4.0,6,3,3.75,5.0,1.25,0.47,3.78-4.72,0.99,20,100.0,65.55,5.38,61.31,69.16,7.85,2.52,63.03-68.07
0.5,0.5,20,2.55,3.0,3,2,2.0,3.0,1.0,0.23,2.32-2.78,0.5,20,100.0,56.33,3.66,53.24,59.75,6.51,1.71,54.62-58.04
0.5,0.7,20,2,2.0,2,2,2.0,2.0,0.0,0.0,2.0-2.0,0.0,20,100.0,52.57,1.29,51.99,53.25,1.25,0.6,51.97-53.17
0.5,1.0,20,2,2.0,2,2,2.0,2.0,0.0,0.0,2.0-2.0,0.0,20,100.0,52.65,1.69,51.11,53.76,2.65,0.79,51.86-53.44
0.7,0.2,20,4.15,4.0,6,3,4.0,5.0,1.0,0.37,3.78-4.52,0.79,20,100.0,64.24,4.6,61.27,65.82,4.55,2.15,62.09-66.39
0.7,0.5,20,2.4,2.0,3,2,2.0,3.0,1.0,0.23,2.17-2.63,0.49,20,100.0,54.58,3.89,51.22,57.97,6.75,1.82,52.76-56.4
0.7,0.7,20,1.95,2.0,2,1,2.0,2.0,0.0,0.1,1.85-2.05,0.22,20,100.0,53.0,1.89,52.44,53.7,1.26,0.88,52.12-53.88
0.7,1.0,20,2,2.0,2,2,2.0,2.0,0.0,0.0,2.0-2.0,0.0,20,100.0,53.8,1.6,52.76,54.99,2.23,0.75,53.05-54.55
1.0,0.2,20,3.75,4.0,5,2,3.0,4.0,1.0,0.36,3.39-4.11,0.77,20,100.0,63.55,5.39,61.2,67.61,6.41,2.52,61.03-66.07
1.0,0.5,20,2.15,2.0,3,2,2.0,2.0,0.0,0.17,1.98-2.32,0.36,20,100.0,54.61,1.39,53.91,55.17,1.26,0.65,53.96-55.26
1.0,0.7,20,2,2.0,2,2,2.0,2.0,0.0,0.0,2.0-2.0,0.0,20,100.0,54.33,1.54,52.87,55.19,2.31,0.72,53.61-55.05
1.0,1.0,20,2,2.0,2,2,2.0,2.0,0.0,0.0,2.0-2.0,0.0,20,100.0,53.63,1.6,52.44,55.18,2.74,0.75,52.88-54.38
