method, generation, latency, ar
surrogate, 1, 42.0, 0.9583333333333334
surrogate, 1, 41.0, 0.9375
surrogate, 1, 40.0, 0.9166666666666666
surrogate, 1, 38.0, 0.8541666666666666
surrogate, 1, 37.0, 0.7083333333333334
surrogate, 1, 36.0, 0.625
surrogate, 1, 33.0, 0.3958333333333333
surrogate, 1, 29.0, 0.3541666666666667
surrogate, 1, 26.0, 0.16666666666666666
surrogate, 1, 25.0, 0.14583333333333334
surrogate, 2, 42.0, 0.9583333333333334
surrogate, 2, 41.0, 0.9375
surrogate, 2, 40.0, 0.9166666666666666
surrogate, 2, 38.0, 0.875
surrogate, 2, 37.0, 0.8125
surrogate, 2, 36.0, 0.6875
surrogate, 2, 30.0, 0.3958333333333333
surrogate, 2, 29.0, 0.3541666666666667
surrogate, 2, 25.0, 0.16666666666666666
surrogate, 3, 42.0, 1.0
surrogate, 3, 38.0, 0.9375
surrogate, 3, 37.0, 0.8125
surrogate, 3, 36.0, 0.6875
surrogate, 3, 31.0, 0.4166666666666667
surrogate, 3, 30.0, 0.3958333333333333
surrogate, 3, 29.0, 0.3541666666666667
surrogate, 3, 25.0, 0.16666666666666666
surrogate, 3, 24.0, 0.125
emulator, 3.1, 35.0, 1.0
