method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.09875, 0.875, 0.0, 36010.53, 50000.0, 29.0
surrogate, 2, 0.15208333333333332, 1.0, 0.0, 28016.28, 50000.0, 25.0
emulator, 2.1, 1.0, 1.0, 1.0, 108.0, 108.0, 108.0
surrogate, 3, 0.236875, 1.0, 0.0, 15027.11, 50000.0, 25.0
surrogate, 4, 0.33729166666666666, 1.0, 0.0, 1039.39, 50000.0, 25.0
surrogate, 5, 0.3575, 1.0, 0.0625, 46.8, 660.0, 25.0
surrogate, 6, 0.4029166666666667, 1.0, 0.0625, 49.31, 660.0, 25.0
surrogate, 7, 0.4131249999999999, 1.0, 0.08333333333333333, 50.83, 660.0, 25.0
surrogate, 8, 0.43000000000000005, 1.0, 0.08333333333333333, 52.76, 660.0, 25.0
surrogate, 9, 0.41270833333333334, 1.0, 0.08333333333333333, 40.5, 132.0, 25.0
emulator, 9.1, 1.0, 1.0, 1.0, 48.0, 48.0, 48.0
