# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
3.00,24.00,7.40,51.22,20.00,0.04,31.24
3.00,41.00,12.96,79.60,16.00,0.07,28.26
3.00,25.00,9.26,51.83,13.60,0.06,25.82
3.00,9.00,9.26,71.09,19.20,0.05,32.59
3.00,84.00,14.81,100.20,19.50,0.11,34.16
3.00,34.00,13.88,90.40,21.33,0.06,33.32
3.00,90.00,6.79,53.68,22.67,0.04,33.96
3.00,20.00,24.53,123.57,21.50,0.09,33.72
3.00,91.00,16.66,114.77,18.67,0.07,30.50
3.00,88.00,10.74,64.42,21.60,0.04,32.92
3.00,38.00,14.44,87.75,20.00,0.09,33.47
3.00,44.00,14.81,97.88,20.50,0.05,32.52
3.00,12.00,33.32,226.31,17.44,0.26,33.70
3.00,75.00,31.47,225.90,20.82,0.20,39.08
3.00,61.00,37.02,272.77,22.60,0.25,38.62
3.00,97.00,31.47,253.34,22.24,0.22,40.97
3.00,35.00,35.17,281.92,24.00,0.19,41.36
3.00,81.00,42.58,326.69,26.09,0.17,41.61
3.00,16.00,31.47,214.03,18.82,0.23,36.24
3.00,43.00,35.17,255.61,21.79,0.20,40.45
3.00,87.00,55.54,452.99,25.53,0.32,42.02
3.00,2.00,35.17,275.44,22.42,0.25,38.51
3.00,31.00,35.48,300.82,23.67,0.28,40.11
3.00,54.00,77.75,732.17,24.57,0.66,108.62
3.00,51.00,82.50,739.78,28.41,0.54,55.82
3.00,55.00,59.24,535.60,27.25,0.33,43.76
