method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.07375, 0.9375, 0.0, 37509.3, 50000.0, 29.0
surrogate, 2, 0.18020833333333333, 0.9583333333333334, 0.0, 23519.53, 50000.0, 26.0
surrogate, 3, 0.3091666666666667, 0.9791666666666666, 0.0, 6531.94, 50000.0, 26.0
surrogate, 4, 0.4016666666666666, 0.9791666666666666, 0.041666666666666664, 36.78, 94.0, 26.0
surrogate, 5, 0.4279166666666667, 0.9791666666666666, 0.041666666666666664, 36.72, 94.0, 26.0
surrogate, 6, 0.45270833333333327, 1.0, 0.041666666666666664, 36.9, 94.0, 26.0
emulator, 6.1, 1.0, 1.0, 1.0, 116.0, 116.0, 116.0
surrogate, 7, 0.46666666666666673, 1.0, 0.041666666666666664, 37.45, 116.0, 26.0
surrogate, 8, 0.45958333333333334, 1.0, 0.041666666666666664, 39.14, 237.0, 26.0
emulator, 8.1, 1.0, 1.0, 1.0, 67.0, 67.0, 67.0
