# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
5.00,51.00,7.40,57.85,24.00,0.01,35.31
5.00,75.00,9.26,70.35,17.60,0.04,28.95
5.00,12.00,11.11,79.60,18.67,0.02,29.81
5.00,81.00,7.40,52.30,17.00,0.02,28.05
5.00,15.00,7.40,58.31,22.00,0.02,33.12
5.00,3.00,9.26,78.86,20.00,0.03,31.03
5.00,73.00,11.11,79.29,16.67,0.03,27.69
5.00,74.00,12.96,78.28,13.71,0.04,24.73
5.00,13.00,10.18,62.94,19.00,0.03,30.04
5.00,9.00,43.46,261.28,20.19,0.16,35.31
5.00,16.00,38.87,292.36,22.00,0.13,35.66
5.00,17.00,27.77,232.20,23.87,0.07,35.14
5.00,53.00,48.13,344.07,21.92,0.13,35.16
5.00,22.00,37.02,289.80,22.50,0.12,35.52
5.00,37.00,35.17,259.17,23.16,0.10,35.41
5.00,99.00,55.54,487.73,27.93,0.16,42.18
5.00,82.00,62.54,515.53,23.38,0.26,39.53
