# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
1.00,16.00,0.94,8.46,18.00,0.01,29.37
1.00,33.00,1.88,11.28,20.00,0.01,31.23
1.00,58.00,2.35,15.04,17.33,0.01,28.64
1.00,37.00,2.82,15.19,20.00,0.01,31.21
1.00,53.00,1.72,10.81,17.33,0.01,28.57
1.00,7.00,1.88,13.39,19.00,0.01,30.28
1.00,36.00,1.72,12.38,20.00,0.01,31.29
1.00,18.00,1.88,12.22,18.67,0.01,29.96
1.00,22.00,3.13,21.70,22.00,0.01,33.22
1.00,30.00,3.21,20.36,22.67,0.01,34.05
1.00,8.00,4.70,30.83,20.20,0.02,31.31
1.00,75.00,1.72,10.97,21.33,0.01,32.61
1.00,52.00,2.82,18.01,14.00,0.01,25.16
1.00,49.00,0.94,8.46,24.00,0.01,35.37
1.00,66.00,2.82,19.19,22.00,0.01,33.35
1.00,3.00,6.58,48.07,23.00,0.02,34.05
1.00,26.00,6.36,48.73,21.85,0.04,33.21
1.00,5.00,9.40,80.04,23.20,0.06,39.44
1.00,92.00,1.41,11.75,24.00,0.01,35.38
1.00,69.00,1.41,9.63,18.00,0.01,29.38
1.00,34.00,2.58,12.22,15.00,0.02,26.11
1.00,31.00,3.05,22.09,22.67,0.01,33.96
1.00,95.00,2.63,18.99,20.00,0.01,31.23
1.00,65.00,5.17,40.14,21.82,0.02,32.88
1.00,54.00,6.58,44.38,21.71,0.03,32.77
1.00,59.00,6.11,43.13,24.31,0.02,35.38
1.00,88.00,9.87,81.94,25.33,0.05,37.66
1.00,19.00,15.86,130.89,26.34,0.13,41.88
1.00,82.00,4.70,34.19,15.40,0.03,26.49
1.00,99.00,13.16,120.51,27.64,0.08,39.98
