method, generation, latency, ar
surrogate, 1, 44.0, 0.90625
surrogate, 1, 43.0, 0.46875
surrogate, 1, 43.0, 0.46875
surrogate, 1, 32.0, 0.4375
surrogate, 1, 29.0, 0.125
surrogate, 1, 29.0, 0.125
surrogate, 1, 29.0, 0.125
surrogate, 1, 29.0, 0.125
surrogate, 2, 41.0, 0.90625
surrogate, 2, 38.0, 0.65625
surrogate, 2, 36.0, 0.46875
surrogate, 2, 32.0, 0.4375
surrogate, 2, 31.0, 0.1875
surrogate, 2, 29.0, 0.125
surrogate, 2, 29.0, 0.125
surrogate, 2, 29.0, 0.125
surrogate, 2, 29.0, 0.125
surrogate, 2, 27.0, 0.0625
surrogate, 3, 46.0, 1.0
surrogate, 3, 41.0, 0.90625
surrogate, 3, 38.0, 0.65625
surrogate, 3, 36.0, 0.46875
surrogate, 3, 32.0, 0.4375
surrogate, 3, 31.0, 0.1875
surrogate, 3, 27.0, 0.15625
emulator, 3.1, 47.0, 1.0
