# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
2.00,74.00,2.82,22.56,20.00,0.02,31.08
2.00,64.00,3.76,17.86,16.00,0.04,27.31
2.00,71.00,1.88,15.04,20.00,0.02,31.09
2.00,42.00,6.96,36.28,20.80,0.04,32.09
2.00,16.00,5.64,37.75,19.33,0.04,30.66
2.00,5.00,5.40,35.25,22.00,0.03,33.34
2.00,59.00,7.14,38.54,19.20,0.08,32.22
2.00,45.00,11.75,69.04,17.00,0.11,32.08
2.00,61.00,3.76,28.20,24.00,0.03,35.22
2.00,24.00,14.10,101.01,23.60,0.08,36.20
2.00,44.00,12.58,91.89,21.23,0.10,35.74
2.00,17.00,13.19,104.07,25.23,0.14,41.61
2.00,6.00,16.92,153.70,27.67,0.18,46.08
2.00,3.00,19.74,148.12,21.05,0.17,37.80
2.00,31.00,19.74,147.02,24.29,0.16,40.65
2.00,97.00,5.40,33.37,18.00,0.06,30.50
2.00,29.00,5.40,28.90,17.00,0.07,29.82
2.00,98.00,4.70,30.08,22.67,0.04,33.98
2.00,90.00,5.26,34.02,19.20,0.05,34.41
2.00,70.00,13.16,92.51,19.29,0.12,34.81
2.00,85.00,13.16,100.77,25.29,0.08,38.17
2.00,96.00,14.54,119.68,25.60,0.13,41.29
2.00,94.00,18.40,142.19,24.11,0.23,41.49
2.00,83.00,16.92,147.33,26.56,0.16,42.98
2.00,80.00,20.68,169.26,24.55,0.22,43.11
2.00,67.00,26.32,211.83,25.00,0.21,46.20
2.00,57.00,27.26,236.95,24.69,0.29,41.06
