method, generation, latency, ar
surrogate, 1, 41.0, 0.71875
surrogate, 1, 40.0, 0.6875
surrogate, 1, 37.0, 0.5
surrogate, 1, 36.0, 0.40625
surrogate, 1, 36.0, 0.40625
surrogate, 1, 34.0, 0.1875
surrogate, 1, 31.0, 0.15625
surrogate, 1, 27.0, 0.125
surrogate, 2, 46.0, 1.0
surrogate, 2, 43.0, 0.875
surrogate, 2, 42.0, 0.78125
surrogate, 2, 41.0, 0.71875
surrogate, 2, 40.0, 0.6875
surrogate, 2, 38.0, 0.59375
surrogate, 2, 37.0, 0.53125
surrogate, 2, 36.0, 0.40625
surrogate, 2, 36.0, 0.40625
surrogate, 2, 35.0, 0.34375
surrogate, 2, 34.0, 0.1875
surrogate, 2, 29.0, 0.15625
surrogate, 2, 27.0, 0.125
emulator, 2.1, 54.0, 1.0
