method, generation, latency, ar
surrogate, 1, 41.0, 0.90625
surrogate, 1, 39.0, 0.71875
surrogate, 1, 36.0, 0.6875
surrogate, 1, 34.0, 0.40625
surrogate, 1, 34.0, 0.40625
surrogate, 1, 26.0, 0.1875
surrogate, 1, 23.0, 0.09375
surrogate, 2, 40.0, 0.9375
surrogate, 2, 39.0, 0.84375
surrogate, 2, 36.0, 0.6875
surrogate, 2, 30.0, 0.4375
surrogate, 2, 25.0, 0.21875
surrogate, 2, 23.0, 0.09375
surrogate, 3, 40.0, 0.96875
surrogate, 3, 39.0, 0.84375
surrogate, 3, 36.0, 0.6875
surrogate, 3, 33.0, 0.5625
surrogate, 3, 30.0, 0.4375
surrogate, 3, 25.0, 0.21875
surrogate, 3, 22.0, 0.09375
surrogate, 4, 41.0, 1.0
surrogate, 4, 40.0, 0.96875
surrogate, 4, 39.0, 0.90625
surrogate, 4, 37.0, 0.84375
surrogate, 4, 36.0, 0.6875
surrogate, 4, 35.0, 0.625
surrogate, 4, 33.0, 0.5625
surrogate, 4, 30.0, 0.4375
surrogate, 4, 25.0, 0.21875
surrogate, 4, 23.0, 0.15625
surrogate, 4, 22.0, 0.09375
emulator, 4.1, 32.0, 1.0
