method, generation, latency, ar
surrogate, 1, 61.0, 0.9166666666666666
surrogate, 1, 55.0, 0.8833333333333333
surrogate, 1, 52.0, 0.8166666666666667
surrogate, 1, 50.0, 0.8
surrogate, 1, 47.0, 0.7833333333333333
surrogate, 2, 792.0, 0.95
surrogate, 2, 61.0, 0.9166666666666666
surrogate, 2, 54.0, 0.9
surrogate, 2, 47.0, 0.85
surrogate, 2, 45.0, 0.8166666666666667
surrogate, 3, 792.0, 0.95
surrogate, 3, 54.0, 0.9166666666666666
surrogate, 3, 47.0, 0.85
surrogate, 3, 42.0, 0.8333333333333334
surrogate, 3, 40.0, 0.8166666666666667
surrogate, 4, 792.0, 0.95
surrogate, 4, 290.0, 0.9333333333333333
surrogate, 4, 54.0, 0.9166666666666666
surrogate, 4, 46.0, 0.8833333333333333
surrogate, 4, 45.0, 0.8666666666666667
surrogate, 4, 42.0, 0.8333333333333334
surrogate, 4, 40.0, 0.8166666666666667
surrogate, 4, 40.0, 0.8166666666666667
surrogate, 5, 1564.0, 0.9666666666666667
surrogate, 5, 170.0, 0.95
surrogate, 5, 54.0, 0.9166666666666666
surrogate, 5, 46.0, 0.8833333333333333
surrogate, 5, 45.0, 0.8666666666666667
surrogate, 5, 42.0, 0.8333333333333334
surrogate, 5, 35.0, 0.8166666666666667
surrogate, 6, 1564.0, 0.9666666666666667
surrogate, 6, 170.0, 0.95
surrogate, 6, 54.0, 0.9166666666666666
surrogate, 6, 49.0, 0.9
surrogate, 6, 45.0, 0.8833333333333333
surrogate, 6, 40.0, 0.8333333333333334
surrogate, 6, 35.0, 0.8166666666666667
surrogate, 7, 1564.0, 0.9666666666666667
surrogate, 7, 170.0, 0.95
surrogate, 7, 54.0, 0.9166666666666666
surrogate, 7, 49.0, 0.9
surrogate, 7, 45.0, 0.8833333333333333
surrogate, 7, 44.0, 0.8666666666666667
surrogate, 7, 40.0, 0.8333333333333334
surrogate, 7, 35.0, 0.8166666666666667
surrogate, 8, 56.0, 0.9666666666666667
surrogate, 8, 54.0, 0.9166666666666666
surrogate, 8, 49.0, 0.9
surrogate, 8, 45.0, 0.8833333333333333
surrogate, 8, 44.0, 0.8666666666666667
surrogate, 8, 40.0, 0.8333333333333334
surrogate, 8, 35.0, 0.8166666666666667
