method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.8408333333333333, 0.9166666666666666, 0.7166666666666667, 148.5, 1230.0, 44.0
surrogate, 2, 0.865, 0.9333333333333333, 0.7833333333333333, 224.35, 2137.0, 37.0
surrogate, 3, 0.8683333333333334, 0.9666666666666667, 0.75, 296.55, 2137.0, 37.0
surrogate, 4, 0.8741666666666665, 0.9666666666666667, 0.7833333333333333, 295.0, 2137.0, 37.0
surrogate, 5, 0.8775000000000001, 0.9666666666666667, 0.7833333333333333, 295.4, 2137.0, 37.0
surrogate, 6, 0.8858333333333335, 0.9666666666666667, 0.7833333333333333, 324.85, 2137.0, 37.0
surrogate, 7, 0.8875000000000002, 0.9666666666666667, 0.7833333333333333, 221.25, 1922.0, 37.0
surrogate, 8, 0.8866666666666667, 0.9666666666666667, 0.7833333333333333, 220.45, 1922.0, 37.0
surrogate, 9, 0.8891666666666669, 0.9666666666666667, 0.7833333333333333, 182.8, 1922.0, 37.0
surrogate, 10, 0.8875, 0.9666666666666667, 0.7833333333333333, 177.5, 1922.0, 37.0
