method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.8441666666666666, 0.9333333333333333, 0.7, 642.8, 2280.0, 55.0
surrogate, 2, 0.8316666666666667, 0.9333333333333333, 0.7, 391.6, 1185.0, 46.0
surrogate, 3, 0.8300000000000001, 0.9333333333333333, 0.7, 223.35, 1062.0, 46.0
surrogate, 4, 0.8550000000000001, 0.95, 0.7833333333333333, 602.9, 3312.0, 36.0
surrogate, 5, 0.8608333333333332, 0.95, 0.7833333333333333, 691.6, 3312.0, 36.0
surrogate, 6, 0.8608333333333332, 0.95, 0.6666666666666666, 829.5, 3312.0, 35.0
surrogate, 7, 0.8625000000000002, 0.95, 0.6666666666666666, 829.2, 3312.0, 35.0
surrogate, 8, 0.8633333333333333, 0.95, 0.6666666666666666, 590.55, 3312.0, 35.0
surrogate, 9, 0.865, 0.95, 0.6666666666666666, 566.0, 3312.0, 35.0
surrogate, 10, 0.8566666666666668, 0.95, 0.6666666666666666, 492.65, 3122.0, 35.0
surrogate, 11, 0.8566666666666668, 0.95, 0.6666666666666666, 492.65, 3122.0, 35.0
surrogate, 12, 0.8566666666666668, 0.95, 0.6666666666666666, 492.45, 3122.0, 35.0
surrogate, 13, 0.8583333333333334, 0.95, 0.6666666666666666, 492.85, 3122.0, 35.0
surrogate, 14, 0.8558333333333333, 0.95, 0.6666666666666666, 240.1, 2842.0, 35.0
surrogate, 15, 0.8575000000000002, 0.95, 0.6666666666666666, 240.45, 2842.0, 35.0
surrogate, 16, 0.8558333333333333, 0.95, 0.6666666666666666, 194.7, 2842.0, 35.0
surrogate, 17, 0.8549999999999999, 0.95, 0.6666666666666666, 194.45, 2842.0, 35.0
surrogate, 18, 0.8516666666666668, 0.95, 0.6666666666666666, 188.95, 2842.0, 35.0
surrogate, 19, 0.8566666666666667, 0.95, 0.6666666666666666, 189.15, 2842.0, 35.0
surrogate, 20, 0.8566666666666667, 0.95, 0.6666666666666666, 189.15, 2842.0, 35.0
surrogate, 21, 0.8533333333333333, 0.95, 0.6666666666666666, 188.45, 2842.0, 35.0
surrogate, 22, 0.8583333333333332, 0.95, 0.6666666666666666, 187.55, 2842.0, 35.0
surrogate, 23, 0.8625, 0.9666666666666667, 0.6666666666666666, 189.85, 2842.0, 35.0
surrogate, 24, 0.8483333333333333, 0.9666666666666667, 0.5666666666666667, 188.6, 2842.0, 35.0
surrogate, 25, 0.8474999999999999, 0.9666666666666667, 0.5666666666666667, 188.5, 2842.0, 35.0
surrogate, 26, 0.865, 0.9666666666666667, 0.6666666666666666, 188.45, 2842.0, 35.0
surrogate, 27, 0.8658333333333333, 0.9666666666666667, 0.6666666666666666, 188.3, 2842.0, 35.0
surrogate, 28, 0.8658333333333331, 0.9666666666666667, 0.6666666666666666, 188.05, 2842.0, 35.0
surrogate, 29, 0.8658333333333331, 0.9666666666666667, 0.6666666666666666, 188.05, 2842.0, 35.0
surrogate, 30, 0.8658333333333331, 0.9666666666666667, 0.6666666666666666, 187.7, 2842.0, 35.0
surrogate, 31, 0.8683333333333334, 0.9666666666666667, 0.6666666666666666, 188.05, 2842.0, 35.0
