method, generation, latency, ar
surrogate, 1, 1062.0, 0.9333333333333333
surrogate, 1, 250.0, 0.8833333333333333
surrogate, 1, 234.0, 0.8666666666666667
surrogate, 1, 109.0, 0.85
surrogate, 1, 55.0, 0.7
surrogate, 2, 1062.0, 0.9333333333333333
surrogate, 2, 250.0, 0.8833333333333333
surrogate, 2, 234.0, 0.8666666666666667
surrogate, 2, 109.0, 0.85
surrogate, 2, 46.0, 0.8166666666666667
surrogate, 3, 1062.0, 0.9333333333333333
surrogate, 3, 250.0, 0.8833333333333333
surrogate, 3, 234.0, 0.8666666666666667
surrogate, 3, 50.0, 0.85
surrogate, 3, 46.0, 0.8166666666666667
surrogate, 4, 2842.0, 0.95
surrogate, 4, 1062.0, 0.9333333333333333
surrogate, 4, 250.0, 0.8833333333333333
surrogate, 4, 234.0, 0.8666666666666667
surrogate, 4, 50.0, 0.85
surrogate, 4, 46.0, 0.8166666666666667
surrogate, 4, 36.0, 0.7833333333333333
surrogate, 5, 2842.0, 0.95
surrogate, 5, 1062.0, 0.9333333333333333
surrogate, 5, 64.0, 0.8833333333333333
surrogate, 5, 58.0, 0.8666666666666667
surrogate, 5, 50.0, 0.85
surrogate, 5, 48.0, 0.8333333333333334
surrogate, 5, 46.0, 0.8166666666666667
surrogate, 5, 36.0, 0.7833333333333333
surrogate, 6, 2842.0, 0.95
surrogate, 6, 1062.0, 0.9333333333333333
surrogate, 6, 53.0, 0.9166666666666666
surrogate, 6, 50.0, 0.85
surrogate, 6, 47.0, 0.8333333333333334
surrogate, 6, 46.0, 0.8166666666666667
surrogate, 6, 36.0, 0.7833333333333333
surrogate, 6, 35.0, 0.6666666666666666
surrogate, 7, 2842.0, 0.95
surrogate, 7, 1062.0, 0.9333333333333333
surrogate, 7, 53.0, 0.9166666666666666
surrogate, 7, 45.0, 0.8666666666666667
surrogate, 7, 36.0, 0.7833333333333333
surrogate, 7, 35.0, 0.6666666666666666
surrogate, 8, 2842.0, 0.95
surrogate, 8, 1062.0, 0.9333333333333333
surrogate, 8, 53.0, 0.9166666666666666
surrogate, 8, 45.0, 0.8666666666666667
surrogate, 8, 39.0, 0.85
surrogate, 8, 36.0, 0.7833333333333333
surrogate, 8, 35.0, 0.6666666666666666
surrogate, 9, 2842.0, 0.95
surrogate, 9, 1062.0, 0.9333333333333333
surrogate, 9, 53.0, 0.9166666666666666
surrogate, 9, 45.0, 0.8666666666666667
surrogate, 9, 39.0, 0.85
surrogate, 9, 36.0, 0.7833333333333333
surrogate, 9, 35.0, 0.6666666666666666
surrogate, 10, 2842.0, 0.95
surrogate, 10, 1062.0, 0.9333333333333333
surrogate, 10, 50.0, 0.9166666666666666
surrogate, 10, 45.0, 0.8666666666666667
surrogate, 10, 39.0, 0.85
surrogate, 10, 36.0, 0.7833333333333333
surrogate, 10, 35.0, 0.6666666666666666
surrogate, 11, 2842.0, 0.95
surrogate, 11, 1062.0, 0.9333333333333333
surrogate, 11, 50.0, 0.9166666666666666
surrogate, 11, 45.0, 0.8666666666666667
surrogate, 11, 39.0, 0.85
surrogate, 11, 36.0, 0.7833333333333333
surrogate, 11, 35.0, 0.6666666666666666
surrogate, 12, 2842.0, 0.95
surrogate, 12, 1062.0, 0.9333333333333333
surrogate, 12, 50.0, 0.9166666666666666
surrogate, 12, 45.0, 0.8666666666666667
surrogate, 12, 39.0, 0.85
surrogate, 12, 36.0, 0.7833333333333333
surrogate, 12, 35.0, 0.6666666666666666
surrogate, 13, 2842.0, 0.95
surrogate, 13, 1062.0, 0.9333333333333333
surrogate, 13, 50.0, 0.9166666666666666
surrogate, 13, 45.0, 0.8666666666666667
surrogate, 13, 39.0, 0.85
surrogate, 13, 36.0, 0.7833333333333333
surrogate, 13, 35.0, 0.6666666666666666
surrogate, 14, 2842.0, 0.95
surrogate, 14, 68.0, 0.9333333333333333
surrogate, 14, 50.0, 0.9166666666666666
surrogate, 14, 45.0, 0.8666666666666667
surrogate, 14, 39.0, 0.85
surrogate, 14, 36.0, 0.7833333333333333
surrogate, 14, 35.0, 0.6666666666666666
surrogate, 15, 2842.0, 0.95
surrogate, 15, 68.0, 0.9333333333333333
surrogate, 15, 50.0, 0.9166666666666666
surrogate, 15, 45.0, 0.8666666666666667
surrogate, 15, 39.0, 0.85
surrogate, 15, 36.0, 0.7833333333333333
surrogate, 15, 35.0, 0.6666666666666666
