method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.8491666666666668, 0.95, 0.7833333333333333, 198.85, 887.0, 43.0
surrogate, 2, 0.8716666666666667, 0.95, 0.7833333333333333, 224.7, 887.0, 40.0
surrogate, 3, 0.8791666666666667, 0.95, 0.7833333333333333, 190.9, 887.0, 40.0
surrogate, 4, 0.8783333333333333, 0.95, 0.7666666666666667, 219.2, 887.0, 40.0
surrogate, 5, 0.8841666666666665, 0.95, 0.7666666666666667, 255.4, 887.0, 40.0
surrogate, 6, 0.8825, 0.95, 0.7833333333333333, 248.85, 887.0, 40.0
surrogate, 7, 0.8841666666666667, 0.95, 0.7833333333333333, 219.5, 885.0, 39.0
surrogate, 8, 0.8908333333333334, 0.95, 0.7833333333333333, 220.2, 885.0, 39.0
surrogate, 9, 0.8866666666666665, 0.95, 0.7666666666666667, 220.05, 885.0, 39.0
surrogate, 10, 0.8816666666666666, 0.95, 0.7666666666666667, 127.55, 871.0, 39.0
