method, generation, latency, ar
surrogate, 1, 120.0, 0.95
surrogate, 1, 44.0, 0.8666666666666667
surrogate, 1, 43.0, 0.85
surrogate, 1, 43.0, 0.85
surrogate, 1, 41.0, 0.8333333333333334
surrogate, 2, 120.0, 0.95
surrogate, 2, 49.0, 0.9166666666666666
surrogate, 2, 42.0, 0.8833333333333333
surrogate, 2, 41.0, 0.8333333333333334
surrogate, 2, 39.0, 0.75
surrogate, 3, 120.0, 0.95
surrogate, 3, 50.0, 0.9333333333333333
surrogate, 3, 48.0, 0.9166666666666666
surrogate, 3, 42.0, 0.8833333333333333
surrogate, 3, 41.0, 0.8333333333333334
surrogate, 3, 40.0, 0.8
surrogate, 3, 39.0, 0.75
surrogate, 4, 857.0, 1.0
surrogate, 4, 499.0, 0.9833333333333333
surrogate, 4, 120.0, 0.95
surrogate, 4, 50.0, 0.9333333333333333
surrogate, 4, 48.0, 0.9166666666666666
surrogate, 4, 42.0, 0.8833333333333333
surrogate, 4, 41.0, 0.8333333333333334
surrogate, 4, 40.0, 0.8
surrogate, 4, 39.0, 0.75
surrogate, 5, 857.0, 1.0
surrogate, 5, 499.0, 0.9833333333333333
surrogate, 5, 120.0, 0.95
surrogate, 5, 48.0, 0.9333333333333333
surrogate, 5, 42.0, 0.8833333333333333
surrogate, 5, 41.0, 0.8666666666666667
surrogate, 5, 40.0, 0.8
surrogate, 5, 39.0, 0.7666666666666667
surrogate, 6, 857.0, 1.0
surrogate, 6, 499.0, 0.9833333333333333
surrogate, 6, 120.0, 0.95
surrogate, 6, 48.0, 0.9333333333333333
surrogate, 6, 47.0, 0.9166666666666666
surrogate, 6, 43.0, 0.9
surrogate, 6, 42.0, 0.8833333333333333
surrogate, 6, 41.0, 0.8666666666666667
surrogate, 6, 40.0, 0.8
surrogate, 6, 39.0, 0.7666666666666667
surrogate, 6, 39.0, 0.7666666666666667
surrogate, 7, 857.0, 1.0
surrogate, 7, 499.0, 0.9833333333333333
surrogate, 7, 62.0, 0.9666666666666667
surrogate, 7, 47.0, 0.9333333333333333
surrogate, 7, 43.0, 0.9
surrogate, 7, 42.0, 0.8833333333333333
surrogate, 7, 41.0, 0.8666666666666667
surrogate, 7, 39.0, 0.8166666666666667
