method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.8425, 0.9, 0.8, 187.0, 884.0, 39.0
surrogate, 2, 0.8783333333333333, 0.95, 0.7833333333333333, 171.45, 885.0, 39.0
surrogate, 3, 0.8741666666666669, 0.95, 0.7333333333333333, 138.75, 885.0, 39.0
surrogate, 4, 0.8700000000000001, 0.95, 0.7333333333333333, 137.8, 885.0, 38.0
surrogate, 5, 0.8683333333333334, 0.95, 0.7333333333333333, 137.3, 885.0, 38.0
surrogate, 6, 0.8666666666666666, 0.95, 0.7333333333333333, 126.3, 885.0, 38.0
surrogate, 7, 0.8691666666666666, 0.95, 0.7333333333333333, 102.15, 860.0, 38.0
surrogate, 8, 0.8699999999999999, 0.95, 0.7333333333333333, 102.1, 860.0, 38.0
surrogate, 9, 0.8625, 0.95, 0.7333333333333333, 101.65, 860.0, 38.0
surrogate, 10, 0.8608333333333332, 0.95, 0.7333333333333333, 92.1, 676.0, 38.0
surrogate, 11, 0.8608333333333332, 0.95, 0.7333333333333333, 91.9, 676.0, 38.0
surrogate, 12, 0.8591666666666666, 0.95, 0.7333333333333333, 62.7, 410.0, 38.0
surrogate, 13, 0.865, 0.95, 0.7333333333333333, 46.5, 102.0, 38.0
