method, generation, latency, ar
surrogate, 1, 886.0, 0.9166666666666666
surrogate, 1, 43.0, 0.8833333333333333
surrogate, 1, 38.0, 0.7166666666666667
surrogate, 2, 888.0, 0.95
surrogate, 2, 829.0, 0.9333333333333333
surrogate, 2, 57.0, 0.9
surrogate, 2, 43.0, 0.8833333333333333
surrogate, 2, 40.0, 0.8166666666666667
surrogate, 2, 38.0, 0.7166666666666667
surrogate, 3, 888.0, 0.95
surrogate, 3, 375.0, 0.9333333333333333
surrogate, 3, 44.0, 0.9
surrogate, 3, 43.0, 0.8833333333333333
surrogate, 3, 41.0, 0.85
surrogate, 3, 40.0, 0.8166666666666667
surrogate, 3, 38.0, 0.7166666666666667
surrogate, 4, 888.0, 0.95
surrogate, 4, 375.0, 0.9333333333333333
surrogate, 4, 46.0, 0.9166666666666666
surrogate, 4, 44.0, 0.9
surrogate, 4, 43.0, 0.8833333333333333
surrogate, 4, 41.0, 0.85
surrogate, 4, 40.0, 0.8166666666666667
surrogate, 4, 40.0, 0.8166666666666667
surrogate, 4, 38.0, 0.7166666666666667
surrogate, 5, 405.0, 0.95
surrogate, 5, 60.0, 0.9333333333333333
surrogate, 5, 46.0, 0.9166666666666666
surrogate, 5, 44.0, 0.9
surrogate, 5, 43.0, 0.8833333333333333
surrogate, 5, 41.0, 0.85
surrogate, 5, 40.0, 0.8166666666666667
surrogate, 5, 40.0, 0.8166666666666667
surrogate, 5, 38.0, 0.7166666666666667
surrogate, 6, 405.0, 0.95
surrogate, 6, 60.0, 0.9333333333333333
surrogate, 6, 44.0, 0.9166666666666666
surrogate, 6, 43.0, 0.8833333333333333
surrogate, 6, 41.0, 0.85
surrogate, 6, 39.0, 0.8166666666666667
surrogate, 6, 38.0, 0.7166666666666667
surrogate, 6, 38.0, 0.7166666666666667
surrogate, 7, 405.0, 0.95
surrogate, 7, 55.0, 0.9333333333333333
surrogate, 7, 44.0, 0.9166666666666666
surrogate, 7, 43.0, 0.8833333333333333
surrogate, 7, 41.0, 0.8666666666666667
surrogate, 7, 39.0, 0.8166666666666667
surrogate, 7, 38.0, 0.7166666666666667
surrogate, 7, 38.0, 0.7166666666666667
surrogate, 8, 405.0, 0.95
surrogate, 8, 50.0, 0.9333333333333333
surrogate, 8, 44.0, 0.9166666666666666
surrogate, 8, 43.0, 0.8833333333333333
surrogate, 8, 41.0, 0.8666666666666667
surrogate, 8, 39.0, 0.8166666666666667
surrogate, 8, 38.0, 0.7166666666666667
surrogate, 8, 38.0, 0.7166666666666667
surrogate, 9, 114.0, 0.95
surrogate, 9, 47.0, 0.9333333333333333
surrogate, 9, 44.0, 0.9166666666666666
surrogate, 9, 43.0, 0.8833333333333333
surrogate, 9, 41.0, 0.8666666666666667
surrogate, 9, 40.0, 0.8333333333333334
surrogate, 9, 39.0, 0.8166666666666667
surrogate, 9, 38.0, 0.7166666666666667
surrogate, 9, 38.0, 0.7166666666666667
surrogate, 10, 114.0, 0.95
surrogate, 10, 47.0, 0.9333333333333333
surrogate, 10, 44.0, 0.9166666666666666
surrogate, 10, 43.0, 0.8833333333333333
surrogate, 10, 41.0, 0.8666666666666667
surrogate, 10, 40.0, 0.8333333333333334
surrogate, 10, 39.0, 0.8166666666666667
surrogate, 10, 38.0, 0.7166666666666667
surrogate, 10, 38.0, 0.7166666666666667
surrogate, 11, 114.0, 0.95
surrogate, 11, 47.0, 0.9333333333333333
surrogate, 11, 44.0, 0.9166666666666666
surrogate, 11, 43.0, 0.8833333333333333
surrogate, 11, 41.0, 0.8666666666666667
surrogate, 11, 40.0, 0.8333333333333334
surrogate, 11, 40.0, 0.8333333333333334
surrogate, 11, 39.0, 0.8166666666666667
surrogate, 11, 38.0, 0.7166666666666667
surrogate, 11, 38.0, 0.7166666666666667
surrogate, 12, 50.0, 0.95
surrogate, 12, 47.0, 0.9333333333333333
surrogate, 12, 44.0, 0.9166666666666666
surrogate, 12, 43.0, 0.8833333333333333
surrogate, 12, 41.0, 0.8666666666666667
surrogate, 12, 40.0, 0.8333333333333334
surrogate, 12, 40.0, 0.8333333333333334
surrogate, 12, 39.0, 0.8166666666666667
surrogate, 12, 38.0, 0.7166666666666667
surrogate, 12, 38.0, 0.7166666666666667
