method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.8533333333333333, 0.95, 0.8, 184.65, 875.0, 40.0
surrogate, 2, 0.86, 0.95, 0.7666666666666667, 120.45, 774.0, 40.0
surrogate, 3, 0.8666666666666668, 0.95, 0.8, 108.35, 774.0, 40.0
surrogate, 4, 0.8733333333333334, 0.95, 0.7833333333333333, 148.15, 885.0, 39.0
surrogate, 5, 0.86, 0.95, 0.75, 103.7, 774.0, 39.0
surrogate, 6, 0.8625, 0.95, 0.75, 67.55, 412.0, 39.0
surrogate, 7, 0.8625, 0.95, 0.75, 67.55, 412.0, 39.0
surrogate, 8, 0.8583333333333332, 0.95, 0.75, 67.45, 412.0, 39.0
surrogate, 9, 0.8633333333333333, 0.95, 0.7833333333333333, 66.35, 412.0, 39.0
surrogate, 10, 0.8666666666666666, 0.95, 0.7833333333333333, 71.7, 412.0, 39.0
surrogate, 11, 0.8674999999999999, 0.95, 0.7833333333333333, 71.75, 412.0, 39.0
surrogate, 12, 0.8658333333333331, 0.95, 0.7833333333333333, 48.85, 153.0, 39.0
